Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,CD28,CD86,DC,0.3173076923076923,0.6028558733307933,0.9381600644999816,0.34375,0.6181101526174665,0.3243773844495957,0.3726313358708327,0.304317907917568
TIL,SIRPG,CD47,DC,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.546875,1.015933155027756,0.16387567679509302,0.4930502308749437,0.1570585632240974
TIL,SELPLG,SELL,DC,0.3365384615384616,0.6106728993890382,0.3081517336989107,0.296875,0.5612678507636576,0.2921232628599396,0.3427510657596968,0.09001828990407301
TIL,C1QB,CD33,DC,0.4423076923076923,0.8453562788960366,0.1790588472332907,0.203125,0.3973211932996975,0.4349527115248962,0.3358779654943652,0.07788213112664195
TIL,C1QA,CD33,DC,0.3942307692307692,0.7107643211225848,0.1633907109730539,0.203125,0.3973211932996975,0.4349527115248962,0.2824017282232748,0.07106723277571042
TIL,LGALS9,HAVCR2,DC,0.2884615384615384,0.5196996240390115,0.1244278156555947,0.40625,0.7605103038997157,0.3034350839151644,0.3952369190144767,0.037755764684835984
TIL,PTDSS1,JMJD6,DC,0.2019230769230769,0.3810896939072643,0.1732794540278897,0.296875,0.5824870502288847,0.1780262765971185,0.2219798116766709,0.03084829601136677
TIL,SPP1,CD44,DC,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.703125,1.351989963275176,0.1701624352938857,0.7442677501974679,0.02130271041904025
TIL,SLPI,PLSCR1,DC,0.3173076923076923,0.5970857653186109,0.1357515249725315,0.484375,0.8877129044226426,0.1560228449627043,0.5300407389204005,0.02118033913423996
TIL,LGALS9,CD44,DC,0.2884615384615384,0.5196996240390115,0.1244278156555947,0.703125,1.351989963275176,0.1701624352938857,0.7026286756186256,0.02117294013025466
TIL,COL1A1,CD44,DC,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.703125,1.351989963275176,0.1701624352938857,1.0063979932614429,0.01844310362557472
TIL,COL1A2,CD44,DC,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.703125,1.351989963275176,0.1701624352938857,0.7070012021320266,0.015489078750460619
TIL,TGFB1,TGFBR2,DC,0.4423076923076923,0.8371974910047916,0.1543371579994491,0.21875,0.3918699937388086,0.09076590129074873,0.3280725755581939,0.014008551248472691
TIL,GRN,TNFRSF1B,DC,0.3557692307692308,0.647677889534678,0.07567442710938517,0.34375,0.6212902893431601,0.1836626238873584,0.4023959833901674,0.01389856384408233
TIL,SPP1,ITGB1,DC,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.3125,0.5570635223662425,0.06995898339435787,0.3066623464454035,0.00875819602538329
TIL,COL1A1,ITGB1,DC,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.3125,0.5570635223662425,0.06995898339435787,0.4146684711108546,0.007582524180813515
TIL,COL1A2,ITGB1,DC,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.3125,0.5570635223662425,0.06995898339435787,0.2913073252576164,0.006368034174087257
TIL,LGALS3BP,ITGB1,DC,0.2980769230769231,0.5512684792569382,0.07905756719695686,0.3125,0.5570635223662425,0.06995898339435787,0.3070915608243519,0.005530787030730237
TIL,GRN,TNFRSF1A,DC,0.3557692307692308,0.647677889534678,0.07567442710938517,0.203125,0.3502052534763757,0.06775075940353084,0.2268201994755359,0.005126999904087989
