Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,CD6,ALCAM,EMT,0.3173076923076923,0.6487558758637971,0.8128377984305305,0.4129554655870445,0.5835899953396939,0.2774377877933759,0.3786074385719525,0.2255119206314044
TIL,SIRPG,CD47,EMT,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.6366396761133604,0.9470130272814972,0.1527584762949145,0.4596020805423609,0.1464038304914572
TIL,CCL5,SDC4,EMT,0.4423076923076923,0.8382335299636302,0.4123496076162472,0.6852226720647774,1.038304147874873,0.3227649054319376,0.8703413510490338,0.1330919821071546
TIL,LTB,TNFRSF1A,EMT,0.7596153846153846,1.489056656063015,0.5726436647679453,0.7236842105263158,1.086140792471154,0.210124956089608,1.617325176450729,0.1203267249143567
TIL,LTB,LTBR,EMT,0.7596153846153846,1.489056656063015,0.5726436647679453,0.4382591093117409,0.62236960308711,0.1891288629875409,0.9267436000081576,0.10830344521458
TIL,CCL5,SDC1,EMT,0.4423076923076923,0.8382335299636302,0.4123496076162472,0.3927125506072874,0.5660024385549728,0.238977244716508,0.4744422220379576,0.09854217308806396
TIL,INS,IGF1R,EMT,0.4134615384615384,0.7914712361848699,0.2348922055678837,0.3087044534412955,0.4462784402065,0.35724409340653496,0.3532165487528941,0.08391385302636008
TIL,APOE,LDLR,EMT,0.8269230769230769,1.5812359289192155,0.2028578456102259,0.4888663967611336,0.7007487128722888,0.3598843554885713,1.108049041937558,0.07300536502323624
TIL,HSP90AA1,EGFR,EMT,0.9326923076923076,1.786681841703369,0.1490201297897812,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.5694855522091813,0.05666808457494853
TIL,TGFB1,ITGB8,EMT,0.4423076923076923,0.8371974910047916,0.1543371579994491,0.2257085020242915,0.325079338500718,0.3365360960775383,0.2721556065702984,0.05194002463283682
TIL,GNAI2,EGFR,EMT,0.4903846153846154,0.8954575501564037,0.1332259981923478,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.2854174288492958,0.05066202897417961
TIL,GNAI2,IGF1R,EMT,0.4903846153846154,0.8954575501564037,0.1332259981923478,0.3087044534412955,0.4462784402065,0.35724409340653496,0.3996233987549336,0.04759420094240595
TIL,APOE,LRP1,EMT,0.8269230769230769,1.5812359289192155,0.2028578456102259,0.4342105263157895,0.6508121804523175,0.2192015018118823,1.02908760270946,0.04446674441208446
TIL,SPP1,ITGB5,EMT,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.6255060728744939,0.9290468975876888,0.3537020909841506,0.5114384448686852,0.04428012096695192
TIL,ANXA1,EGFR,EMT,0.5096153846153846,1.01927771597358,0.1161572142368405,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.324883770230927,0.04417125961203577
TIL,C1QB,LRP1,EMT,0.4423076923076923,0.8453562788960366,0.1790588472332907,0.4342105263157895,0.6508121804523175,0.2192015018118823,0.5501681631273871,0.03924996822624173
TIL,CALR,ITGA3,EMT,0.5961538461538461,1.1010252690573692,0.1093541675862784,0.7267206477732794,1.1307193987790471,0.358238222144802,1.244950630269087,0.03917484258023314
TIL,LRPAP1,LDLR,EMT,0.3365384615384616,0.6113380546488596,0.1080666210825967,0.4888663967611336,0.7007487128722888,0.3598843554885713,0.4283943549250373,0.03889148627813797
TIL,COL1A1,ITGA2,EMT,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.48582995951417,0.715166235950479,0.3579190351742511,0.5323574022438288,0.03879315575076065
TIL,HMGB1,SDC1,EMT,0.9134615384615384,1.74376645702356,0.1587318211462328,0.3927125506072874,0.5660024385549728,0.238977244716508,0.9869760669457,0.03793329326636026
TIL,TGFB1,SDC2,EMT,0.4423076923076923,0.8371974910047916,0.1543371579994491,0.388663967611336,0.5539969013357687,0.2367476277649375,0.4638048158227346,0.03653895603235192
TIL,COL3A1,DDR1,EMT,0.3365384615384616,0.6289127694941397,0.124088928715495,0.2682186234817814,0.3607905029598104,0.2781195409500399,0.2269057544236379,0.03451155589133568
TIL,COL1A1,ITGA5,EMT,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.6204453441295547,0.9290864307372022,0.3099105262447445,0.6915959029719859,0.03358973994652036
TIL,COL1A2,ITGA2,EMT,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.48582995951417,0.715166235950479,0.3579190351742511,0.3739845725750509,0.03257967078649386
TIL,GNAI2,F2R,EMT,0.4903846153846154,0.8954575501564037,0.1332259981923478,0.4362348178137652,0.6236974935790094,0.2444401527200291,0.5584946296389491,0.032565783344415816
TIL,HLA-A,APLP2,EMT,1.0,1.9285729284561368,0.1602058111477736,0.8542510121457491,1.338679765379097,0.1974745083550537,2.581741555382139,0.03163656379202917
TIL,VIM,CD44,EMT,0.9230769230769232,1.773817883463284,0.1617782809502927,0.9412955465587044,1.497820524807171,0.1885167753146101,2.6568608331213217,0.0304979198406902
TIL,COL1A1,DDR1,EMT,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.2682186234817814,0.3607905029598104,0.2781195409500399,0.2685662231448364,0.030144065023399263
TIL,BSG,SLC16A1,EMT,0.5384615384615384,1.000341681143152,0.1127200620375795,0.3572874493927126,0.5026474475358838,0.2610211545137535,0.5028191926903602,0.02942232072991091
TIL,HLA-B,CANX,EMT,1.0,1.9285729284561368,0.1652543225406569,0.75,1.139109161334403,0.1743152611185877,2.196855091105903,0.02880635038464993
