Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,KLRB1,CLEC2D,TIL,0.2596153846153846,0.5219786083434899,0.7247073258817974,0.4230769230769231,0.7895733034702186,0.7567934865239542,0.4121403741305567,0.5484537838635367
TIL,CLEC2D,KLRB1,TIL,0.4230769230769231,0.7895733034702186,0.7567934865239542,0.2596153846153846,0.5219786083434899,0.7247073258817974,0.4121403741305567,0.5484537838635367
TIL,CCL5,CXCR3,TIL,0.4423076923076923,0.8382335299636302,0.4123496076162472,0.2884615384615384,0.5518570831916274,0.6754394777363603,0.4625851108791506,0.2785172036131111
TIL,SIRPG,CD47,TIL,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.5192307692307693,0.9849811255349612,0.1588829420307916,0.4780286665013964,0.1522735227350158
TIL,CD47,SIRPG,TIL,0.5192307692307693,0.9849811255349612,0.1588829420307916,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.4780286665013964,0.1522735227350158
TIL,SELPLG,SELL,TIL,0.3365384615384616,0.6106728993890382,0.3081517336989107,0.3846153846153846,0.7260001474723563,0.3778615355001452,0.4433486150138132,0.1164386872625023
TIL,CD58,CD2,TIL,0.2403846153846154,0.4494052145017612,0.136014411530075,0.8076923076923077,1.57507797933291,0.7186372554440424,0.7078482571591068,0.0977450234028096
TIL,CD59,CD2,TIL,0.4519230769230769,0.8264045455685072,0.09624446910087496,0.8076923076923077,1.57507797933291,0.7186372554440424,1.301651601745576,0.06916486112632173
TIL,SPP1,ITGA4,TIL,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2362382283737122,0.058075236535026775
TIL,APOE,SORL1,TIL,0.8269230769230769,1.5812359289192155,0.2028578456102259,0.3269230769230769,0.5935042667956129,0.2373350855065985,0.9384702706240792,0.0481452841335873
TIL,LGALS3,LAG3,TIL,0.4134615384615384,0.7798723489225936,0.09625135746723948,0.2884615384615384,0.5352052981292018,0.4494342940570259,0.4173918130078376,0.04325866089531923
TIL,HMGB1,HAVCR2,TIL,0.9134615384615384,1.74376645702356,0.1587318211462328,0.2403846153846154,0.4509770963637321,0.1799348047978464,0.7863987335249574,0.02856137925315407
TIL,GRN,TNFRSF1B,TIL,0.3557692307692308,0.647677889534678,0.07567442710938517,0.6730769230769231,1.274262885745982,0.3766910076219122,0.8253118965523263,0.02850587619904525
TIL,PTDSS1,JMJD6,TIL,0.2019230769230769,0.3810896939072643,0.1732794540278897,0.2596153846153846,0.4903630219303115,0.1498702897186495,0.1868722939308635,0.02596944197744924
TIL,LRPAP1,SORL1,TIL,0.3365384615384616,0.6113380546488596,0.1080666210825967,0.3269230769230769,0.5935042667956129,0.2373350855065985,0.3628317438886277,0.025648000755047255
TIL,LGALS9,HAVCR2,TIL,0.2884615384615384,0.5196996240390115,0.1244278156555947,0.2403846153846154,0.4509770963637321,0.1799348047978464,0.2343726274304365,0.02238889472141184
TIL,SPP1,CD44,TIL,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.6730769230769231,1.288969801734865,0.1622306721509586,0.7095752782703363,0.02030972948847018
TIL,LGALS9,CD44,TIL,0.2884615384615384,0.5196996240390115,0.1244278156555947,0.6730769230769231,1.288969801734865,0.1622306721509586,0.6698771213592485,0.0201860081680827
TIL,SPP1,ITGB1,TIL,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.6176677072829974,0.01764042740048839
TIL,COL1A1,CD44,TIL,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.6730769230769231,1.288969801734865,0.1622306721509586,0.9594868727413336,0.01758341723635569
TIL,COL1A1,ITGB1,TIL,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.8352095612729128,0.01527243360806539
TIL,HLA-B,CANX,TIL,1.0,1.9285729284561368,0.1652543225406569,0.3269230769230769,0.5987025511764509,0.09161807760235398,1.1546415323965282,0.01514028334665434
TIL,COL1A2,CD44,TIL,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.6730769230769231,1.288969801734865,0.1622306721509586,0.674045831768463,0.01476708800239325
TIL,COL1A2,ITGB1,TIL,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.5867402039808246,0.012826253740638229
TIL,SLPI,PLSCR1,TIL,0.3173076923076923,0.5970857653186109,0.1357515249725315,0.2884615384615384,0.5163662206825138,0.09075561072971426,0.3083149200608975,0.01232021255637215
TIL,LGALS3BP,ITGB1,TIL,0.2980769230769231,0.5512684792569382,0.07905756719695686,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.6185322146620444,0.0111399021899478
TIL,HLA-A,APLP2,TIL,1.0,1.9285729284561368,0.1602058111477736,0.2307692307692308,0.4093504373496742,0.060385073750376224,0.7894621717242615,0.009674039721397154
