Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,SLIT2,ROBO4,Endo,0.2631578947368421,0.4385734799892591,0.7709625967473468,0.5180722891566265,0.8192923050374847,0.9582371795986014,0.3593198773487112,0.7387650242831915
CAF,SLIT2,ROBO1,Endo,0.2631578947368421,0.4385734799892591,0.7709625967473468,0.3373493975903614,0.485912958278024,0.6182984989842994,0.2131085370838686,0.4766850163419223
CAF,TGFB3,TGFBR3,Endo,0.27524893314367,0.463515385701151,0.5813064973307932,0.4216867469879518,0.6575111855438037,0.5137873096656477,0.3047665507701572,0.2986679013547492
CAF,INHBA,TGFBR3,Endo,0.7418207681365576,1.32239664168243,0.5114075351708297,0.4216867469879518,0.6575111855438037,0.5137873096656477,0.8694905836317594,0.2627547016381607
CAF,LAMA2,DAG1,Endo,0.2126600284495021,0.3573647171915633,0.8806433361841391,0.2530120481927711,0.3851104432550224,0.27495453094180106,0.1376248846413487,0.2421368754275328
CAF,SLIT2,APP,Endo,0.2631578947368421,0.4385734799892591,0.7709625967473468,0.9036144578313252,1.46459043369347,0.2777998337358062,0.6423305232639231,0.2141732811929384
CAF,FAM3C,LIFR,Endo,0.5903271692745377,1.000317543336443,0.2668322146193116,0.2168674698795181,0.3576535566376863,0.71826528507466,0.3577671271413516,0.1916563167006427
CAF,GPC3,IGF1R,Endo,0.2638691322901849,0.4419388173154877,0.6934906527655721,0.2048192771084337,0.2757371793131788,0.2757540602352876,0.1218589629155748,0.1912328632353265
CAF,GPC3,CD81,Endo,0.2638691322901849,0.4419388173154877,0.6934906527655721,0.8674698795180723,1.430786654724451,0.2721338785741929,0.6323201620197066,0.188722301092044
CAF,LAMA2,ITGB1,Endo,0.2126600284495021,0.3573647171915633,0.8806433361841391,0.8674698795180723,1.396697949948097,0.2096799728531574,0.499130567885238,0.1846532708244043
CAF,POSTN,PTK7,Endo,0.5732574679943101,1.024800070662538,0.5582788105510371,0.2650602409638554,0.3676357555397058,0.2810477777038076,0.3767531482551661,0.15690301904449402
CAF,VEGFA,KDR,Endo,0.2610241820768137,0.4593490007692395,0.1419133743676831,0.5542168674698795,0.844339821221229,0.9491907834588202,0.3878466531876498,0.134702866999346
CAF,ECM1,ITGB4,Endo,0.3677098150782361,0.6063440012486624,0.4322799713692794,0.3253012048192771,0.5110235291864087,0.3111573241561511,0.3098560514190997,0.1345070791775626
CAF,PTN,PLXNB2,Endo,0.2603129445234708,0.4367397809764356,0.5139420918811839,0.3855421686746988,0.5533522983030206,0.2377221713677547,0.2416709615636684,0.1221754300392811
CAF,IGFBP4,LRP6,Endo,0.8349928876244666,1.4812308841437667,0.235848826352478,0.2409638554216867,0.3245520400332979,0.4546302905887392,0.480736505209185,0.1072240204596402
