Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,LILRB4,LAIR1,TAM,0.2428571428571429,0.4225324742886329,0.3372977130523654,0.5177570093457944,0.9457531212930858,0.6112366089130497,0.399611406406165,0.2061687103202547
DC,CCL3,CCR1,TAM,0.2857142857142857,0.5141889238334951,0.2200718087354859,0.2616822429906542,0.4790442806022062,0.8452709045153803,0.2463192631114393,0.18602029682818
DC,CD84,CD84,TAM,0.2357142857142857,0.4701378709516233,0.3664911838537245,0.3271028037383177,0.5848633828320877,0.4559242869181284,0.2749664256022419,0.16709223166029
DC,CCL4,CCR1,TAM,0.2714285714285714,0.5155520906081871,0.1971910095760951,0.2616822429906542,0.4790442806022062,0.8452709045153803,0.2469722803583624,0.166679823026687
DC,IL1B,IL1RAP,TAM,0.2928571428571429,0.5061434271128906,0.3050753258811161,0.2485981308411215,0.4723389660728358,0.348963437323707,0.2390712630470645,0.1064601343621244
DC,TNFSF12,CD163,TAM,0.2785714285714286,0.473660397688853,0.1077473739165263,0.4803738317757009,0.9066251431592959,0.8951132828320649,0.4294324258635455,0.09644610558295584
DC,ALCAM,NRP1,TAM,0.3214285714285715,0.5532049022444891,0.3015267232194364,0.3289719626168224,0.6053501654780628,0.2591799653267158,0.3348826791169771,0.07814968566909175
DC,SEMA4A,PLXND1,TAM,0.2857142857142857,0.491669415191563,0.2685730650957585,0.2672897196261682,0.486254191485841,0.24049494380291,0.2390763139622898,0.06459046419717973
DC,F13A1,ITGB1,TAM,0.2428571428571429,0.433330409446634,0.3607912852345702,0.6317757009345795,1.1769723616225471,0.176693559866042,0.5100179153692703,0.06374949655674078
DC,PLAU,PLAUR,TAM,0.2928571428571429,0.509524094915628,0.1756915231960972,0.9401869158878504,1.813619664288556,0.3254911125513641,0.9240829179678116,0.05718602935094148
DC,PLAU,LRP1,TAM,0.2928571428571429,0.509524094915628,0.1756915231960972,0.4299065420560748,0.8088034722888814,0.2900216347895299,0.4121048571826095,0.05095434277599472
DC,TGFB1,SDC2,TAM,0.3142857142857143,0.5838727800174973,0.163460441479701,0.3850467289719626,0.7330941063280553,0.3056722257917922,0.4280336938762044,0.04996531697600919
DC,TFF2,CXCR4,TAM,0.4428571428571428,0.8270574115642864,0.1972877688845588,0.7308411214953271,1.39438131952898,0.2211334145701629,1.153233404863232,0.04362691798637164
DC,PLAU,ST14,TAM,0.2928571428571429,0.509524094915628,0.1756915231960972,0.2485981308411215,0.4594645070508465,0.2396514635743318,0.2341082371009377,0.04210473067154835
DC,TFF3,CXCR4,TAM,0.4071428571428571,0.7520319288036729,0.1727899007171143,0.7308411214953271,1.39438131952898,0.2211334145701629,1.0486192732131892,0.03820962074881493
DC,CD14,ITGB1,TAM,0.2571428571428571,0.4517055883714555,0.2060807056355694,0.6317757009345795,1.1769723616225471,0.176693559866042,0.5316449931036543,0.03641313349845467
DC,MDK,LRP1,TAM,0.2785714285714286,0.5066513036838922,0.1088260553652498,0.4299065420560748,0.8088034722888814,0.2900216347895299,0.4097813336592205,0.03156191048472563
DC,ADAM17,ITGA5,TAM,0.25,0.4486849056247482,0.1556590484009655,0.2485981308411215,0.4786011372416121,0.1947123995800779,0.2147411060951499,0.03030874683050347
DC,ADAM17,ITGB1,TAM,0.25,0.4486849056247482,0.1556590484009655,0.6317757009345795,1.1769723616225471,0.176693559866042,0.5280897329975497,0.02750395138732713
DC,MDK,SDC4,TAM,0.2785714285714286,0.5066513036838922,0.1088260553652498,0.3327102803738318,0.6344299240711627,0.2389135086049618,0.3214347481267273,0.02600001471494966
DC,MDK,ITGB1,TAM,0.2785714285714286,0.5066513036838922,0.1088260553652498,0.6317757009345795,1.1769723616225471,0.176693559866042,0.596314581415973,0.01922886312866497
DC,TNFSF12,TNFRSF12A,TAM,0.2785714285714286,0.473660397688853,0.1077473739165263,0.3345794392523365,0.6279253085103129,0.1732001261632627,0.2974233513478906,0.01866185875610259
