Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,DEFB1,CCR6,DC,0.25,0.373788756939319,0.4627971622845792,0.2071428571428572,0.3718316234299864,0.6426183091596711,0.1389864803126236,0.2974019299112102
ETC,FAM3D,FPR1,DC,0.3242730720606827,0.4772994009250829,0.5173489045071309,0.3285714285714286,0.5834042532681701,0.4626804875669367,0.278458500582043,0.2393672433795799
ETC,CCL20,CCR6,DC,0.4766118836915297,0.7220408423483766,0.2532682275995942,0.2071428571428572,0.3718316234299864,0.6426183091596711,0.2684776185931517,0.1627548001839179
ETC,B2M,CD1A,DC,0.9962073324905184,1.6388455972728149,0.1175339544267461,0.3285714285714286,0.5846014082965598,0.9613949076755932,0.9580714441463044,0.1129965452648489
ETC,TNFSF10,TNFRSF10B,DC,0.4917825537294564,0.7136764732488874,0.2837654491394099,0.2142857142857143,0.3910032014210049,0.2717243008783765,0.2790497858191671,0.07710596828084465
ETC,ANXA1,FPR1,DC,0.8223767383059418,1.2896214700044362,0.1515563076942462,0.3285714285714286,0.5834042532681701,0.4626804875669367,0.7523706507065377,0.07012214633781852
ETC,BMP2,ENG,DC,0.3735777496839444,0.5436361032893265,0.5586672694450932,0.2142857142857143,0.3812464601275266,0.1178239170966609,0.2072593399765781,0.06582436603971659
ETC,LIF,IL6ST,DC,0.2319848293299621,0.3316608044487794,0.48349942564958,0.25,0.4410645783303071,0.1347325768179194,0.1462838328628913,0.06514312350775192
ETC,HEBP1,FPR3,DC,0.2563211125158028,0.36790297437237,0.1870007764078206,0.2642857142857143,0.4741822848783795,0.3470860451813974,0.1744530730014423,0.0649053599292412
ETC,ANXA1,FPR3,DC,0.8223767383059418,1.2896214700044362,0.1515563076942462,0.2642857142857143,0.4741822848783795,0.3470860451813974,0.6115156552749179,0.0526030794598909
ETC,C3,ITGAX,DC,0.2029077117572693,0.3081817756455298,0.1288458020833198,0.2214285714285714,0.397676990375581,0.3386184608167481,0.1225568010273168,0.0436295671841531
ETC,ICAM3,ITGB2,DC,0.20227560050568905,0.2832457569284964,0.1166060085630912,0.7214285714285714,1.324077634072661,0.3420184989811362,0.3750393716950037,0.03988141202092997
ETC,GNAI2,FPR1,DC,0.4617572692793931,0.659556502356359,0.07913858587953755,0.3285714285714286,0.5834042532681701,0.4626804875669367,0.3847880687453777,0.03661587950010233
ETC,C3,ITGAM,DC,0.2029077117572693,0.3081817756455298,0.1288458020833198,0.2214285714285714,0.4094943927282388,0.2828366116566107,0.1261987090678766,0.036442310087424434
ETC,LRPAP1,SORL1,DC,0.5888116308470289,0.8703243442165505,0.1925485420801728,0.2285714285714286,0.4009211160037912,0.1721559739695373,0.3489314073685671,0.03314838179822659
ETC,LTB,CD40,DC,0.2471554993678887,0.3768974823179057,0.1368245706973042,0.2857142857142857,0.5122026230129809,0.2286450611978366,0.1930478790502199,0.03128426234045285
ETC,CXCL14,CXCR4,DC,0.2152338811630847,0.3192763546916192,0.1450889046076974,0.6785714285714286,1.271028956911999,0.2015710977499661,0.4058094920703542,0.02924572977311369
ETC,CIRBP,TREM1,DC,0.7392541087231352,1.1342039013644452,0.1078732887755114,0.2357142857142857,0.4194492342204992,0.2596178575837306,0.475740957877219,0.02800583212240936
ETC,CD99,PILRA,DC,0.511378002528445,0.7522700150022686,0.07773032455841107,0.2642857142857143,0.492783316303774,0.3356100645837333,0.3707061127487078,0.0260870792451629
ETC,LAMB2,RPSA,DC,0.218078381795196,0.3158383085802855,0.147332837538943,0.9928571428571428,1.911881356253669,0.148216970924137,0.6038453737653411,0.02183722689768011
ETC,LTB,TNFRSF1A,DC,0.2471554993678887,0.3768974823179057,0.1368245706973042,0.2642857142857143,0.4553756688781245,0.1244431293411534,0.1716299431089974,0.01702687774833242
ETC,APOE,SORL1,DC,0.2436788874841972,0.3616524719793588,0.0901419410494644,0.2285714285714286,0.4009211160037912,0.1721559739695373,0.1449941126714944,0.01551847365687516
