Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,TGFA,ERBB2,ETC,0.2085967130214918,0.2868576988267554,0.6010527928321685,0.4567003792667509,0.6783293594391753,0.5904482357657255,0.1945839990953488,0.35489056112981604
ETC,MMP1,ITGA2,ETC,0.3403919089759798,0.4945721888301251,0.4857611952120899,0.5101137800252844,0.7540427480010996,0.5889439362402226,0.3729285723503863,0.2860861103809634
ETC,CXCL17,GPR35,ETC,0.3426042983565107,0.5250002653964325,0.5229371744251617,0.2604298356510746,0.3601980044332604,0.4535578686932564,0.1891040479227271,0.23718227029275
ETC,CDH1,IGF1R,ETC,0.68173198482933,1.028127946245672,0.7135500185573117,0.2041719342604298,0.2873160819276567,0.287333671722445,0.29539769323563503,0.2050269467896911
ETC,EFNB2,RHBDL2,ETC,0.3347029077117573,0.4771482944858066,0.2796819689564007,0.22945638432364104,0.3260301697118677,0.7212579152687598,0.1555647394289357,0.2017228338677556
ETC,AGRN,DAG1,ETC,0.5824905183312263,0.8747996242134528,0.3691511882161867,0.4339443742098609,0.6195990852425176,0.4423706986881448,0.5420250469331536,0.1633016690527534
ETC,ANG,PLXNB2,ETC,0.4200379266750948,0.6189407112904226,0.4467388726882489,0.5145385587863464,0.7685220390265349,0.3301598790167434,0.4756695774774495,0.1474952521588286
ETC,TCN1,CD320,ETC,0.26359039190897604,0.3801442559809619,0.6006752659092078,0.265802781289507,0.3789940035081412,0.2055720985207286,0.1440723934848484,0.1234820749424525
ETC,EFNB1,EPHB4,ETC,0.3125790139064475,0.4454674378088138,0.3916826356236028,0.2010113780025284,0.2747839425513968,0.3130563568966456,0.122407298839375,0.1226187389680014
ETC,ECM1,ITGB4,ETC,0.2035398230088496,0.2909592744586021,0.2074331840895215,0.5711125158027813,0.8491784205373153,0.5170565932379093,0.247076337125439,0.1072546954898201
ETC,CDH1,ITGAE,ETC,0.68173198482933,1.028127946245672,0.7135500185573117,0.2130214917825537,0.2906962502622186,0.1445199150751111,0.2988729387634128,0.1031221880837467
ETC,EFNB2,EPHB4,ETC,0.3347029077117573,0.4771482944858066,0.2796819689564007,0.2010113780025284,0.2747839425513968,0.3130563568966456,0.1311126895404848,0.08755621829117154
ETC,BMP2,BMPR2,ETC,0.3735777496839444,0.5436361032893265,0.5586672694450932,0.2724399494310999,0.382309549367052,0.1524890262361074,0.2078372736682025,0.08519062790766728
ETC,HRAS,INSR,ETC,0.2101769911504425,0.2866764861301254,0.3053244415023678,0.4775600505689001,0.7082798384734544,0.2731817614899505,0.2030471752903827,0.08340906875555218
ETC,LIF,IL6ST,ETC,0.2319848293299621,0.3316608044487794,0.48349942564958,0.3501896333754741,0.5005857335132383,0.15291458237214905,0.166024667072583,0.07393411275037942
ETC,VEGFA,GPC1,ETC,0.5439317319848294,0.823862934899947,0.2545279709160603,0.2231352718078382,0.31566135023201697,0.2742263119879348,0.2600616864366296,0.06979826676208356
ETC,APP,GPC1,ETC,0.7869785082174463,1.209981676723761,0.2295062844085076,0.2231352718078382,0.31566135023201697,0.2742263119879348,0.3819444498306223,0.0629366619513991
ETC,LRPAP1,SORL1,ETC,0.5888116308470289,0.8703243442165505,0.1925485420801728,0.4778761061946903,0.6904945438300015,0.2964991265578069,0.6009542110439523,0.057090474546750376
ETC,DCN,MET,ETC,0.2240834386852086,0.3465200865125264,0.07730154481717233,0.3836915297092288,0.5426923821985007,0.6792985205061349,0.1880538112291135,0.05251082502714384
ETC,APOE,LRP5,ETC,0.2436788874841972,0.3616524719793588,0.0901419410494644,0.3726295828065739,0.5306434170140916,0.5823634983648781,0.19190850350272,0.0524953761389667
ETC,LRPAP1,SORT1,ETC,0.5888116308470289,0.8703243442165505,0.1925485420801728,0.2101769911504425,0.2897345846808113,0.2255069324691236,0.2521630624091817,0.04342103107590175
ETC,LTB,LTBR,ETC,0.2471554993678887,0.3768974823179057,0.1368245706973042,0.4718710493046776,0.6900987315103784,0.2780379302436368,0.260096474457042,0.03804242044315263
ETC,ZG16B,CXCR4,ETC,0.5512010113780025,0.8151261040991217,0.6904837330903522,0.2231352718078382,0.3313761311307635,0.05255257966934691,0.2701133347600589,0.03628670139361879
ETC,GRN,SORT1,ETC,0.6940581542351454,1.060980319080377,0.1592086763303413,0.2101769911504425,0.2897345846808113,0.2255069324691236,0.3074026921032676,0.035902660221724836
ETC,APOE,SORL1,ETC,0.2436788874841972,0.3616524719793588,0.0901419410494644,0.4778761061946903,0.6904945438300015,0.2964991265578069,0.2497190586643798,0.02672700678739151
ETC,BSG,SLC16A1,ETC,0.8463969658659924,1.318569681865917,0.1457332647687387,0.2041719342604298,0.2848983475041513,0.1796640461689452,0.3756583234326742,0.026183028009761786
ETC,FN1,NT5E,ETC,0.2063843236409608,0.3285347065579427,0.0680500041279891,0.2117572692793932,0.2885665976399651,0.3469718097320815,0.09480414247806987,0.023611433084564
ETC,GNAI2,IGF1R,ETC,0.4617572692793931,0.659556502356359,0.07913858587953755,0.2041719342604298,0.2873160819276567,0.287333671722445,0.1895011900669383,0.02273918045568956
