Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,FAM3D,FPR1,TAM,0.3242730720606827,0.4772994009250829,0.5173489045071309,0.3420560747663551,0.6308705370755593,0.5003245794842756,0.3011141294074497,0.2588423730941809
ETC,LAMA3,SDC2,TAM,0.3726295828065739,0.5364035419073618,0.6367701993635159,0.3850467289719626,0.7330941063280553,0.3056722257917922,0.39323427518578097,0.1946429641573292
ETC,BMP2,ENG,TAM,0.3735777496839444,0.5436361032893265,0.5586672694450932,0.3551401869158878,0.6489168055781276,0.2005472257434003,0.3527746035434508,0.1120391710008541
ETC,LIF,IL6ST,TAM,0.2319848293299621,0.3316608044487794,0.48349942564958,0.2205607476635514,0.4083420630645148,0.1247367870439733,0.1354310571262512,0.06031016489313507
ETC,ALCAM,NRP1,TAM,0.2531605562579014,0.3644422746766677,0.198640837129328,0.3289719626168224,0.6053501654780628,0.2591799653267158,0.2206151912827224,0.051483725279649034
ETC,ICAM3,ITGB2,TAM,0.20227560050568905,0.2832457569284964,0.1166060085630912,0.8336448598130841,1.578485239741509,0.4077337600664006,0.4470992465310429,0.047544206317764084
ETC,DCN,TLR2,TAM,0.2240834386852086,0.3465200865125264,0.07730154481717233,0.2411214953271028,0.448637030097161,0.5580890086623118,0.1554617424819912,0.043141142515080964
ETC,CXCL14,CXCR4,TAM,0.2152338811630847,0.3192763546916192,0.1450889046076974,0.7308411214953271,1.39438131952898,0.2211334145701629,0.4451929847493027,0.03208400489214478
ETC,LTB,CD40,TAM,0.2471554993678887,0.3768974823179057,0.1368245706973042,0.29158878504672897,0.5108238939613835,0.2280296024434019,0.1925282395418743,0.031200052460595432
ETC,LTB,TNFRSF1A,TAM,0.2471554993678887,0.3768974823179057,0.1368245706973042,0.3757009345794393,0.6931603280804541,0.1894239114135859,0.2612503824961767,0.025917845358968083
ETC,LTB,LTBR,TAM,0.2471554993678887,0.3768974823179057,0.1368245706973042,0.2336448598130841,0.4240703284277904,0.1708561847893049,0.1598310391101616,0.023377324134775918
ETC,FN1,SDC2,TAM,0.2063843236409608,0.3285347065579427,0.0680500041279891,0.3850467289719626,0.7330941063280553,0.3056722257917922,0.2408468571018449,0.02080099622694308
ETC,LAMB2,RPSA,TAM,0.218078381795196,0.3158383085802855,0.147332837538943,0.8467289719626169,1.5998166502639262,0.1240244208462574,0.5052833848579364,0.01827286984740314
