Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,CXCL12,CD4,DC,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.5,0.8874503809121282,0.3752224094131499,0.3447468496227015,0.1517196900975926
Endo,CFH,ITGAM,DC,0.6626506024096386,1.06876749472443,0.4162366104448778,0.2214285714285714,0.4094943927282388,0.2828366116566107,0.4376542962198616,0.1177269525456618
Endo,B2M,CD1A,DC,1.0,1.689612876278232,0.1211748581622303,0.3285714285714286,0.5846014082965598,0.9613949076755932,0.9877500669482554,0.1164968915754805
Endo,ICAM1,ITGAX,DC,0.4939759036144578,0.751639116280528,0.2869329751388428,0.2214285714285714,0.397676990375581,0.3386184608167481,0.2989095816110017,0.0971608023990852
Endo,HEBP1,FPR3,DC,0.3493975903614458,0.4955629383186517,0.2518888421128472,0.2642857142857143,0.4741822848783795,0.3470860451813974,0.2349871663929817,0.08742710203426954
Endo,CXCL12,CXCR4,DC,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.6785714285714286,1.271028956911999,0.2015710977499661,0.4937551868807267,0.08150447232372746
Endo,ICAM1,ITGAM,DC,0.4939759036144578,0.751639116280528,0.2869329751388428,0.2214285714285714,0.4094943927282388,0.2828366116566107,0.3077920034720849,0.08115515046082082
Endo,TNFSF10,TNFRSF10B,DC,0.4939759036144578,0.7444799085726931,0.2960132266511231,0.2142857142857143,0.3910032014210049,0.2717243008783765,0.29109402764554,0.08043398706252883
Endo,GNAI2,FPR1,DC,0.8313253012048193,1.312958070496229,0.1575386561226826,0.3285714285714286,0.5834042532681701,0.4626804875669367,0.7659853226902701,0.07289006222548279
Endo,ICAM2,ITGAM,DC,0.6746987951807228,1.053621190280078,0.2489950491709375,0.2214285714285714,0.4094943927282388,0.2828366116566107,0.4314519694793448,0.07042491602677914
Endo,ANXA1,FPR1,DC,0.7108433734939759,1.154796085107888,0.1357116292411913,0.3285714285714286,0.5834042532681701,0.4626804875669367,0.6737129477093737,0.06279112278581774
Endo,CXCL12,ITGB1,DC,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.5428571428571428,0.9828688944140674,0.1475536805267116,0.3818139720590734,0.05966274433684531
Endo,CD99,PILRA,DC,0.891566265060241,1.466840208280885,0.1515652135419177,0.2642857142857143,0.492783316303774,0.3356100645837333,0.7228343823243731,0.05086681110545034
Endo,SPON2,ITGB2,DC,0.2289156626506024,0.2964628606300569,0.1466617691018419,0.7214285714285714,1.324077634072661,0.3420184989811362,0.392539843093459,0.05016103812612993
Endo,PTDSS1,JMJD6,DC,0.2289156626506024,0.3253979213581647,0.2184294045617672,0.3357142857142857,0.6035504812513158,0.2263807884153284,0.1963940720338981,0.0494482208177836
Endo,ANXA1,FPR3,DC,0.7108433734939759,1.154796085107888,0.1357116292411913,0.2642857142857143,0.4741822848783795,0.3470860451813974,0.5475838462050661,0.04710361267844917
Endo,SPON2,ITGAM,DC,0.2289156626506024,0.2964628606300569,0.1466617691018419,0.2214285714285714,0.4094943927282388,0.2828366116566107,0.1213998790801817,0.04148131783232916
Endo,CIRBP,TREM1,DC,0.8313253012048193,1.329977630060912,0.126493182380997,0.2357142857142857,0.4194492342204992,0.2596178575837306,0.5578580984594438,0.03283988900870253
Endo,APOE,SORL1,DC,0.4216867469879518,0.6260501776523689,0.1560431148142891,0.2285714285714286,0.4009211160037912,0.1721559739695373,0.2509967358987595,0.02686375441209427
Endo,TFF2,CXCR4,DC,0.3493975903614458,0.5403893657053763,0.1289054554112641,0.6785714285714286,1.271028956911999,0.2015710977499661,0.6868505318188411,0.02598361415320782
Endo,TGFB1,ENG,DC,0.5301204819277109,0.7730004598287725,0.2164084381940813,0.2142857142857143,0.3812464601275266,0.1178239170966609,0.2947036889866698,0.0254980898807973
Endo,LRPAP1,SORL1,DC,0.4457831325301205,0.6296260417511444,0.1392970071451064,0.2285714285714286,0.4009211160037912,0.1721559739695373,0.2524303753239184,0.02398081193610739
Endo,THBS2,ITGB1,DC,0.2168674698795181,0.3326806122717528,0.1467626893798086,0.5428571428571428,0.9828688944140674,0.1475536805267116,0.3269814255765327,0.02165537498198929
Endo,SPON2,ITGB1,DC,0.2289156626506024,0.2964628606300569,0.1466617691018419,0.5428571428571428,0.9828688944140674,0.1475536805267116,0.2913841240622959,0.02164048382353551
Endo,FBLN1,ITGB1,DC,0.2168674698795181,0.3278467116700527,0.1416703356867907,0.5428571428571428,0.9828688944140674,0.1475536805267116,0.3222303350364323,0.02090397945204069
Endo,VCAN,CD44,DC,0.2168674698795181,0.2951942667898891,0.0884201192340609,0.7928571428571428,1.4952764658122015,0.21156938004061696,0.4413970399736096,0.0187069898094677
Endo,MMP7,CD44,DC,0.2891566265060241,0.404973224400984,0.08753115179784073,0.7928571428571428,1.4952764658122015,0.21156938004061696,0.6055469317308751,0.0185189115201103
Endo,THBS2,CD47,DC,0.2168674698795181,0.3326806122717528,0.1467626893798086,0.4642857142857143,0.8466451041919776,0.1149361110512452,0.281662411639469,0.01686833276473709
Endo,TNFSF12,TNFRSF12A,DC,0.2771084337349398,0.3821863132822346,0.0869390217208963,0.3071428571428572,0.5653529144311087,0.1559408336933246,0.2160701460697921,0.01355734352763863
Endo,VCAN,ITGB1,DC,0.2168674698795181,0.2951942667898891,0.0884201192340609,0.5428571428571428,0.9828688944140674,0.1475536805267116,0.2901372626371496,0.01304671402559637
Endo,MMP7,CD151,DC,0.2891566265060241,0.404973224400984,0.08753115179784073,0.2714285714285714,0.4924187231780137,0.06376046684910143,0.1994163980808158,0.0055810271024698856
