Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,EFNB2,RHBDL2,ETC,0.6746987951807228,1.05062921018115,0.6158296058948042,0.22945638432364104,0.3260301697118677,0.7212579152687598,0.3425368196996059,0.4441719777084684
Endo,SEMA6A,PLXNA2,ETC,0.2771084337349398,0.3758858889302231,0.7821884706440033,0.2319848293299621,0.3267049676406524,0.2990751060987367,0.1228037871795264,0.2339330998470639
Endo,EFNB2,EPHB4,ETC,0.6746987951807228,1.05062921018115,0.6158296058948042,0.2010113780025284,0.2747839425513968,0.3130563568966456,0.2886960365332366,0.1927893728905244
Endo,CTHRC1,FZD5,ETC,0.5301204819277109,0.8830469478104591,0.2531791983839383,0.2534766118836915,0.3563560946824408,0.6248129262388473,0.3146791617429843,0.1581896358050741
Endo,SEMA6B,PLXNA2,ETC,0.3132530120481928,0.4981352957603603,0.516027845845753,0.2319848293299621,0.3267049676406524,0.2990751060987367,0.1627432756820553,0.1543310827462211
Endo,AGRN,DAG1,ETC,0.4939759036144578,0.7477450548418025,0.3155362300547548,0.4339443742098609,0.6195990852425176,0.4423706986881448,0.463302151974597,0.1395839825507451
Endo,IGF2,IGF1R,ETC,0.2289156626506024,0.3874717913277074,0.4522455921146629,0.2041719342604298,0.2873160819276567,0.287333671722445,0.1113268769417675,0.1299453865025973
Endo,COL18A1,GPC1,ETC,0.7349397590361446,1.164970039928309,0.4511425506909514,0.2231352718078382,0.31566135023201697,0.2742263119879348,0.3677360157836167,0.1237151578568096
Endo,IGF2,INSR,ETC,0.2289156626506024,0.3874717913277074,0.4522455921146629,0.4775600505689001,0.7082798384734544,0.2731817614899505,0.2744384577746087,0.1235452474799493
Endo,SEMA4A,PLXNB1,ETC,0.2409638554216867,0.3505599809762351,0.1914924249539,0.2797092288242731,0.4003783981618074,0.5467520819388303,0.1403566436428987,0.10469888201906
Endo,SFRP2,FZD5,ETC,0.3614457831325301,0.5814948141664599,0.1627729913610582,0.2534766118836915,0.3563560946824408,0.6248129262388473,0.2072192210544513,0.1017026690449534
Endo,FSTL1,DIP2A,ETC,0.6385542168674698,0.97341775876766,0.3504869918947541,0.2392541087231353,0.3467998253637566,0.2651004085505606,0.3375811087466038,0.09291424474295633
Endo,CXCL12,ITGAV,ETC,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.4807206068268015,0.7098167540707018,0.2285332343067716,0.2757417147353912,0.09240650509188053
Endo,APOE,LRP5,ETC,0.4216867469879518,0.6260501776523689,0.1560431148142891,0.3726295828065739,0.5306434170140916,0.5823634983648781,0.3322094054917321,0.09087381423900172
Endo,APP,GPC1,ETC,0.9036144578313252,1.46459043369347,0.2777998337358062,0.2231352718078382,0.31566135023201697,0.2742263119879348,0.462314593836576,0.07618002387623163
Endo,SEMA4A,PLXNB2,ETC,0.2409638554216867,0.3505599809762351,0.1914924249539,0.5145385587863464,0.7685220390265349,0.3301598790167434,0.2694130713809595,0.06322311585540241
Endo,FN1,NT5E,ETC,0.5421686746987951,0.8642942634117851,0.1790228764844246,0.2117572692793932,0.2885665976399651,0.3469718097320815,0.2494064549524786,0.06211589143724373
Endo,CXCL12,ITGB1,ETC,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.6643489254108723,1.003136297855477,0.150596334526137,0.3896872274395905,0.0608930293898863
Endo,THBS2,ITGA6,ETC,0.2168674698795181,0.3326806122717528,0.1467626893798086,0.6419089759797725,0.9649651975484276,0.3754835013386252,0.3210252127413438,0.05510696847420361
Endo,TGFB1,TGFBR3,ETC,0.5301204819277109,0.7730004598287725,0.2164084381940813,0.2243994943109987,0.3197336809731754,0.24984382223222,0.2471542824150107,0.054068311361714416
Endo,APOE,SORL1,ETC,0.4216867469879518,0.6260501776523689,0.1560431148142891,0.4778761061946903,0.6904945438300015,0.2964991265578069,0.4322842318327639,0.046266647247796285
Endo,GNAI2,IGF1R,ETC,0.8313253012048193,1.312958070496229,0.1575386561226826,0.2041719342604298,0.2873160819276567,0.287333671722445,0.3772339685502726,0.04526616050195004
Endo,LRPAP1,SORL1,ETC,0.4457831325301205,0.6296260417511444,0.1392970071451064,0.4778761061946903,0.6904945438300015,0.2964991265578069,0.4347533464824461,0.04130144095064064
Endo,GRN,SORT1,ETC,0.7349397590361446,1.138689582354902,0.1708695796685547,0.2101769911504425,0.2897345846808113,0.2255069324691236,0.329917753223964,0.03853227476334432
Endo,PSEN1,NCSTN,ETC,0.2168674698795181,0.2766967448198559,0.1599566031913739,0.2951959544879899,0.4188409688856023,0.23345772788369296,0.1158919326878407,0.037343105141051616
Endo,LRPAP1,SORT1,ETC,0.4457831325301205,0.6296260417511444,0.1392970071451064,0.2101769911504425,0.2897345846808113,0.2255069324691236,0.182424439710991,0.03141244078342255
Endo,TNFSF12,TNFRSF12A,ETC,0.2771084337349398,0.3821863132822346,0.0869390217208963,0.6959544879898862,1.068473033407284,0.2947160461285121,0.4083557694794158,0.02562232473586339
