Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,DLL1,NOTCH4,Endo,0.2650602409638554,0.4178079626773564,0.6604900481422159,0.7228915662650602,1.1549036225715672,0.9128146006220259,0.4825279296353248,0.6029049595097594
Endo,ACE,BDKRB2,Endo,0.3132530120481928,0.4352084362683581,0.5908308741402879,0.2530120481927711,0.3493699538287559,0.7135356681582526,0.1520487512849613,0.4215789025482149
Endo,DLL1,NOTCH1,Endo,0.2650602409638554,0.4178079626773564,0.6604900481422159,0.3734939759036144,0.5702835496842245,0.5850246121222258,0.2382690080419768,0.3864029342249901
Endo,EFNB2,EPHB4,Endo,0.6746987951807228,1.05062921018115,0.6158296058948042,0.3012048192771085,0.4626556925389811,0.5270952307435397,0.4860795848380429,0.3246008482178249
Endo,SEMA6A,PLXNA2,Endo,0.2771084337349398,0.3758858889302231,0.7821884706440033,0.2891566265060241,0.4503364955144758,0.4122509558050752,0.1692751339341801,0.3224579446427004
Endo,DLL1,NOTCH3,Endo,0.2650602409638554,0.4178079626773564,0.6604900481422159,0.3012048192771085,0.3881658007389215,0.3982551996311702,0.1621787623877534,0.2630435959772794
Endo,IGF2,INSR,Endo,0.2289156626506024,0.3874717913277074,0.4522455921146629,0.7710843373493976,1.25904474081652,0.4856104062374857,0.4878443210859059,0.2196151657059137
Endo,CXCL12,ITGA5,Endo,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.7228915662650602,1.182096860140334,0.4809201196231258,0.459207835443612,0.1944581391741383
Endo,CXCL12,ACKR3,Endo,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.3012048192771085,0.4592867378863493,0.46060443524521,0.1784186016091015,0.1862435729312569
Endo,F11R,JAM2,Endo,0.2168674698795181,0.34647279679339604,0.1921649080393434,0.4578313253012048,0.7295322390460345,0.7962363279255192,0.2527630752132279,0.1530086807333919
Endo,JAM2,F11R,Endo,0.4578313253012048,0.7295322390460345,0.7962363279255192,0.2168674698795181,0.34647279679339604,0.1921649080393434,0.2527630752132279,0.1530086807333919
Endo,PSEN1,NOTCH4,Endo,0.2168674698795181,0.2766967448198559,0.1599566031913739,0.7228915662650602,1.1549036225715672,0.9128146006220259,0.319558072946212,0.1460107228589899
Endo,FAM3C,LIFR,Endo,0.4578313253012048,0.6825369664996018,0.1820650367914033,0.2168674698795181,0.3576535566376863,0.71826528507466,0.2441117736052799,0.1307709955531058
Endo,SEMA4C,PLXNB2,Endo,0.3373493975903614,0.5104919008928854,0.543362220055262,0.3855421686746988,0.5533522983030206,0.2377221713677547,0.28248186662415603,0.1291692467907406
Endo,PDGFB,PDGFRB,Endo,0.2409638554216867,0.3360935106904679,0.5474960672280186,0.2771084337349398,0.3423729245521811,0.2291992592459825,0.1150693181781053,0.1254856930487505
Endo,IGF2,IGF1R,Endo,0.2289156626506024,0.3874717913277074,0.4522455921146629,0.2048192771084337,0.2757371793131788,0.2757540602352876,0.1068403788041266,0.12470855824913
Endo,IGF2,IGF2R,Endo,0.2289156626506024,0.3874717913277074,0.4522455921146629,0.2530120481927711,0.3309305542970036,0.2667629858274541,0.1282262546785311,0.1206423844798124
Endo,TGFB1,TGFBR3,Endo,0.5301204819277109,0.7730004598287725,0.2164084381940813,0.4216867469879518,0.6575111855438037,0.5137873096656477,0.5082564487679216,0.1111879092486816
Endo,CADM1,CADM1,Endo,0.2530120481927711,0.3391357538574492,0.3208884716859526,0.2530120481927711,0.3391357538574492,0.3208884716859526,0.1150130595444604,0.1029694112609464
Endo,IGFBP4,LRP6,Endo,0.8554216867469879,1.37534983987553,0.2189899285999688,0.2409638554216867,0.3245520400332979,0.4546302905887392,0.4463725962910727,0.09955945487541107
Endo,SEMA4A,PLXND1,Endo,0.2409638554216867,0.3505599809762351,0.1914924249539,0.6265060240963856,1.0223317378420558,0.5056318652780514,0.3583885945693125,0.0968246720160577
Endo,CXCL12,ITGAV,Endo,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.4578313253012048,0.7302575417282929,0.2351143685056721,0.2836823244870241,0.09506756055151976
