Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,CXCL12,CXCR4,TIL,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.9420289855072465,2.320384533047703,0.3679872555105378,0.9013971652806652,0.1487941843698576
Endo,PTDSS1,JMJD6,TIL,0.2289156626506024,0.3253979213581647,0.2184294045617672,0.2898550724637681,0.6728996447813774,0.2523923960663242,0.2189601456945076,0.05512992078868492
Endo,TFF2,CXCR4,TIL,0.3493975903614458,0.5403893657053763,0.1289054554112641,0.9420289855072465,2.320384533047703,0.3679872555105378,1.253911126006214,0.04743556475712708
Endo,CXCL12,ITGB1,TIL,0.2409638554216867,0.3884688733451983,0.4043460259606645,0.2318840579710145,0.537496998799522,0.08069200367991196,0.2088008535500757,0.03262749101477572
Endo,SPON2,ITGB2,TIL,0.2289156626506024,0.2964628606300569,0.1466617691018419,0.2608695652173913,0.6183089085736447,0.1597135087665241,0.1833056277887911,0.02342386574516096
Endo,VCAN,CD44,TIL,0.2168674698795181,0.2951942667898891,0.0884201192340609,0.7246376811594203,1.753911691724325,0.2481641473990201,0.5177446758527761,0.02194270350264042
Endo,MMP7,CD44,TIL,0.2891566265060241,0.404973224400984,0.08753115179784073,0.7246376811594203,1.753911691724325,0.2481641473990201,0.7102872731121844,0.02172209365676535
Endo,THBS2,CD47,TIL,0.2168674698795181,0.3326806122717528,0.1467626893798086,0.4492753623188406,1.085475245886216,0.1473584419101139,0.3611165694072578,0.02162672123754662
Endo,THBS2,ITGB1,TIL,0.2168674698795181,0.3326806122717528,0.1467626893798086,0.2318840579710145,0.537496998799522,0.08069200367991196,0.1788148306548545,0.011842575471509293
Endo,SPON2,ITGB1,TIL,0.2289156626506024,0.2964628606300569,0.1466617691018419,0.2318840579710145,0.537496998799522,0.08069200367991196,0.1593478978441766,0.01183443201206822
Endo,FBLN1,ITGB1,TIL,0.2168674698795181,0.3278467116700527,0.1416703356867907,0.2318840579710145,0.537496998799522,0.08069200367991196,0.1762166235889455,0.01143166324857287
Endo,VCAN,ITGB1,TIL,0.2168674698795181,0.2951942667898891,0.0884201192340609,0.2318840579710145,0.537496998799522,0.08069200367991196,0.1586660324623908,0.0071347965866130954
