Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,CCL20,CCR6,DC,0.5588785046728972,1.085614084981775,0.38079778737478703,0.2071428571428572,0.3718316234299864,0.6426183091596711,0.4036656476372324,0.2447076302545296
TAM,CD84,CD84,DC,0.3271028037383177,0.5848633828320877,0.4559242869181284,0.2357142857142857,0.4701378709516233,0.3664911838537245,0.2749664256022419,0.16709223166029
TAM,B2M,CD1A,DC,1.0,1.9458957624110893,0.1395548331331609,0.3285714285714286,0.5846014082965598,0.9613949076755932,1.13757340310383,0.1341673059157381
TAM,ICAM1,ITGAX,DC,0.4392523364485981,0.8326766497432718,0.3178684867038108,0.2214285714285714,0.397676990375581,0.3386184608167481,0.3311363440259261,0.1076361377097934
TAM,ICAM1,ITGAM,DC,0.4392523364485981,0.8326766497432718,0.3178684867038108,0.2214285714285714,0.4094943927282388,0.2828366116566107,0.3409764190256055,0.08990484573172026
TAM,ANXA1,FPR1,DC,0.8373831775700935,1.607826338888828,0.1889517420446718,0.3285714285714286,0.5834042532681701,0.4626804875669367,0.9380127246243324,0.08742428413585082
TAM,GNAI2,FPR1,DC,0.7514018691588785,1.408125618552551,0.1689575795172563,0.3285714285714286,0.5834042532681701,0.4626804875669367,0.821506474999431,0.07817337526917363
TAM,OSM,IL6ST,DC,0.4186915887850468,0.7810622618527304,0.5508352624501226,0.25,0.4410645783303071,0.1347325768179194,0.3444988971737905,0.07421545431207993
TAM,APOE,SORL1,DC,0.8149532710280374,1.574912145534544,0.3925471240494188,0.2285714285714286,0.4009211160037912,0.1721559739695373,0.6314155349956344,0.06757933246966846
TAM,ANXA1,FPR3,DC,0.8373831775700935,1.607826338888828,0.1889517420446718,0.2642857142857143,0.4741822848783795,0.3470860451813974,0.7624027670619441,0.06558251287642071
TAM,C3,ITGAX,DC,0.2429906542056075,0.4358556314106594,0.1822241704721412,0.2214285714285714,0.397676990375581,0.3386184608167481,0.1733297557376396,0.06170446812888517
TAM,C3,ITGAM,DC,0.2429906542056075,0.4358556314106594,0.1822241704721412,0.2214285714285714,0.4094943927282388,0.2828366116566107,0.1784804371016911,0.05153966693827704
TAM,TFF3,CXCR4,DC,0.5532710280373832,1.0677698151937758,0.2453351158235597,0.6785714285714286,1.271028956911999,0.2015710977499661,1.3571663544278632,0.04945246861317002
TAM,TFF2,CXCR4,DC,0.4598130841121496,0.8576917777514289,0.2045953459302959,0.6785714285714286,1.271028956911999,0.2015710977499661,1.090151085627397,0.04124050847370381
TAM,LRPAP1,SORL1,DC,0.5794392523364486,1.080898781296518,0.2391355428098828,0.2285714285714286,0.4009211160037912,0.1721559739695373,0.4333551456845377,0.04116861228316935
TAM,INHBA,ENG,DC,0.4635514018691589,0.9008486337780236,0.3483832042830191,0.2142857142857143,0.3812464601275266,0.1178239170966609,0.3434453527385901,0.04104787377931153
TAM,CD99,PILRA,DC,0.6355140186915887,1.170138681088799,0.1209077294661401,0.2642857142857143,0.492783316303774,0.3356100645837333,0.5766248198022628,0.04057785089480384
TAM,THBS1,ITGB1,DC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.5428571428571428,0.9828688944140674,0.1475536805267116,0.5141827230090613,0.028935849064546017
TAM,CIRBP,TREM1,DC,0.6280373831775701,1.157020884568479,0.1100433950634494,0.2357142857142857,0.4194492342204992,0.2596178575837306,0.4853115240093733,0.028569230467612814
TAM,CLEC11A,ITGB1,DC,0.2579439252336448,0.4526739192827821,0.1773839281439023,0.5428571428571428,0.9828688944140674,0.1475536805267116,0.4449191145755508,0.026173651463918517
TAM,TGFB1,ENG,DC,0.4037383177570094,0.7362498836814553,0.2061197835294576,0.2142857142857143,0.3812464601275266,0.1178239170966609,0.280692661922858,0.0242858402865565
TAM,THBS1,CD47,DC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.4642857142857143,0.8466451041919776,0.1149361110512452,0.4429179594245289,0.02253941717734834
