Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,IL1B,IL1RAP,TAM,0.4953271028037383,0.9471157368121559,0.5708690987123224,0.2485981308411215,0.4723389660728358,0.348963437323707,0.4473596678771659,0.1992124429485387
TAM,FN1,SDC2,TAM,0.6934579439252336,1.332433777594053,0.2759894837763688,0.3850467289719626,0.7330941063280553,0.3056722257917922,0.9767993494266268,0.08436231980105037
TAM,DCN,TLR2,TAM,0.2934579439252337,0.550184834362928,0.1227349850315155,0.2411214953271028,0.448637030097161,0.5580890086623118,0.2468332900930825,0.06849704612442219
TAM,TGFB1,SDC2,TAM,0.4037383177570094,0.7362498836814553,0.2061197835294576,0.3850467289719626,0.7330941063280553,0.3056722257917922,0.5397404505115911,0.06300509301117169
TAM,THBS1,LRP1,TAM,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.4299065420560748,0.8088034722888814,0.2900216347895299,0.423121307556082,0.05687436748284652
TAM,TFF3,CXCR4,TAM,0.5532710280373832,1.0677698151937758,0.2453351158235597,0.7308411214953271,1.39438131952898,0.2211334145701629,1.488878283863113,0.054251791876030166
TAM,THBS1,SDC4,TAM,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.3327102803738318,0.6344299240711627,0.2389135086049618,0.3318986975488859,0.04685186570607303
TAM,TFF2,CXCR4,TAM,0.4598130841121496,0.8576917777514289,0.2045953459302959,0.7308411214953271,1.39438131952898,0.2211334145701629,1.195949392810194,0.04524286745073003
TAM,THBS1,ITGB1,TAM,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.6317757009345795,1.1769723616225471,0.176693559866042,0.615726936974907,0.03465029242720622
TAM,MMP2,SDC2,TAM,0.2205607476635514,0.4005207680191338,0.1110513395780241,0.3850467289719626,0.7330941063280553,0.3056722257917922,0.2936194144968132,0.03394531014597478
TAM,CLEC11A,ITGB1,TAM,0.2579439252336448,0.4526739192827821,0.1773839281439023,0.6317757009345795,1.1769723616225471,0.176693559866042,0.5327846918231904,0.03134259772676831
TAM,THBS1,CD47,TAM,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.4542056074766355,0.8181140977596678,0.1110628908466149,0.4279921125888737,0.02177986367224519
TAM,TNFSF12,TNFRSF12A,TAM,0.2803738317757009,0.4934367988081591,0.1122460723437586,0.3345794392523365,0.6279253085103129,0.1732001261632627,0.3098414541219546,0.0194410338912697
