Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,PDGFC,PDGFRA,CAF,0.10353323139611631,0.2351573498223817,0.33767562042987936,0.20582025981692292,0.38013516898376654,0.3746935505662243,0.39483356150433935,0.3709229933257189
CAF,PDGFC,PDGFRB,CAF,0.10353323139611631,0.2351573498223817,0.33767562042987936,-0.06886706211747917,-0.06712939629657687,0.06882660156698239,0.2057552306244933,0.25598416925396983
CAF,SERPINE2,LRP1,CAF,0.04490635030601664,0.08391910508828238,0.3828557590776316,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.2743654509911031,0.2004332525359982
CAF,FGF7,FGFR1,CAF,0.20991346268155003,0.3951882239421104,0.05336703849137159,0.09351236569498372,0.2049812938022758,0.15961807388249538,0.4556951482952689,0.14369042775505392
CAF,PLAT,LRP1,CAF,-0.0293903033930335,-0.031128002047268618,0.2253032711381751,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.25577907812751755,0.13953595686100087
CAF,C3,LRP1,CAF,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.5413386969301671,0.12264975341543308
CAF,LTBP1,ITGB5,CAF,0.22485969968148034,0.4037913383078992,0.18191488294682767,-0.015138906538876284,0.0434894879163914,0.08265330114771191,0.3801545662045386,0.10779711009496927
CAF,THBS1,LRP1,CAF,0.06063146416551546,0.14925980635105374,0.12603990324934874,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.4757827837591828,0.09462278812609068
CAF,SERPING1,LRP1,CAF,0.03306537236462925,0.10594444409706072,0.09939131522348447,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.5960130596667528,0.08576310740149376
CAF,THBS1,SDC1,CAF,0.06063146416551546,0.14925980635105374,0.12603990324934874,0.061154131531805045,0.17919264161777915,0.13906403514690208,0.2706704837397784,0.08395422809424717
