Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,SPON2,ITGB2,DC,0.000317699771666069,0.04714980411760483,0.14165905961906622,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.6605989711894957,0.10125592618089599
CAF,CXCL12,CD4,DC,0.048858125530353735,0.10222150928549506,0.08322865046742761,0.171875,0.2958461812515467,0.14687597531052987,0.2088005753761428,0.0956525979675186
CAF,C3,ITGB2,DC,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.6854888588737169,0.09349310431386024
CAF,GAS6,AXL,DC,-0.10723699583095903,-0.12977991949131984,0.09525103535805107,0.11026785714285708,0.1896848008901592,0.1979100218058064,0.11241239323229613,0.08168073481109178
CAF,VCAM1,ITGB2,DC,-0.03037414784722542,-0.022568079833868604,0.07206439606989051,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.2305394377842987,0.07061016538453453
CAF,PROS1,AXL,DC,0.040433957391336484,0.07942670004699809,0.04192058171921298,0.11026785714285708,0.1896848008901592,0.1979100218058064,0.126676541537659,0.06549838510681635
CAF,ADAM12,ITGB1,DC,-0.05819644914139069,-0.0532789021017559,0.19418327603798372,0.23035714285714282,0.425805372047825,0.07759469713235374,0.12492611668788778,0.05786218466360424
CAF,THBS2,ITGB1,DC,0.10007542807482128,0.23264234732423786,0.12512279887655153,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7306831191087552,0.05707559591362396
CAF,FBN1,ITGB1,DC,0.032339787079662674,0.1076351095336161,0.11019225793424192,0.23035714285714282,0.425805372047825,0.07759469713235374,0.5174932991603284,0.056584951060950475
CAF,SPON2,ITGB1,DC,0.000317699771666069,0.04714980411760483,0.14165905961906622,0.23035714285714282,0.425805372047825,0.07759469713235374,0.5417441518825966,0.05638092258508375
CAF,FBLN1,ITGB1,DC,0.10895257459795604,0.2254513114824668,-0.013334236145114977,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7542116523158211,0.04856859213544271
CAF,CXCL12,ITGB1,DC,0.048858125530353735,0.10222150928549506,0.08322865046742761,0.23035714285714282,0.425805372047825,0.07759469713235374,0.2704263170699518,0.04631559827906268
CAF,VCAM1,ITGB1,DC,-0.03037414784722542,-0.022568079833868604,0.07206439606989051,0.23035714285714282,0.425805372047825,0.07759469713235374,0.1934988419797522,0.04151431398189172
CAF,THBS1,ITGB1,DC,0.06063146416551546,0.14925980635105374,0.12603990324934874,0.23035714285714282,0.425805372047825,0.07759469713235374,0.5375535426885456,0.03985818662632636
CAF,SERPINF1,PLXDC2,DC,-0.042463136578107075,-0.05837185825761604,0.17065670966640173,0.07276785714285722,0.11313682499150307,0.023418039093659082,0.15539612210553044,0.03799010937360709
CAF,CLEC11A,ITGB1,DC,0.007514112018889851,0.048023788665356726,-0.036960590255507686,0.23035714285714282,0.425805372047825,0.07759469713235374,0.5871299343581199,0.03742998159536885
CAF,VCAN,ITGB1,DC,0.14143788866980134,0.30017766345699703,0.04462859227118149,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7881685226783859,0.0370160333635805
CAF,FN1,PLAUR,DC,-0.01828105976445127,0.018829922488622808,0.12176887997784852,0.02946428571428572,0.011377559983423824,0.03643098069347148,0.04241319140269395,0.035685033528261315
CAF,FN1,ITGB1,DC,-0.01828105976445127,0.018829922488622808,0.12176887997784852,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7142043301288257,0.03508105705125888
CAF,FN1,CD44,DC,-0.01828105976445127,0.018829922488622808,0.12176887997784852,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.26226286850118186,0.03489492157054308
CAF,LGALS3BP,ITGB1,DC,-0.04139320573417349,-0.04268850423575277,0.12708937500944398,0.23035714285714282,0.425805372047825,0.07759469713235374,0.5745046147319447,0.034862943990783504
CAF,COL1A2,ITGB1,DC,-0.0004898725511495172,0.0311384176977334,0.06832506618360762,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7817029723703239,0.033906604421600615
CAF,ANGPTL2,ITGB1,DC,-0.054972308877966364,-0.06764949450654634,0.04766488827497284,0.23035714285714282,0.425805372047825,0.07759469713235374,0.13018663944333847,0.032826410767476645
CAF,TIMP2,ITGB1,DC,0.08186200761659579,0.19784593857416,0.09959838904039632,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7612269916026139,0.032396198784311304
CAF,LAMB1,ITGB1,DC,-0.12153963458377232,-0.1924655067846629,0.05294356989153853,0.23035714285714282,0.425805372047825,0.07759469713235374,0.11961714679213815,0.03151847839327074
CAF,TGM2,ITGB1,DC,0.019264904218642964,0.05173381746000072,0.1410864535474292,0.23035714285714282,0.425805372047825,0.07759469713235374,0.282745183525019,0.029235031379374526
CAF,C3,CD46,DC,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.06562499999999999,0.08330232851595709,0.013136020111247995,0.19220921637602306,0.02913132612544695
CAF,COL1A2,CD44,DC,-0.0004898725511495172,0.0311384176977334,0.06832506618360762,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.29931029960968925,0.027169247569574062
CAF,HSPG2,ITGB1,DC,0.10221528976268845,0.20801089196118894,0.05430078070977001,0.23035714285714282,0.425805372047825,0.07759469713235374,0.5835744308520715,0.02593706060116738
CAF,VCAN,CD44,DC,0.14143788866980134,0.30017766345699703,0.04462859227118149,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.6147913975125308,0.02568092953744401
CAF,COL4A1,ITGB1,DC,-0.12175690023407304,-0.2210284757658919,-0.04071220747488219,0.23035714285714282,0.425805372047825,0.07759469713235374,0.28420209153297993,0.024968345799038682
CAF,COL18A1,ITGB1,DC,-0.17719653522778045,-0.3030058414207323,-0.02039899762096492,0.23035714285714282,0.425805372047825,0.07759469713235374,0.1971785522097768,0.024399544138463868
CAF,PLAU,PLAUR,DC,-0.0007665788038910826,0.05517458991342261,0.06812018038527977,0.02946428571428572,0.011377559983423824,0.03643098069347148,0.07915176431617899,0.023995600635024823
CAF,MDK,ITGB1,DC,0.014431768337425877,0.062203583994296034,0.011208897191180732,0.23035714285714282,0.425805372047825,0.07759469713235374,0.5698287433467536,0.02173215464621352
CAF,COL1A1,ITGB1,DC,-0.001801665156738741,0.03182703252561825,0.0004121266754892328,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7760508719035543,0.01982215846658629
CAF,ICAM1,ITGB2,DC,-0.03577914331744145,-0.05306311591686957,0.012738301972538809,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.132361997919847,0.01792125627397123
CAF,GRN,TNFRSF1B,DC,-0.05504814688797699,-0.04652125521067707,0.030228960634865607,0.07767857142857137,0.13226212964357953,0.07663745574073341,0.11309788264932966,0.017898793499957672
CAF,MYL9,CD69,DC,-0.006190021357623587,0.03092829174203882,0.08156447024027852,0.025892857142857217,0.002057624119492285,-0.012307269568551105,0.0215937419805855,0.0174398996882746
CAF,SPP1,CD44,DC,0.08591626663824448,0.21014757856896785,0.06572188698172267,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.3657880981281611,0.017293109765085347
CAF,HMGB1,HAVCR2,DC,-0.01297034938776176,0.026139742546066103,-0.010026906203204787,0.015178571428571375,0.004771146183548458,0.1484767925672602,0.02738952571558806,0.016389491498728988
CAF,SPP1,ITGB1,DC,0.08591626663824448,0.21014757856896785,0.06572188698172267,0.23035714285714282,0.425805372047825,0.07759469713235374,0.3597668106337297,0.016047156450377784
CAF,APP,CD74,DC,0.012677245727450548,0.08062253029888411,0.04204495680653547,0.028124999999999956,0.062264024268091626,0.023177154051366892,0.2222583012797168,0.01326528812634905
CAF,LGALS1,ITGB1,DC,-0.005616112092678427,0.016266326659126973,-0.0017623457425622047,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7774164590775928,0.01227073024146427
CAF,ADAM9,ITGB1,DC,-0.03674864004000958,-0.047051388677710526,0.008354637209993104,0.23035714285714282,0.425805372047825,0.07759469713235374,0.12821233894974826,0.011932550627547332
CAF,ADAM17,ITGB1,DC,-0.03285015639027472,-0.0669151457793849,0.005238494010890799,0.23035714285714282,0.425805372047825,0.07759469713235374,0.143759920002497,0.011811551985854268
CAF,GRN,TNFRSF1A,DC,-0.05504814688797699,-0.04652125521067707,0.030228960634865607,0.06116071428571429,0.10517041540174876,0.05669236993762256,0.09662251992323778,0.011181596865137105
CAF,COL1A1,CD44,DC,-0.001801665156738741,0.03182703252561825,0.0004121266754892328,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.29821024354637826,0.010632463369752716
CAF,JAG1,CD46,DC,-0.020648435482350347,-0.015623423324521768,0.057766789683170526,0.06562499999999999,0.08330232851595709,0.013136020111247995,0.029341199671487406,0.00994125540359565
CAF,HLA-A,APLP2,DC,0.022933824162399752,0.10443324640116236,0.020896472210861158,0.1816964285714286,0.28590671202909523,0.0525804840804884,0.5510101033985371,0.009909180502276129
CAF,CXCL12,CXCR4,DC,0.048858125530353735,0.10222150928549506,0.08322865046742761,0.022321428571428603,0.04964098793451988,-0.016404542401726313,0.14974020446664066,0.009581062711154569
CAF,HLA-B,CANX,DC,0.039144711221155926,0.14549469033385898,-0.011192431721083279,0.19107142857142856,0.3397771838554854,0.06132879446110673,0.727642518607146,0.0065319790238060615
CAF,VIM,CD44,DC,0.00250265433035024,0.04195585513994904,-0.007935448929472594,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.3099915219597773,0.0048377728880174475
CAF,LAMB2,RPSA,DC,0.0024001705330388146,0.055540258808600806,0.0441004377761709,0.008482142857142771,0.008966677445757966,-0.017964935181155994,0.11224332423363492,0.0012023946631432786
CAF,CXCL14,CXCR4,DC,0.2786718919738789,0.5375316555069365,0.03886067537190219,0.022321428571428603,0.04964098793451988,-0.016404542401726313,0.7072126694679709,0.0008602298141541648
CAF,LGALS1,PTPRC,DC,-0.005616112092678427,0.016266326659126973,-0.0017623457425622047,0.07723214285714286,0.09962390434762124,0.0017298984401087625,0.19541303641880914,-0.00016342899829331623
