Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,COMP,ITGA5,Endo,0.2416772908203213,0.4930815451921219,0.19343952702529227,0.05016429353778751,0.122538522085484,0.12748875815868693,0.6276869446813693,0.15311807543806275
CAF,CTHRC1,FZD6,Endo,0.08122455839731735,0.1869231056350662,0.13202745296953838,0.07097480832420588,0.1412582538401414,0.2358246240779975,0.2769750795896196,0.14571851994132012
CAF,SEMA3C,PLXND1,Endo,0.1103566026211256,0.21450671262373144,0.2197516875271536,0.04468784227820377,0.13238999384211858,0.08244865420372867,0.26386284543574273,0.12889284806687046
CAF,SPON2,ITGA5,Endo,0.000317699771666069,0.04714980411760483,0.14165905961906622,0.05016429353778751,0.122538522085484,0.12748875815868693,0.19830273817125188,0.12641834982637987
CAF,FBN1,ITGA5,Endo,0.032339787079662674,0.1076351095336161,0.11019225793424192,0.05016429353778751,0.122538522085484,0.12748875815868693,0.24571499856527998,0.11924911115061836
CAF,THBS1,CD36,Endo,0.06063146416551546,0.14925980635105374,0.12603990324934874,0.015991237677984604,0.011677183034914164,0.16458051271327562,0.08996407913344345,0.11871719191651132
CAF,SEMA3C,NRP1,Endo,0.1103566026211256,0.21450671262373144,0.2197516875271536,-0.07031763417305581,-0.09238553478409528,0.07925593396723958,0.1714167808859383,0.10591803805278482
CAF,C3,NRP1,Endo,0.12371639043867177,0.2610216462909428,0.21617819564829668,-0.07031763417305581,-0.09238553478409528,0.07925593396723958,0.1853581958421392,0.1008031287787938
CAF,CXCL12,ITGA5,Endo,0.048858125530353735,0.10222150928549506,0.08322865046742761,0.05016429353778751,0.122538522085484,0.12748875815868693,0.16974575635376438,0.09594597497539913
CAF,COL8A1,ITGA1,Endo,0.10059809544111076,0.2394137422966817,0.12155074787347865,0.014676889375684565,0.010875705147457504,0.07263386184036719,0.20869967688682006,0.0958679736263173
CAF,THBS2,ITGA6,Endo,0.10007542807482128,0.23264234732423786,0.12512279887655153,0.0869660460021906,0.1199017305666632,0.0842465716245347,0.3723205440049633,0.0902577881349516
CAF,FN1,ITGA5,Endo,-0.01828105976445127,0.018829922488622808,0.12176887997784852,0.05016429353778751,0.122538522085484,0.12748875815868693,0.22246688252181698,0.08667891454100755
CAF,SEMA3C,NRP2,Endo,0.1103566026211256,0.21450671262373144,0.2197516875271536,0.021905805038335224,0.022379079318028183,0.10062949812762563,0.1299398080049289,0.08517583598988225
CAF,JAG1,NOTCH4,Endo,-0.020648435482350347,-0.015623423324521768,0.057766789683170526,0.17743702081051482,0.30246239733584834,0.13547734714944193,0.11829588050144454,0.08110478014126021
CAF,PDGFC,PDGFRB,Endo,0.10353323139611631,0.2351573498223817,0.33767562042987936,0.0043811610076671115,-0.04708894287697096,0.008759385124273794,0.0544793125430732,0.0802609181569715
CAF,FGF7,NRP1,Endo,0.20991346268155003,0.3951882239421104,0.05336703849137159,-0.07031763417305581,-0.09238553478409528,0.07925593396723958,0.32476575775736805,0.07985151541428688
CAF,THBS1,ITGA6,Endo,0.06063146416551546,0.14925980635105374,0.12603990324934874,0.0869660460021906,0.1199017305666632,0.0842465716245347,0.2582367473888509,0.07177175159865429
CAF,FBN1,ITGAV,Endo,0.032339787079662674,0.1076351095336161,0.11019225793424192,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.28973618670695817,0.06808542847523046
CAF,MFGE8,ITGAV,Endo,-0.07063798213502437,-0.08637984472508098,0.16836271459878344,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.22792768402366734,0.06758876023176183
CAF,ADAM12,ITGB1,Endo,-0.05819644914139069,-0.0532789021017559,0.19418327603798372,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.01936523532182793,0.06426683033357414
CAF,VEGFB,NRP1,Endo,0.029822785017688702,0.07592194654286477,0.1095719393500712,-0.07031763417305581,-0.09238553478409528,0.07925593396723958,0.02143547708791893,0.06186654108251392
CAF,SPON2,ITGB1,Endo,0.000317699771666069,0.04714980411760483,0.14165905961906622,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.32789978691158783,0.05830786883330709
CAF,THBS2,ITGB1,Endo,0.10007542807482128,0.23264234732423786,0.12512279887655153,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.5904807058497301,0.057367880712956
CAF,FBN1,ITGB1,Endo,0.032339787079662674,0.1076351095336161,0.11019225793424192,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.3681059085012617,0.0556178854051691
CAF,CXCL12,ITGAV,Endo,0.048858125530353735,0.10222150928549506,0.08322865046742761,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.16180723171209424,0.05516621823499342
CAF,C3,CD46,Endo,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.11171960569550943,0.2269728099463285,0.043804607837579314,0.3835673530122613,0.05323470733923777
CAF,ANXA1,DYSF,Endo,0.10516477344931774,0.2245851387471507,0.030414457523433275,-0.032639649507119395,-0.08387793965626343,0.2027695009506597,0.03472577351945083,0.051829027900806776
CAF,FGF7,FGFR1,Endo,0.20991346268155003,0.3951882239421104,0.05336703849137159,-0.002409638554216942,0.006087426579872379,0.0424719857123817,0.237901863062221,0.0489583694294865
CAF,INHBA,ENG,Endo,0.21732509090312824,0.4741697302494802,0.1343994984074165,-0.13209200438116098,-0.23722463311840825,-0.01401086328439993,0.4047353873289989,0.0477979658789269
CAF,FN1,ITGAV,Endo,-0.01828105976445127,0.018829922488622808,0.12176887997784852,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.3705277646896554,0.046529171085033134
CAF,TNFSF10,TNFRSF10D,Endo,-0.0482391233945913,-0.05047199396263519,0.04543412415818514,0.11872946330777662,0.1842932716825824,0.18884754886282829,0.04281214800722091,0.0464984057879193
CAF,LTBP1,ITGB5,Endo,0.22485969968148034,0.4037913383078992,0.18191488294682767,0.03483023001095292,0.04580899471418126,0.04294648597058541,0.16520860679040691,0.046321673929395187
CAF,CXCL12,ITGB1,Endo,0.048858125530353735,0.10222150928549506,0.08322865046742761,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.23267175440399726,0.04489219009540775
CAF,THBS1,ITGB1,Endo,0.06063146416551546,0.14925980635105374,0.12603990324934874,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.4152135829022041,0.043569454230408665
CAF,COL1A2,CD93,Endo,-0.0004898725511495172,0.0311384176977334,0.06832506618360762,0.09813800657174154,0.1693890503727844,-0.0005415487672374429,0.3391460584165551,0.04307176637331639
CAF,COL1A1,CD36,Endo,-0.001801665156738741,0.03182703252561825,0.0004121266754892328,0.015991237677984604,0.011677183034914164,0.16458051271327562,0.0373220738148331,0.042155101824759116
CAF,VCAM1,ITGB1,Endo,-0.03037414784722542,-0.022568079833868604,0.07206439606989051,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.08256453632380313,0.04000837584009291
CAF,LGALS3BP,ITGB1,Endo,-0.04139320573417349,-0.04268850423575277,0.12708937500944398,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.266458046258085,0.03963721720847972
CAF,FN1,ITGB1,Endo,-0.01828105976445127,0.018829922488622808,0.12176887997784852,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.39429260019067547,0.039330428050919734
CAF,FSTL1,DIP2A,Endo,0.006923805346374823,0.05269239717625118,0.07025809520811442,-0.0013143483023000946,0.0011323590164137312,0.050598083840112607,0.017772113043652504,0.0388237797248998
CAF,FBLN1,ITGB1,Endo,0.10895257459795604,0.2254513114824668,-0.013334236145114977,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.5966211297355362,0.037949062734318514
CAF,TGM2,ITGB1,Endo,0.019264904218642964,0.05173381746000072,0.1410864535474292,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.19492008670100647,0.03636941732332562
CAF,TIMP2,ITGB1,Endo,0.08186200761659579,0.19784593857416,0.09959838904039632,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.5761274363224487,0.035154571903994694
CAF,VCAN,ITGB1,Endo,0.14143788866980134,0.30017766345699703,0.04462859227118149,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.6801031626491758,0.03389280093565327
CAF,COL1A2,ITGB1,Endo,-0.0004898725511495172,0.0311384176977334,0.06832506618360762,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.4407885277108501,0.03353541273297337
