Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,VEGFA,KDR,Endo,0.13437500000000002,0.23742148535430116,0.06918644351701311,0.06330777656078862,0.08044447269015187,-0.04197887635164499,0.2396518202487581,0.05917861113751241
DC,OSM,OSMR,Endo,0.022767857142857117,0.0234604743763574,0.0718656860494527,-0.0013143483023000946,0.004343193642066201,0.12461503652593092,0.009735141926625418,0.05649144113531754
DC,NAMPT,INSR,Endo,0.16830357142857144,0.2841580523927342,0.0878093856493665,0.061993428258488525,0.1593606596765289,0.0383621806439805,0.4925224703779666,0.048672748851635216
DC,LTB,TNFRSF1A,Endo,0.1263392857142857,0.2389402051320321,0.07247641509905539,0.10514786418400879,0.1555219176568584,0.11147109913110724,0.34663791913998543,0.04858706850520905
DC,VEGFA,NRP1,Endo,0.13437500000000002,0.23742148535430116,0.06918644351701311,-0.07031763417305581,-0.09238553478409528,0.07925593396723958,0.17914563329400268,0.04022411742408733
DC,LTB,LTBR,Endo,0.1263392857142857,0.2389402051320321,0.07247641509905539,0.052135815991237566,0.08336259810622526,0.08346013387977111,0.19548915353020208,0.03840050983787626
DC,OSM,IL6ST,Endo,0.022767857142857117,0.0234604743763574,0.0718656860494527,0.014238773274917849,0.060904818744722526,0.05507771266253442,0.051184641774244984,0.03683303559251439
DC,VEGFA,NRP2,Endo,0.13437500000000002,0.23742148535430116,0.06918644351701311,0.021905805038335224,0.022379079318028183,0.10062949812762563,0.1463842216811136,0.0355482247603449
DC,GRN,TNFRSF1A,Endo,0.04151785714285716,0.05770085315641005,0.0563295156832675,0.10514786418400879,0.1555219176568584,0.11147109913110724,0.2820202565048984,0.03438670608258198
DC,ARF1,INSR,Endo,0.025000000000000022,0.032420343162149916,0.04374163505158407,0.061993428258488525,0.1593606596765289,0.0383621806439805,0.2268243990609058,0.02665088700576565
