Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,VEGFA,NRP1,TAM,0.13437500000000002,0.23742148535430116,0.06918644351701311,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.2144054218904143,0.035699478007116835
DC,ICAM3,ITGB2,TAM,0.09062500000000001,0.14505738376324606,0.0624959687004808,0.007337945816456748,0.17158424698667507,0.014246841980740887,0.3472894306214528,0.029486497788917224
DC,VEGFA,NRP2,TAM,0.13437500000000002,0.23742148535430116,0.06918644351701311,-0.09025547272698609,-0.0956787886696442,0.052307072653355685,0.07751586331634419,0.02639919067208643
DC,ICAM1,ITGB2,TAM,0.046875,0.0491265642398826,0.052404777190973695,0.007337945816456748,0.17158424698667507,0.014246841980740887,0.14651228814600714,0.023073784495446385
DC,HBEGF,CD44,TAM,0.07142857142857151,0.1472037727199227,0.0547244298538917,0.0805598020519771,0.341840706083693,0.07096860451875972,0.41412355881103935,0.022202145599507297
DC,LTB,TNFRSF1A,TAM,0.1263392857142857,0.2389402051320321,0.07247641509905539,-0.1352602795858221,-0.1565642353998452,0.02503607345812928,0.06193046364554955,0.02010549619058546
DC,ICAM1,ITGAX,TAM,0.046875,0.0491265642398826,0.052404777190973695,-0.06234101905407308,-0.00027834878206234315,-0.10015385065026394,0.03430733168159067,0.019266216564317182
DC,HBEGF,CD82,TAM,0.07142857142857151,0.1472037727199227,0.0547244298538917,-0.02034325700146572,0.03866972958373693,0.05742836044355293,0.0924213860899383,0.018379653573578528
DC,LRPAP1,LRP1,TAM,0.050446428571428614,0.057691144497055036,0.03936284640652914,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.115009137500046,0.017347190139894126
DC,LTB,LTBR,TAM,0.1263392857142857,0.2389402051320321,0.07247641509905539,-0.07158279617342508,-0.07558635062174368,0.019017953738129284,0.05126616987460253,0.01722694868026681
DC,ICAM1,ITGAM,TAM,0.046875,0.0491265642398826,0.052404777190973695,0.05982569226647333,0.1898839712283128,-0.1049175161593756,0.11661149621482947,0.01711692442053421
DC,HBEGF,CD9,TAM,0.07142857142857151,0.1472037727199227,0.0547244298538917,-0.08006493199476761,-0.012345944824888822,0.03712626810909611,0.19376200789947973,0.016792872242378864
DC,OSM,IL6ST,TAM,0.022767857142857117,0.0234604743763574,0.0718656860494527,0.004709145639942597,0.044132835503387535,0.027116611392376918,0.02907221073330629,0.015910618370917666
DC,LTB,CD40,TAM,0.1263392857142857,0.2389402051320321,0.07247641509905539,-0.10301492490268083,-0.138672945621391,-0.0024742731845407147,0.030212464367491088,0.015896566566208206
DC,PSAP,LRP1,TAM,-0.08794642857142854,-0.2295687011541101,0.018145999142099526,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.004400092240602005,0.014453062130369744
DC,SERPINA1,LRP1,TAM,0.11964285714285716,0.19578610029521412,0.02065457789109379,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.2498611110282274,0.013275954936984566
DC,CALR,LRP1,TAM,-0.09107142857142858,-0.21819514149324304,0.011215347029797209,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.00017781208308709218,0.011865834924803816
DC,DCN,TLR2,TAM,0.06830357142857141,0.1106996238390026,0.007853282440048001,-0.011829600794313666,0.025109326936219808,0.07160389020455682,0.0593871712258249,0.01177420252460993
DC,HLA-A,APLP2,TAM,-0.050000000000000044,-0.12825257347291075,0.002207713575624604,0.05894312146380676,0.2899197248720642,0.06330986029579737,0.3446947512745937,0.010783481613940743
DC,SPP1,CD44,TAM,-0.025446428571428592,-0.05699497589468532,0.0025573455622602825,0.0805598020519771,0.341840706083693,0.07096860451875972,0.08621648721143815,0.009527974530788831
DC,APP,LRP1,TAM,0.03705357142857141,0.03756796501326309,0.017062230313771482,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.08164044618241267,0.0091636503673931
DC,VIM,CD44,TAM,-0.0031250000000000444,-0.04178253684532862,-0.015798742734139587,0.0805598020519771,0.341840706083693,0.07096860451875972,0.5554242388199748,0.007934715653663016
DC,ANXA2,TLR2,TAM,-0.002678571428571419,-0.02627185153334577,-0.0035240445833262797,-0.011829600794313666,0.025109326936219808,0.07160389020455682,0.025348092649839168,0.007784609113029056
DC,LGALS1,ITGB1,TAM,0.04508928571428561,0.055502320580745,0.0018402106838009968,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.2446329255885633,0.0068344941710669896
