Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
EMT,HMGB1,HAVCR2,DC,0.11133603238866407,1.0461716490808008,0.07606060786221658,0.015178571428571375,0.004771146183548458,0.1484767925672602,0.8072288333208266,0.05310602670029217
EMT,COL1A1,CD44,DC,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.08973214285714282,0.1432865025370258,0.04140694474673129,1.9866674098439898,0.043464753213115895
EMT,COL1A1,ITGB1,DC,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.23035714285714282,0.425805372047825,0.07759469713235374,1.7106313160126507,0.03897121960087957
EMT,MIF,CD74,DC,0.16497975708502022,1.1276749479428252,0.09691448028270208,0.028124999999999956,0.062264024268091626,0.023177154051366892,2.138143224068489,0.023046801569739626
EMT,LGALS1,ITGB1,DC,0.004048582995951566,0.8172786469953346,0.06945156480212558,0.23035714285714282,0.425805372047825,0.07759469713235374,1.490931799558759,0.021564499817720927
EMT,HLA-B,CANX,DC,0.14878542510121462,1.0856485142889742,0.0608439873235172,0.19107142857142856,0.3397771838554854,0.06132879446110673,1.72247925956597,0.018492786060472662
EMT,VIM,CD44,DC,0.005060728744939236,0.8192782468174182,0.0585360967299223,0.08973214285714282,0.1432865025370258,0.04140694474673129,1.45616138651619,0.018475678069451582
EMT,LGALS1,PTPRC,DC,0.004048582995951566,0.8172786469953346,0.06945156480212558,0.07723214285714286,0.09962390434762124,0.0017298984401087625,1.0283291684258442,0.01770203918046253
EMT,MIF,CXCR4,DC,0.16497975708502022,1.1276749479428252,0.09691448028270208,0.022321428571428603,0.04964098793451988,-0.016404542401726313,1.4980668068901335,0.017214018260494228
EMT,LGALS1,CD69,DC,0.004048582995951566,0.8172786469953346,0.06945156480212558,0.025892857142857217,0.002057624119492285,-0.012307269568551105,0.4859006088225484,0.01693621548047433
EMT,TIMP1,CD63,DC,0.0,0.8084306915751087,0.06308654570023661,-0.04062500000000002,-0.13319676358511678,0.02528241407611359,1.0696396589214645,0.015280997884020254
EMT,B2M,HLA-F,DC,0.002024291497975561,0.8135115617001651,0.04664599030630101,-0.06785714285714278,-0.13353940281835586,0.0021932070385621005,0.23221086119094456,0.006583651015259023
