Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
EMT,BMP4,BMPR2,Endo,0.7945344129554656,2.1373528224418017,0.4282199897156643,0.07491785323110622,0.09566581193485137,0.0815442939028524,2.1143579572514613,0.19154766167230144
EMT,GNAI2,TBXA2R,Endo,0.38056680161943324,1.5290815678843028,0.15746719797431938,-0.04972617743702082,-0.09784466548770826,0.16123161027640742,0.3696666204264781,0.1627839239770984
EMT,COL1A1,CD36,Endo,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.015991237677984604,0.011677183034914164,0.16458051271327562,0.6575548924113154,0.12893445447464674
EMT,COL1A1,CD93,Endo,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.09813800657174154,0.1693890503727844,-0.0005415487672374429,1.77696955489833,0.10790085580673048
EMT,COL1A1,ITGA5,Endo,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.05016429353778751,0.122538522085484,0.12748875815868693,1.5818737648062822,0.10472990874667634
EMT,GNAI2,F2R,Endo,0.38056680161943324,1.5290815678843028,0.15746719797431938,0.033296823658269414,0.017087866897225856,0.152802820745029,1.169592150078384,0.09012156566636548
EMT,ANXA2,ROBO4,Endo,0.028340080971659964,0.8689078207750742,0.07816256940606381,0.04534501642935379,0.0766865259402606,0.0846867160787873,0.8317750720855333,0.0870894940876136
EMT,YBX1,NOTCH1,Endo,0.13461538461538458,1.0725814437427883,0.08359562603017749,-0.008324205914567395,0.012943558932484556,0.1484755032523964,0.6292742162411014,0.06717633332100341
EMT,COL1A1,ITGB1,Endo,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.10383351588170864,0.2252321788485689,0.06256110554823749,1.9672427092271456,0.046901803079124914
EMT,COL1A1,ITGA2,Endo,0.2155870445344129,1.2116672716905443,0.1706577813987912,-0.1285870755750274,-0.23575580918381106,-0.033087761951058996,0.07888652849214506,0.03445276992659585
EMT,GNAI2,CAV1,Endo,0.38056680161943324,1.5290815678843028,0.15746719797431938,-0.08959474260679079,-0.1701085858544551,-0.0529206706560188,1.7506850088104746,0.03272683469278494
EMT,HMGB1,THBD,Endo,0.11133603238866407,1.0461716490808008,0.07606060786221658,0.09397590361445779,0.1641359824686175,0.023459197584868585,1.0256831273999087,0.02705327977306319
EMT,BSG,SLC16A1,Endo,0.041497975708502,0.8983502396735494,0.09597921750873772,-0.00744797371303399,-0.011892963190014759,0.0298328127551864,0.2723151799650273,0.02473278822565783
EMT,LGALS1,ITGB1,Endo,0.004048582995951566,0.8172786469953346,0.06945156480212558,0.10383351588170864,0.2252321788485689,0.06256110554823749,1.5052299348856888,0.023686719598057262
EMT,MIF,CD74,Endo,0.16497975708502022,1.1276749479428252,0.09691448028270208,0.02541073384446879,0.062284480806790166,0.01864057674308378,1.5820680629633859,0.017060654206223096
EMT,HLA-B,CANX,Endo,0.14878542510121462,1.0856485142889742,0.0608439873235172,0.08652792990142388,0.17710939457789965,0.03628726842597582,1.4832612443455253,0.01542130889310333
EMT,TIMP1,CD63,Endo,0.0,0.8084306915751087,0.06308654570023661,-0.047973713033954035,-0.09283571096077936,0.02649512458934961,1.0516695059479937,0.01472859118662414
EMT,MIF,CXCR4,Endo,0.16497975708502022,1.1276749479428252,0.09691448028270208,0.10010952902519171,0.14555388772298172,0.011862922668994205,0.9905906462289829,0.012591718011177118
EMT,B2M,HLA-F,Endo,0.002024291497975561,0.8135115617001651,0.04664599030630101,-0.06374589266155528,-0.09391822845065867,0.02148222997599292,0.48124273231057896,0.011647882800476364
EMT,COL1A1,CD44,Endo,0.2155870445344129,1.2116672716905443,0.1706577813987912,-0.1112814895947426,-0.17901062130510692,-0.014741051149871606,0.3853101692796771,0.009413119724492559
EMT,VIM,CD44,Endo,0.005060728744939236,0.8192782468174182,0.0585360967299223,-0.1112814895947426,-0.17901062130510692,-0.014741051149871606,0.11953130588204908,0.001958807016249009
