Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,CEACAM1,HAVCR2,DC,0.11078065038781637,0.1644369250885606,0.20512247641614298,0.015178571428571375,0.004771146183548458,0.1484767925672602,0.12728651968553087,0.1641799344898212
ETC,LAMC2,ITGB1,DC,-0.03253550895467583,-0.21008351167341488,0.208830967064773,0.23035714285714282,0.425805372047825,0.07759469713235374,0.21784491581929644,0.06689788829911042
ETC,SLPI,PLSCR1,DC,0.1681128605907367,0.17411756622136387,0.20507639312037876,0.07276785714285716,0.1136022781685575,0.047919461542792814,0.31591850928807985,0.05540094875676235
ETC,ZG16B,CXCR4,DC,0.2407797253469604,0.35245695191763177,0.29111472866165056,0.022321428571428603,0.04964098793451988,-0.016404542401726313,0.470950345753366,0.052128849660426566
ETC,GAS6,AXL,DC,0.10824729986180451,0.13494509831400248,0.09466641267481604,0.11026785714285708,0.1896848008901592,0.1979100218058064,0.16140839667929766,0.04675515750776347
ETC,ADAM9,ITGB1,DC,0.10171244684519032,0.09014303125239552,0.08486487811238921,0.23035714285714282,0.425805372047825,0.07759469713235374,0.3982925510472843,0.031516182443694564
ETC,HBEGF,CD44,DC,0.20350478358248703,0.3220859352047303,0.1053774068221497,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.5416895663222009,0.026925771861261216
ETC,LGALS3BP,ITGB1,DC,0.021215671873992537,-0.0918132135899068,0.09142847760958313,0.23035714285714282,0.425805372047825,0.07759469713235374,0.4186179652429032,0.026788967845912903
ETC,MDK,ITGB1,DC,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.23035714285714282,0.425805372047825,0.07759469713235374,0.6353470520568009,0.02368342883530282
ETC,GRN,TNFRSF1B,DC,0.10647500567638712,0.13123944397764065,0.050578122129817014,0.07767857142857137,0.13226212964357953,0.07663745574073341,0.2218653086335988,0.02149065850746472
ETC,ADAM15,ITGB1,DC,0.07038649888854936,0.12110932388583062,0.0356910316365647,0.23035714285714282,0.425805372047825,0.07759469713235374,0.3159058033939205,0.020554899895330558
ETC,HSPG2,ITGB1,DC,0.11953910540139762,0.1765871860901952,0.04604990993165231,0.23035714285714282,0.425805372047825,0.07759469713235374,0.42831125557405053,0.018839145019532433
ETC,APP,CD74,DC,0.18830888515757938,0.22775070629359395,0.06495620465283561,0.028124999999999956,0.062264024268091626,0.023177154051366892,0.4765824960519087,0.017062740665478852
ETC,HBEGF,CD9,DC,0.20350478358248703,0.3220859352047303,0.1053774068221497,-0.04151785714285722,-0.16653861018149585,-0.00013377479071330356,0.18843523179450133,0.01415512228334721
ETC,JAG1,CD46,DC,0.06238489548439899,0.0518553704027982,0.08623920563434795,0.06562499999999999,0.08330232851595709,0.013136020111247995,0.057567802497299585,0.012955625435002113
ETC,GRN,TNFRSF1A,DC,0.10647500567638712,0.13123944397764065,0.050578122129817014,0.06116071428571429,0.10517041540174876,0.05669236993762256,0.1575444836350514,0.012452623359298552
