Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,EFNA5,EPHA2,ETC,-0.01778811518720863,-0.024250603922401803,0.29093741025665226,0.046125900863651814,0.05611216104123118,0.24885529338030155,0.00923783246688481,0.2687370050008141
ETC,CXADR,CXADR,ETC,0.27779958008751443,0.4358659494810852,0.0958171470898821,0.27779958008751443,0.4358659494810852,0.0958171470898821,0.7600909686416771,0.14837828630954109
ETC,LAMC2,ITGA6,ETC,-0.03253550895467583,-0.21008351167341488,0.208830967064773,0.2028845857358701,0.2747801199159661,0.13664547248703438,0.07110441211414154,0.14195726437262302
ETC,EFNA1,EPHA2,ETC,0.14305967074151843,0.22824341028147024,0.1015216279240973,0.046125900863651814,0.05611216104123118,0.24885529338030155,0.1871950716229619,0.13002909883622585
ETC,EFNB1,ERBB2,ETC,0.08863222898405279,0.14826110956794591,0.1753807471503901,0.09084672073016548,0.15083430321014646,0.10541393909654778,0.14539877291282347,0.1263544868402062
ETC,APP,TNFRSF21,ETC,0.18830888515757938,0.22775070629359395,0.06495620465283561,0.22292363367260853,0.33818255000021136,0.3019479225400681,0.5363220446526055,0.0856655983617168
ETC,HSPG2,ITGA2,ETC,0.11953910540139762,0.1765871860901952,0.04604990993165231,0.177519544992025,0.2406043476709766,0.33198357146107005,0.2771021324446733,0.07865157229318237
ETC,HBEGF,ERBB2,ETC,0.20350478358248703,0.3220859352047303,0.1053774068221497,0.09084672073016548,0.15083430321014646,0.10541393909654778,0.2817272926197427,0.0740098737627664
ETC,LRPAP1,LDLR,ETC,0.14313535590246135,0.19857652884407373,0.0738032487438765,0.48905017926170535,0.7386249851313096,0.30734873112374816,0.7171015921802182,0.07335357353026559
ETC,ADAM9,ITGA6,ETC,0.10171244684519032,0.09014303125239552,0.08486487811238921,0.2028845857358701,0.2747801199159661,0.13664547248703438,0.286836032940862,0.06531419292912524
