Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,EDN1,EDNRB,Endo,0.36014853913623607,0.5314547477816076,0.2523441671253475,-0.12880613362541066,-0.17629238765794716,0.0331021888495624,0.14984106987282728,0.16752414334448812
ETC,VEGFA,KDR,Endo,0.3000292929604391,0.4776311779260216,0.14460225357056067,0.06330777656078862,0.08044447269015187,-0.04197887635164499,0.4311354544980943,0.1326405682602389
ETC,JAG1,NOTCH4,Endo,0.06238489548439899,0.0518553704027982,0.08623920563434795,0.17743702081051482,0.30246239733584834,0.13547734714944193,0.1699874697758023,0.10163387223433254
ETC,TNFSF10,TNFRSF10D,Endo,0.003977675680675918,-0.009310063493746744,0.11171797124560927,0.11872946330777662,0.1842932716825824,0.18884754886282829,0.12719047205815265,0.1014861318757376
ETC,F11R,JAM2,Endo,0.1353909418878121,0.17250956563987596,0.06990466540875599,0.05783132530120477,0.08397228056376027,0.07911149742544242,0.17430873299410204,0.08302002073710607
ETC,JAG1,NOTCH1,Endo,0.06238489548439899,0.0518553704027982,0.08623920563434795,-0.008324205914567395,0.012943558932484556,0.1484755032523964,0.03428385718188348,0.07556391965892092
ETC,VEGFA,NRP1,Endo,0.3000292929604391,0.4776311779260216,0.14460225357056067,-0.07031763417305581,-0.09238553478409528,0.07925593396723958,0.4189454670104669,0.06716279813860454
ETC,PSEN1,NOTCH4,Endo,-0.006949019036219584,-0.024776044470887937,0.04635647453572458,0.17743702081051482,0.30246239733584834,0.13547734714944193,0.09549475591504507,0.0662304728278883
ETC,PTPRK,PTPRK,Endo,0.10624024151975808,0.12813582532282708,0.08464517456495319,0.06944140197152243,0.13110043684552042,0.08867818522838439,0.1904954381511877,0.060321387315017384
ETC,ADAM9,ITGA6,Endo,0.10171244684519032,0.09014303125239552,0.08486487811238921,0.0869660460021906,0.1199017305666632,0.0842465716245347,0.17669567340994166,0.053405254169397925
ETC,VEGFA,NRP2,Endo,0.3000292929604391,0.4776311779260216,0.14460225357056067,0.021905805038335224,0.022379079318028183,0.10062949812762563,0.28030454388668896,0.052830535503137835
ETC,AGRN,DAG1,Endo,0.16120448728909775,0.2574763302012337,0.15787859623290698,-0.019715224534501585,-0.001255951204987893,0.025018403634260444,0.0983814957164918,0.04869513835606303
ETC,SLPI,PLSCR1,Endo,0.1681128605907367,0.17411756622136387,0.20507639312037876,0.014676889375684565,0.022813570350225576,0.02898583864267298,0.184210492758468,0.04558252467229575
ETC,AZGP1,ITGAV,Endo,0.08038044407567393,0.09695541930290592,-0.09853811972310113,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.15163301140584987,0.04267710995804978
ETC,ADAM15,ITGA5,Endo,0.07038649888854936,0.12110932388583062,0.0356910316365647,0.05016429353778751,0.122538522085484,0.12748875815868693,0.1998186666416564,0.04228376621458965
ETC,ARF1,INSR,Endo,0.20729675030344152,0.2719377837159436,0.0734569093195076,0.061993428258488525,0.1593606596765289,0.0383621806439805,0.4939565169808711,0.0400795955606611
ETC,ADAM9,ITGAV,Endo,0.10171244684519032,0.09014303125239552,0.08486487811238921,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.2246491248879785,0.039819316700419466
ETC,ZG16B,CXCR4,Endo,0.2407797253469604,0.35245695191763177,0.29111472866165056,0.10010952902519171,0.14555388772298172,0.011862922668994205,0.31760607301899474,0.03751905944139988
ETC,ADAM9,ITGB1,Endo,0.10171244684519032,0.09014303125239552,0.08486487811238921,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.2897168717818433,0.0331085173213927
ETC,MDK,ITGA6,Endo,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.0869660460021906,0.1199017305666632,0.0842465716245347,0.288989793845026,0.03271721563935644
ETC,LGALS3BP,ITGB1,Endo,0.021215671873992537,-0.0918132135899068,0.09142847760958313,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.14092818031286505,0.029892588319742168
ETC,GNAI2,TBXA2R,Endo,0.17794352205101172,0.26022355788396506,0.01972590894233188,-0.04972617743702082,-0.09784466548770826,0.16123161027640742,0.038877075857962566,0.02725720314123492
ETC,GRN,TNFRSF1A,Endo,0.10647500567638712,0.13123944397764065,0.050578122129817014,0.10514786418400879,0.1555219176568584,0.11147109913110724,0.2784130888928649,0.026202508652520055
ETC,HBEGF,CD9,Endo,0.20350478358248703,0.3220859352047303,0.1053774068221497,-0.07163198247535596,-0.12089908077668544,0.02159893580382208,0.3802667709670945,0.026060845629721045
ETC,JAG1,CD46,Endo,0.06238489548439899,0.0518553704027982,0.08623920563434795,0.11171960569550943,0.2269728099463285,0.043804607837579314,0.12901308809927647,0.0256864437739169
ETC,ADAM15,ITGAV,Endo,0.07038649888854936,0.12110932388583062,0.0356910316365647,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.1894032515679806,0.024382162225555285
ETC,ADAM9,ITGB5,Endo,0.10171244684519032,0.09014303125239552,0.08486487811238921,0.03483023001095292,0.04580899471418126,0.04294648597058541,0.06367821578541201,0.02355925390833008
ETC,MDK,ITGB1,Endo,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.4708798165033179,0.0219048646709259
ETC,YBX1,NOTCH1,Endo,0.1694948155664754,0.18904404555332024,0.0097994122840743,-0.008324205914567395,0.012943558932484556,0.1484755032523964,0.12243501035718628,0.02091784206244472
ETC,ADAM15,ITGB1,Endo,0.07038649888854936,0.12110932388583062,0.0356910316365647,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.2732892964237396,0.0198101685430922
ETC,LRPAP1,SORT1,Endo,0.14313535590246135,0.19857652884407373,0.0738032487438765,-0.013362541073384498,0.0031642371948203962,0.022819757020881515,0.0609652302833314,0.019730433533380918
ETC,HSPG2,ITGB1,Endo,0.11953910540139762,0.1765871860901952,0.04604990993165231,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.3813900040373069,0.0193665290039128
ETC,GNAI2,F2R,Endo,0.17794352205101172,0.26022355788396506,0.01972590894233188,0.033296823658269414,0.017087866897225856,0.152802820745029,0.20324194296337306,0.017795893493725626
ETC,CALR,ITGAV,Endo,0.04508382832362967,-0.12018849938206146,0.0190922453478517,0.0941949616648412,0.21836747471555784,0.08115825427355701,0.21206796835204345,0.015556814957847932
ETC,GRN,SORT1,Endo,0.10647500567638712,0.13123944397764065,0.050578122129817014,-0.013362541073384498,0.0031642371948203962,0.022819757020881515,0.0418291165426774,0.014143379289520266
ETC,LTBP3,ITGB5,Endo,0.03900869258089196,0.0273371637378268,0.031812758611870016,0.03483023001095292,0.04580899471418126,0.04294648597058541,0.03514718156198049,0.013050085905244618
ETC,APP,CD74,Endo,0.18830888515757938,0.22775070629359395,0.06495620465283561,0.02541073384446879,0.062284480806790166,0.01864057674308378,0.3642895605735519,0.012734302891169669
ETC,BSG,SLC16A1,Endo,0.23885816320523856,0.3311744410945011,0.03447202783999631,-0.00744797371303399,-0.011892963190014759,0.0298328127551864,0.09537021000292616,0.010350355877534731
ETC,HLA-A,APLP2,Endo,0.09730378622025504,-0.055938394689904136,0.006589280729249025,0.104052573932092,0.2066415258680812,0.04686983899483668,0.262629478048257,0.007789644437798002
ETC,APP,CAV1,Endo,0.18830888515757938,0.22775070629359395,0.06495620465283561,-0.08959474260679079,-0.1701085858544551,-0.0529206706560188,0.116554772254708,0.0077252334782133844
ETC,NAMPT,INSR,Endo,-0.024567543399833525,-0.06338462002381495,0.004742967275325596,0.061993428258488525,0.1593606596765289,0.0383621806439805,0.015382419914157562,0.00656376326916145
ETC,HBEGF,CD44,Endo,0.20350478358248703,0.3220859352047303,0.1053774068221497,-0.1112814895947426,-0.17901062130510692,-0.014741051149871606,0.0854416357358343,0.005781332734786988
ETC,TFF2,CXCR4,Endo,0.375129996271805,0.6842503540057134,0.0180677163010613,0.10010952902519171,0.14555388772298172,0.011862922668994205,0.5777715351348821,0.005543535862364911
ETC,TFF3,CXCR4,Endo,0.47781653916987404,0.7697826458816286,0.0053228049518798115,0.10010952902519171,0.14555388772298172,0.011862922668994205,0.6177884507782712,0.0039677707804478156
ETC,LRPAP1,LDLR,Endo,0.14313535590246135,0.19857652884407373,0.0738032487438765,-0.0683461117196057,-0.11208178023331516,-0.0844074995144834,0.0070987315621775515,0.003721770830339533
ETC,IL1RN,IL1R1,Endo,-0.023018800754609103,-0.028145195575344617,-0.032682998959667614,0.0527929901423877,0.10755632701164404,0.0635801999052539,0.02648406905507221,0.002987640327309665
ETC,HLA-B,CANX,Endo,0.17014865126240042,0.13614207330994674,-0.009456632618604605,0.08652792990142388,0.17710939457789965,0.03628726842597582,0.4147120409025351,0.0027942178190335405
ETC,LGALS1,ITGB1,Endo,-0.0366834762474737,-0.13141996461896732,-0.013397175775647864,0.10383351588170864,0.2252321788485689,0.06256110554823749,0.03834143385407307,0.0027569666375348322
ETC,GNAI2,CAV1,Endo,0.17794352205101172,0.26022355788396506,0.01972590894233188,-0.08959474260679079,-0.1701085858544551,-0.0529206706560188,0.2561524153853366,0.0018463183813541906
ETC,CDH1,PTPRM,Endo,0.295922672190749,0.43898550967180616,-0.08924334982616723,0.13033953997809422,0.21717135616359864,0.07718296470366147,0.4610150171213975,0.0016823310404781575
ETC,MIF,CD74,Endo,0.1124772594122907,0.01003705120114895,-0.012782717849130487,0.02541073384446879,0.062284480806790166,0.01864057674308378,0.09548116745081003,0.0007633842261538687
ETC,MIF,CXCR4,Endo,0.1124772594122907,0.01003705120114895,-0.012782717849130487,0.10010952902519171,0.14555388772298172,0.011862922668994205,0.1990415894182425,0.00025707626682727747
ETC,HMGB1,THBD,Endo,0.0832088265716584,-0.07383565013237803,-0.017983042066831906,0.09397590361445779,0.1641359824686175,0.023459197584868585,0.19031027471321926,-0.002487530593217796
ETC,VEGFA,FLT1,Endo,0.3000292929604391,0.4776311779260216,0.14460225357056067,-0.05191675794085426,-0.13537518789748615,-0.6051095718855095,0.3516262313805201,-0.03311927332263117
ETC,TFF3,ACKR3,Endo,0.47781653916987404,0.7697826458816286,0.0053228049518798115,-0.08061336254107326,-0.11328230664583515,-0.20252482937654212,0.29813500887943656,-0.05505371693076622
