Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,ZG16B,TLR2,TAM,0.2407797253469604,0.35245695191763177,0.29111472866165056,-0.011829600794313666,0.025109326936219808,0.07160389020455682,0.1697425511508529,0.19106430466999436
ETC,CEACAM1,HAVCR2,TAM,0.11078065038781637,0.1644369250885606,0.20512247641614298,-0.20816062788608525,-0.2776235213415199,0.04992824388378303,0.05382713736680295,0.12566702144220898
ETC,ZG16B,CXCR4,TAM,0.2407797253469604,0.35245695191763177,0.29111472866165056,-0.0988384737829191,-0.027360080169064997,-0.03259840496690919,0.4788007245966306,0.05135640144301909
ETC,VEGFA,NRP1,TAM,0.3000292929604391,0.4776311779260216,0.14460225357056067,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.3393715160856251,0.05010641888937864
ETC,VEGFA,NRP2,TAM,0.3000292929604391,0.4776311779260216,0.14460225357056067,-0.09025547272698609,-0.0956787886696442,0.052307072653355685,0.21657955383980468,0.04401699545844659
ETC,MDK,SDC4,TAM,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.09830893130131924,0.2454370245047942,0.1179920457569056,0.3766575796845527,0.03646390317193162
ETC,HBEGF,CD44,TAM,0.20350478358248703,0.3220859352047303,0.1053774068221497,0.0805598020519771,0.341840706083693,0.07096860451875972,0.7191437059330675,0.03459268605922082
ETC,HBEGF,CD82,TAM,0.20350478358248703,0.3220859352047303,0.1053774068221497,-0.02034325700146572,0.03866972958373693,0.05742836044355293,0.18107010694451264,0.028788913971828207
ETC,APP,LRP1,TAM,0.18830888515757938,0.22775070629359395,0.06495620465283561,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.2964353448834013,0.02806847064616873
ETC,HBEGF,CD9,TAM,0.20350478358248703,0.3220859352047303,0.1053774068221497,-0.08006493199476761,-0.012345944824888822,0.03712626810909611,0.4307092713941845,0.028067687766757683
ETC,LRPAP1,LRP1,TAM,0.14313535590246135,0.19857652884407373,0.0738032487438765,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.2373633407621233,0.0280650720522922
ETC,TFPI,LRP1,TAM,-0.0018949321776863814,-0.07301454334995205,0.05022699366567801,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.020552339907485173,0.027619078735093668
ETC,VEGFB,NRP1,TAM,0.021677491513450914,0.02235520044122941,0.049052447923997315,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.0559724286369544,0.026415212940472603
ETC,ADAM9,ITGB1,TAM,0.10171244684519032,0.09014303125239552,0.08486487811238921,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.18209858365698608,0.025277672891123343
ETC,APP,NCSTN,TAM,0.18830888515757938,0.22775070629359395,0.06495620465283561,-0.043687254731997915,-0.0460307387198452,0.059037366914705985,0.052156513575819234,0.02519357821991017
ETC,LRPAP1,SORL1,TAM,0.14313535590246135,0.19857652884407373,0.0738032487438765,-0.09472821547335741,-0.09136459230151106,-0.012927320697768585,0.09747089811096332,0.023815288440723427
ETC,LGALS3BP,ITGB1,TAM,0.021215671873992537,-0.0918132135899068,0.09142847760958313,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.016818585190080167,0.023354003876119363
ETC,MDK,LRP1,TAM,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.2542919404100068,0.022799844127224383
ETC,ADAM15,ITGA5,TAM,0.07038649888854936,0.12110932388583062,0.0356910316365647,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.1083502115865382,0.021021429005875846
ETC,APP,CD74,TAM,0.18830888515757938,0.22775070629359395,0.06495620465283561,-0.028037383177569986,0.14275279514829475,0.0319616567784983,0.568629284041944,0.018922458279382715
ETC,PSAP,LRP1,TAM,0.06576970407102067,-0.0032842437184050772,0.03324501026756318,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.1326664818597938,0.016184737703284904
ETC,MDK,ITGB1,TAM,0.17081790430592503,0.15375088992629204,0.03097626599600467,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.2997966716190741,0.015820166555443813
ETC,HSPG2,ITGB1,TAM,0.11953910540139762,0.1765871860901952,0.04604990993165231,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.2703568804348694,0.01465701351530702
ETC,ADAM15,ITGB1,TAM,0.07038649888854936,0.12110932388583062,0.0356910316365647,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.1908569874871991,0.014582966492801903
ETC,GNAI2,C5AR1,TAM,0.17794352205101172,0.26022355788396506,0.01972590894233188,-0.10064459188980479,-0.06474054057407397,-0.01637149967747586,0.28225391401453864,0.013967901728051874
