Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,PDGFA,PDGFRA,CAF,0.034611171960569564,0.031192223991826137,0.11933906125906656,0.20582025981692292,0.38013516898376654,0.3746935505662243,0.15816476322117312,0.1821973257444512
Endo,SERPINE1,LRP1,CAF,-0.10624315443592547,-0.14559505793150995,0.23231909293181105,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.1168568342206444,0.14568030770959586
Endo,VEGFC,NRP2,CAF,0.010733844468784198,0.0649905729345368,0.29408257056814835,-0.053170643721227706,-0.03798335930070379,0.0595249442619615,0.0161171276919769,0.09683844367759364
Endo,A2M,LRP1,CAF,0.0004381161007667167,-0.004150596022231889,0.09799132813286493,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.4665961748368304,0.09469034793155608
Endo,PLAT,LRP1,CAF,-0.08105147864184009,-0.10219849077117203,0.1130597465693643,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.07221853611444984,0.07662701192320077
Endo,DLL4,NOTCH2,CAF,0.07601314348302302,0.13636202042503254,0.04573850062403429,0.004650714722002486,0.032932435469685606,0.06108646916873841,0.07576764776975861,0.06947877126807843
Endo,LAMB1,ITGB1,CAF,0.033296823658269414,0.05507976116270308,0.221907082857542,-0.007807215679201063,0.014477408089263122,0.0401971003797518,0.096776768837191,0.06454220903008483
Endo,PROS1,AXL,CAF,0.05826944140197149,0.09621280749957124,0.05035199130179874,-0.06653248121472,-0.09734541269274488,0.1407887663207349,0.0300447338247174,0.06371580212342395
Endo,ITGAV,THY1,CAF,0.0941949616648412,0.21836747471555784,0.08115825427355701,-0.060707302175526,-0.07739848247480685,0.07913114234701424,0.26498271810312346,0.06307656525293723
Endo,GAS6,AXL,CAF,0.08784227820372392,0.1005088667769236,0.1196354328660328,-0.06653248121472,-0.09734541269274488,0.1407887663207349,0.017057928697375657,0.0629482227858083
Endo,COL3A1,DDR2,CAF,0.17217962760131433,0.30289947668701256,0.08457508148810819,-0.01918496685673987,0.0013240732132016042,0.040596772006744615,0.2479595363493895,0.061277719021762024
Endo,SERPING1,LRP1,CAF,0.10536692223439215,0.1764214237444629,0.0815970210605165,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.4638880926461802,0.05821424989983951
Endo,TFPI,LRP1,CAF,-0.06330777656078856,-0.0970604031376695,0.04705784457446782,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.1088195653370293,0.05537345490636058
Endo,JAG2,NOTCH2,CAF,0.015991237677984604,-0.0065337809255736614,0.05405099530581625,0.004650714722002486,0.032932435469685606,0.06108646916873841,0.01465949020140861,0.05525374145207748
Endo,CX3CL1,ITGAV,CAF,0.028477546549835808,0.059218013082749925,0.092403238338282,0.031339545217901055,0.1265522931663866,0.055203464742172616,0.10039932667353813,0.0512610179520865
Endo,COL1A2,ITGA11,CAF,0.11763417305585983,0.22021245441519174,0.07151310068461239,-0.018071992817935395,0.02055807071600724,-0.08580930560767164,0.10160854216146248,0.049087821104862185
Endo,NID1,ITGAV,CAF,-0.03964950711938664,-0.02463488305139661,0.07380713639409175,0.031339545217901055,0.1265522931663866,0.055203464742172616,0.08991770344978411,0.047175175539848915
Endo,APP,LRP1,CAF,-0.023658269441402036,-0.036758164597180835,0.026283602801243974,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.41468391594875703,0.04536567241897499
Endo,ADAM15,ITGAV,CAF,0.13493975903614464,0.2672227458574866,0.0813737360681765,0.031339545217901055,0.1265522931663866,0.055203464742172616,0.3329967309478189,0.04292067337615377
Endo,PLAU,LRP1,CAF,0.03395399780941949,0.04783109560073395,0.0482606598588094,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.2255094221403733,0.04236954542467325
Endo,COL4A1,ITGAV,CAF,-0.005476451259583959,-0.022844456188154227,0.04510805316690469,0.031339545217901055,0.1265522931663866,0.055203464742172616,0.17143774786595697,0.039823626970416
Endo,APOE,LRP1,CAF,-0.06922234392113913,-0.15082694891716586,0.05637701355925619,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.04400183874562935,0.03930564744730576
