Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,HSPG2,ITGA2,ETC,0.04884994523548758,0.10481542493355822,0.027666491226073564,0.177519544992025,0.2406043476709766,0.33198357146107005,0.4287446647241244,0.14148371343730753
Endo,LAMB1,ITGA6,ETC,0.033296823658269414,0.05507976116270308,0.221907082857542,0.2028845857358701,0.2747801199159661,0.13664547248703438,0.2550274023970301,0.12561719455011486
Endo,EFNA1,EPHA2,ETC,0.056955093099671505,0.07029324957317007,-0.002720691497946848,0.046125900863651814,0.05611216104123118,0.24885529338030155,0.0965460255496633,0.1235678391084816
Endo,NID1,PTPRF,ETC,-0.03964950711938664,-0.02463488305139661,0.07380713639409175,0.12136676188046797,0.16949287842876726,0.1389559092423005,0.12695306703665155,0.11476426085325228
Endo,SEMA4C,PLXNB2,ETC,-0.008105147864184092,-0.0016586911542957328,0.16208757573935234,0.16864055435175657,0.2261141131910401,0.12209462101688978,0.11452973623299988,0.10006639759732223
Endo,APP,TNFRSF21,ETC,-0.023658269441402036,-0.036758164597180835,0.026283602801243974,0.22292363367260853,0.33818255000021136,0.3019479225400681,0.4747810185654221,0.09050361547206608
Endo,COL3A1,DDR1,ETC,0.17217962760131433,0.30289947668701256,0.08457508148810819,0.14254739432809793,0.21994091987637288,0.2363688929047517,0.3961228456781197,0.09045721780289603
Endo,COL4A1,ITGB8,ETC,-0.005476451259583959,-0.022844456188154227,0.04510805316690469,0.044756560081403496,0.07611075064071526,0.11894018637690484,0.1014212141913593,0.08846505137367844
Endo,COL1A2,ITGA2,ETC,0.11763417305585983,0.22021245441519174,0.07151310068461239,0.177519544992025,0.2406043476709766,0.33198357146107005,0.3408897198443228,0.08410948334789317
Endo,JAM2,F11R,ETC,0.05783132530120477,0.08397228056376027,0.07911149742544242,0.1353909418878121,0.17250956563987596,0.06990466540875599,0.17430873299410204,0.08302002073710607
Endo,DCN,MET,ETC,0.1842278203723987,0.3736294234229882,0.0565203317848281,0.042228115075082395,0.021181766975999602,0.21686843302121836,0.2158322413153942,0.0740559933067696
Endo,PTPRK,PTPRK,ETC,0.06944140197152243,0.13110043684552042,0.08867818522838439,0.10624024151975808,0.12813582532282708,0.08464517456495319,0.1904954381511877,0.060321387315017384
Endo,APOE,LDLR,ETC,-0.06922234392113913,-0.15082694891716586,0.05637701355925619,0.48905017926170535,0.7386249851313096,0.30734873112374816,0.4060141148913514,0.05878694245395519
Endo,JAG1,CD46,ETC,-0.008543263964950698,-0.04574759126128825,0.06434556116363344,0.3121858715426598,0.4694957449354004,0.10040710281428793,0.23578783458337155,0.04706147834620575
Endo,COL1A1,ITGA2,ETC,-0.009419496166484076,-0.034281753945936355,-0.007094555288568698,0.177519544992025,0.2406043476709766,0.33198357146107005,0.19583130593923875,0.040358199389714085
Endo,LRPAP1,LDLR,ETC,-0.13603504928806132,-0.2848806675110636,-0.022360931986616792,0.48905017926170535,0.7386249851313096,0.30734873112374816,0.35852554879292625,0.03851830822466628
