Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,VEGFC,KDR,Endo,0.010733844468784198,0.0649905729345368,0.29408257056814835,0.06330777656078862,0.08044447269015187,-0.04197887635164499,0.08206101140428251,0.2576173527059884
Endo,MCAM,MCAM,Endo,0.026067907995618866,0.02767013532456608,0.1709767265082729,0.026067907995618866,0.02767013532456608,0.1709767265082729,0.06007408671156277,0.2410501629764459
Endo,LAMA5,BCAM,Endo,0.045564074479737204,0.08434156109519475,0.22118241987382295,-0.06527929901423868,-0.12093766305565645,0.2227476689243421,0.024955077453179486,0.2338385862665128
Endo,ANGPT2,TEK,Endo,-0.1117196056955092,-0.20815232670300976,0.15170645429039376,0.1069003285870756,0.1847568359184336,0.04328273453935549,0.03213416114393619,0.16721338353418014
Endo,DLL4,NOTCH4,Endo,0.07601314348302302,0.13636202042503254,0.04573850062403429,0.17743702081051482,0.30246239733584834,0.13547734714944193,0.3282479656466725,0.16700249120557942
Endo,DLL4,NOTCH1,Endo,0.07601314348302302,0.13636202042503254,0.04573850062403429,-0.008324205914567395,0.012943558932484556,0.1484755032523964,0.08507263823046662,0.1640269433725634
Endo,JAM2,JAM3,Endo,0.05783132530120477,0.08397228056376027,0.07911149742544242,0.010076670317634095,-0.022125201701612474,0.15980446085301606,0.025985702711691542,0.16274270710700012
Endo,JAM3,JAM2,Endo,0.010076670317634095,-0.022125201701612474,0.15980446085301606,0.05783132530120477,0.08397228056376027,0.07911149742544242,0.025985702711691542,0.16274270710700012
Endo,JAG2,NOTCH4,Endo,0.015991237677984604,-0.0065337809255736614,0.05405099530581625,0.17743702081051482,0.30246239733584834,0.13547734714944193,0.15225245808436333,0.13780102556867735
Endo,VEGFC,NRP2,Endo,0.010733844468784198,0.0649905729345368,0.29408257056814835,0.021905805038335224,0.022379079318028183,0.10062949812762563,0.04464951842111281,0.13654061896190234
Endo,MMRN2,CLEC14A,Endo,0.10514786418400879,0.19267322027602896,0.1073204087709907,-0.01664841182913479,-0.0821757856696963,0.03568822036456987,0.1580480558133941,0.134755756632024
Endo,JAG2,NOTCH1,Endo,0.015991237677984604,-0.0065337809255736614,0.05405099530581625,-0.008324205914567395,0.012943558932484556,0.1484755032523964,0.003112293683358469,0.12857104151102114
