Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,VEGFC,NRP2,TAM,0.010733844468784198,0.0649905729345368,0.29408257056814835,-0.09025547272698609,-0.0956787886696442,0.052307072653355685,0.0016417616091233544,0.1046436345793549
Endo,CFH,ITGAM,TAM,0.33537787513691125,0.5753484945201748,0.2164720052621793,0.05982569226647333,0.1898839712283128,-0.1049175161593756,0.5655434021942147,0.1016617678795684
Endo,PGF,NRP1,TAM,0.039649507119386584,0.024412812790582383,0.2031152087811716,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.10395539804565468,0.09752706938291217
Endo,SEMA3F,NRP1,TAM,-0.008543263964950698,-0.04488614282014691,-0.009016167949976062,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.06802156930503611,0.096066261634502
Endo,TGM2,SDC4,TAM,-0.1671412924424973,-0.2610716349656872,0.15133484752760792,0.09830893130131924,0.2454370245047942,0.1179920457569056,0.12600820500785676,0.06408203913431958
Endo,ANGPTL2,ITGA5,TAM,-0.008543263964950698,-0.022105235912391552,0.13235316467849828,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.05794322585460551,0.05808829881043149
Endo,LAMB1,ITGB1,TAM,0.033296823658269414,0.05507976116270308,0.221907082857542,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.14160064281718354,0.05221149441387423
Endo,A2M,LRP1,TAM,0.0004381161007667167,-0.004150596022231889,0.09799132813286493,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.17179174092658098,0.0493532108239815
Endo,ADAM15,ITGA5,TAM,0.13493975903614464,0.2672227458574866,0.0813737360681765,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.2285939336016505,0.04396783954838943
Endo,COL18A1,ITGA5,TAM,-0.010514786418400868,-0.019164134270291955,0.09132575762186107,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.1198755350497478,0.0434803585501164
Endo,DCN,TLR2,TAM,0.1842278203723987,0.3736294234229882,0.0565203317848281,-0.011829600794313666,0.025109326936219808,0.07160389020455682,0.18311318878364,0.043317909874076174
Endo,ANGPTL2,ITGB1,TAM,-0.008543263964950698,-0.022105235912391552,0.13235316467849828,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.03968713011256375,0.042393896250597744
Endo,SERPING1,LRP1,TAM,0.10536692223439215,0.1764214237444629,0.0815970210605165,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.2301117308474533,0.03231982800679891
Endo,COL18A1,ITGB1,TAM,-0.010514786418400868,-0.019164134270291955,0.09132575762186107,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.10118395845323593,0.03125133650980603
Endo,ADAM15,ITGB1,TAM,0.13493975903614464,0.2672227458574866,0.0813737360681765,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.4110726503016584,0.030919327506137788
