Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,CD59,CD2,TIL,-0.10230010952902524,-0.18530610255781374,0.023363857598764387,-0.08305462653288742,0.20517413504498985,0.2004225541472754,0.0018097549072835226,0.05920864542812851
Endo,MYL9,CD69,TIL,0.0751369112814897,0.09728552824537227,0.06344081258982348,0.026059085841694474,0.2760153852536311,0.10895807108349942,0.3257792482438746,0.05033978053920218
Endo,LAMB2,RPSA,TIL,0.11171960569550943,0.23543414913120544,0.12750973385250547,-0.01449275362318836,0.5138462123390224,0.0209238140169134,0.912437609479224,0.030182625800003943
Endo,COL1A2,CD44,TIL,0.11763417305585983,0.22021245441519174,0.07151310068461239,0.05156075808249716,0.46494188998946,0.0859334752480615,0.7240928197340519,0.028616628658105436
Endo,SPP1,CD44,TIL,0.07623220153340626,0.10821342904456133,0.0462325048177194,0.05156075808249716,0.46494188998946,0.0859334752480615,0.4590524629537809,0.022790580292444167
Endo,HBEGF,CD44,TIL,-0.09353778751369102,-0.14737808369338612,-0.02225800141915471,0.05156075808249716,0.46494188998946,0.0859334752480615,0.111990670337329,0.012740630689097851
Endo,VIM,CD44,TIL,0.0,0.03390781816026545,-0.008150763851481613,0.05156075808249716,0.46494188998946,0.0859334752480615,0.8292779576986273,0.010953741778340784
Endo,LGALS1,CD69,TIL,-0.06615553121577222,-0.09360736812388937,-0.011185679441422595,0.026059085841694474,0.2760153852536311,0.10895807108349942,0.34996549939103283,0.01063990223998533
Endo,COL1A1,CD44,TIL,-0.009419496166484076,-0.034281753945936355,-0.007094555288568698,0.05156075808249716,0.46494188998946,0.0859334752480615,0.3682478106926117,0.009767594040392423
Endo,LGALS1,PTPRC,TIL,-0.06615553121577222,-0.09360736812388937,-0.011185679441422595,-0.005852842809364378,0.3937722149253469,0.058384985753367084,0.4573031913707149,0.003436741223029512
Endo,THBS1,CD47,TIL,-0.008543263964950698,-0.058741582119650186,0.0281218974677801,-0.0699554069119287,0.10049412035125482,-0.011524500120677685,0.0022289891274437372,0.0018850212302534664
Endo,TFF3,CXCR4,TIL,0.2214676889375684,0.3447751928203357,-0.048051256421058515,0.04779821627647718,0.5842345915796774,0.05814435177894368,1.0120425162690123,-0.005433875310961935
Endo,MIF,CXCR4,TIL,-0.143921139101862,-0.26655515330518803,-0.04117700147028669,0.04779821627647718,0.5842345915796774,0.05814435177894368,0.2235784595323276,-0.006062824349362825
