Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,CD14,ITGB1,DC,-0.07399095364927266,0.0017536537617484087,0.10868044129714394,0.23035714285714282,0.425805372047825,0.07759469713235374,0.613652494322198,0.058540172643834966
TAM,ICAM1,ITGB2,DC,-0.00594159272509498,0.07971157426999531,0.0934686217590176,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.4926700337847475,0.057884153556311276
TAM,VCAN,CD44,DC,0.3074719074561473,0.6541328574649216,0.1800019716410453,0.08973214285714282,0.1432865025370258,0.04140694474673129,1.0364908683181178,0.04379601212372932
TAM,VCAN,ITGB1,DC,0.3074719074561473,0.6541328574649216,0.1800019716410453,0.23035714285714282,0.425805372047825,0.07759469713235374,0.8164192033551971,0.03726605060214562
TAM,MMP9,CD44,DC,0.05216939055334027,0.14809281333935734,0.08591812480132388,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.2742853922493197,0.0364021093553588
TAM,SPP1,ITGB1,DC,-0.0023514207813902788,0.13824009416839078,0.07568457356493241,0.23035714285714282,0.425805372047825,0.07759469713235374,0.6758846558241219,0.03354652169701694
TAM,GRN,TNFRSF1B,DC,-0.06204787946604473,0.06709339875971176,0.06757534565241077,0.07767857142857137,0.13226212964357953,0.07663745574073341,0.2795289961849421,0.03309142643549517
TAM,FN1,PLAUR,DC,-0.02660950970039877,0.09635548892698087,0.1091316512587976,0.02946428571428572,0.011377559983423824,0.03643098069347148,0.13597499592736484,0.030859384956671107
TAM,FN1,CD44,DC,-0.02660950970039877,0.09635548892698087,0.1091316512587976,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.3211914297894001,0.02999798885124705
TAM,FN1,ITGB1,DC,-0.02660950970039877,0.09635548892698087,0.1091316512587976,0.23035714285714282,0.425805372047825,0.07759469713235374,0.6210335884585098,0.02905005978355505
TAM,SPP1,CD44,DC,-0.0023514207813902788,0.13824009416839078,0.07568457356493241,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.3884252537446211,0.027954660656235145
TAM,ADAM17,ITGB1,DC,0.05807946289262583,0.1860721339454353,0.0962442886017106,0.23035714285714282,0.425805372047825,0.07759469713235374,0.4162634111085863,0.0264962889981795
TAM,ADAM9,ITGB1,DC,-0.051349860522292734,-0.026937988662599218,0.038450670311148134,0.23035714285714282,0.425805372047825,0.07759469713235374,0.2883262684239117,0.02498093971847002
TAM,TGM2,ITGB1,DC,-0.022395234117665697,0.031190084762051092,0.11678512933678947,0.23035714285714282,0.425805372047825,0.07759469713235374,0.2320625186210553,0.02454255212996849
TAM,TIMP2,ITGB1,DC,-0.10875163512001385,-0.0503681650655754,0.0440788544783029,0.23035714285714282,0.425805372047825,0.07759469713235374,0.4943056476058151,0.023487070386870368
TAM,GRN,TNFRSF1A,DC,-0.06204787946604473,0.06709339875971176,0.06757534565241077,0.06116071428571429,0.10517041540174876,0.05669236993762256,0.21262245572332472,0.01987652742359364
TAM,F13A1,ITGB1,DC,-0.02326834880458939,-0.008628344174132108,-0.16077719742213958,0.23035714285714282,0.425805372047825,0.07759469713235374,0.1874384943421484,0.017920610324481515
TAM,HMGB1,HAVCR2,DC,-0.07474429087012036,0.021096963713679084,-0.010629535754212716,0.015178571428571375,0.004771146183548458,0.1484767925672602,0.023641363147794747,0.016431544186350323
TAM,LGALS3BP,ITGB1,DC,-0.28851554743030056,-0.4319278751423937,0.014596631529701087,0.23035714285714282,0.425805372047825,0.07759469713235374,0.10314653417524676,0.015943896242671108
TAM,COL1A2,ITGB1,DC,-0.028696159240989116,0.0675412507801485,0.0390479078774697,0.23035714285714282,0.425805372047825,0.07759469713235374,0.3692403124356004,0.015368323578368568
TAM,LGALS1,ITGB1,DC,-0.0005484547130856221,0.20493295321370186,0.015043426946265788,0.23035714285714282,0.425805372047825,0.07759469713235374,0.9377732915522744,0.014337781784289669
TAM,COL1A2,CD44,DC,-0.028696159240989116,0.0675412507801485,0.0390479078774697,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.20290605655102234,0.013387754911029282
TAM,MDK,ITGB1,DC,0.022972057177979788,0.12581501729064082,0.0260947829705339,0.23035714285714282,0.425805372047825,0.07759469713235374,0.3433940771546092,0.01252339161530603
TAM,HLA-A,APLP2,DC,-0.005607476635513975,0.19288918167974575,0.02975494035142912,0.1816964285714286,0.28590671202909523,0.0525804840804884,0.6622288439855947,0.01166225108032681
TAM,APP,CD74,DC,0.06500764369355899,0.18615082081689335,0.04705114347916674,0.028124999999999956,0.062264024268091626,0.023177154051366892,0.3725527832081528,0.01165524661561733
TAM,COL1A1,ITGB1,DC,-0.0013490725126475978,0.10885877309595716,0.0140060334314296,0.23035714285714282,0.425805372047825,0.07759469713235374,0.3918912594139644,0.009625972509388113
TAM,VIM,CD44,DC,0.004327748971647116,0.21363356104791587,0.006651207237584611,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.5651583531994318,0.00788330605976648
TAM,HLA-B,CANX,DC,-0.0018691588785048063,0.20346816263802506,-0.008258245370759977,0.19107142857142856,0.3397771838554854,0.06132879446110673,0.8277083455893854,0.007585466029647461
TAM,COL1A1,CD44,DC,-0.0013490725126475978,0.10885877309595716,0.0140060334314296,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.25864392607678865,0.00699714189421477
TAM,MIF,CD74,DC,0.08293959118059602,0.31120821811856003,0.01779218638876601,0.028124999999999956,0.062264024268091626,0.023177154051366892,0.64346488729405,0.006689783848007912
TAM,TIMP1,CD63,DC,0.02899560290617964,0.2406015216869535,0.013429613854975595,-0.04062500000000002,-0.13319676358511678,0.02528241407611359,0.1914124298501512,0.0058698754764100435
