Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,VCAN,TLR2,TAM,0.3074719074561473,0.6541328574649216,0.1800019716410453,-0.011829600794313666,0.025109326936219808,0.07160389020455682,0.3036988977849713,0.11033663991415828
TAM,C1QB,LRP1,TAM,-0.18366298403492465,-0.20256850947360536,0.19286143700046646,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.011082541140204016,0.07412241829041345
TAM,APOE,LRP1,TAM,-0.16986966320467745,-0.13472781775657405,0.17321623649525653,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.08637526094705827,0.06253892817879282
TAM,VCAN,CD44,TAM,0.3074719074561473,0.6541328574649216,0.1800019716410453,0.0805598020519771,0.341840706083693,0.07096860451875972,1.3086991644969066,0.0553234020069386
TAM,MMP9,CD44,TAM,0.05216939055334027,0.14809281333935734,0.08591812480132388,0.0805598020519771,0.341840706083693,0.07096860451875972,0.3908258122348546,0.05296846517127424
TAM,MMP9,LRP1,TAM,0.05216939055334027,0.14809281333935734,0.08591812480132388,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.16191839778870093,0.04960544901553948
TAM,FN1,PLAUR,TAM,-0.02660950970039877,0.09635548892698087,0.1091316512587976,-0.01090920552867547,0.17182797740059508,0.0758671380348192,0.387145041730562,0.048180408794594815
TAM,CD14,ITGB1,TAM,-0.07399095364927266,0.0017536537617484087,0.10868044129714394,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.1522390088913521,0.04221302384091012
TAM,VEGFA,NRP1,TAM,0.031949063056531835,0.1758505589755236,0.04748423973233429,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.2226328419224115,0.04151209685090497
TAM,ICAM1,ITGB2,TAM,-0.00594159272509498,0.07971157426999531,0.0934686217590176,0.007337945816456748,0.17158424698667507,0.014246841980740887,0.2550204889040941,0.04130730201439646
TAM,C1QA,CD93,TAM,-0.07242754251312045,0.029065956479794156,0.1924464091443483,0.0003404201667427942,0.041905421386670805,-0.010612596879325892,0.07684565115021191,0.03976143358559453
TAM,SPP1,CD44,TAM,-0.0023514207813902788,0.13824009416839078,0.07568457356493241,0.0805598020519771,0.341840706083693,0.07096860451875972,0.6806645093968497,0.039612390770861
TAM,FN1,CD44,TAM,-0.02660950970039877,0.09635548892698087,0.1091316512587976,0.0805598020519771,0.341840706083693,0.07096860451875972,0.5948001903148898,0.039446542093325786
TAM,ALCAM,NRP1,TAM,-0.09023656049550038,-0.10256808433644538,-0.004445326544446793,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.045104563201414594,0.03919549541406752
TAM,TGM2,SDC4,TAM,-0.022395234117665697,0.031190084762051092,0.11678512933678947,0.09830893130131924,0.2454370245047942,0.1179920457569056,0.1358801046139293,0.03901800148113669
TAM,VCAN,ITGB1,TAM,0.3074719074561473,0.6541328574649216,0.1800019716410453,-0.0056610612913902125,0.10449796781478504,0.042006553277333575,0.8124734919064835,0.037601026475988834
TAM,ICAM1,ITGAX,TAM,-0.00594159272509498,0.07971157426999531,0.0934686217590176,-0.06234101905407308,-0.00027834878206234315,-0.10015385065026394,0.055638192639566486,0.033286486545918516
TAM,FN1,ITGA5,TAM,-0.02660950970039877,0.09635548892698087,0.1091316512587976,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.1808242526494815,0.03316626549048439
