Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,CD58,CD2,TIL,-0.032005799750988884,0.0009166979540986553,0.1201396372639017,-0.08305462653288742,0.20517413504498985,0.2004225541472754,0.1109476214609243,0.14273416232421304
TAM,CD59,CD2,TIL,-0.03971253408141728,0.027958258999493998,0.038553580679184414,-0.08305462653288742,0.20517413504498985,0.2004225541472754,0.27467920550617664,0.06101943483974264
TAM,MMP9,CD44,TIL,0.05216939055334027,0.14809281333935734,0.08591812480132388,0.05156075808249716,0.46494188998946,0.0859334752480615,0.431217579993824,0.05914375336576451
TAM,VCAN,CD44,TIL,0.3074719074561473,0.6541328574649216,0.1800019716410453,0.05156075808249716,0.46494188998946,0.0859334752480615,1.3367296188833102,0.056526672569584525
TAM,MRC1,PTPRC,TIL,0.11687759058170882,0.2832889631109195,0.008481047497059468,-0.005852842809364378,0.3937722149253469,0.058384985753367084,0.7330946649581765,0.0531091089211288
TAM,SPP1,CD44,TIL,-0.0023514207813902788,0.13824009416839078,0.07568457356493241,0.05156075808249716,0.46494188998946,0.0859334752480615,0.8321072045130524,0.043566157981924494
TAM,FN1,CD44,TIL,-0.02660950970039877,0.09635548892698087,0.1091316512587976,0.05156075808249716,0.46494188998946,0.0859334752480615,0.7437035942986512,0.041421236609480584
TAM,HBEGF,CD44,TIL,-0.16435989976517307,-0.16966999925050952,-0.014058858733695112,0.05156075808249716,0.46494188998946,0.0859334752480615,0.3337317666558528,0.027634496712052998
TAM,LGALS1,CD69,TIL,-0.0005484547130856221,0.20493295321370186,0.015043426946265788,0.026059085841694474,0.2760153852536311,0.10895807108349942,0.689665276320067,0.024135943277425485
TAM,COL1A2,CD44,TIL,-0.028696159240989116,0.0675412507801485,0.0390479078774697,0.05156075808249716,0.46494188998946,0.0859334752480615,0.44915354390811335,0.020329339572617344
TAM,LGALS1,PTPRC,TIL,-0.0005484547130856221,0.20493295321370186,0.015043426946265788,-0.005852842809364378,0.3937722149253469,0.058384985753367084,1.0757792024073982,0.01597886499292161
TAM,VIM,CD44,TIL,0.004327748971647116,0.21363356104791587,0.006651207237584611,0.05156075808249716,0.46494188998946,0.0859334752480615,1.1720073279535934,0.015090728052641847
TAM,MIF,CXCR4,TIL,0.08293959118059602,0.31120821811856003,0.01779218638876601,0.04779821627647718,0.5842345915796774,0.05814435177894368,1.433468930668074,0.014225804912954996
TAM,COL1A1,CD44,TIL,-0.0013490725126475978,0.10885877309595716,0.0140060334314296,0.05156075808249716,0.46494188998946,0.0859334752480615,0.5020114477216425,0.01184749578232407
TAM,APP,CD74,TIL,0.06500764369355899,0.18615082081689335,0.04705114347916674,-0.3141025641025642,-0.28597460533404595,-0.014626413328182902,0.146120069520571,0.0071158182103295735
TAM,VCAN,ITGB1,TIL,0.3074719074561473,0.6541328574649216,0.1800019716410453,-0.3642697881828316,-0.5845192926013072,-0.06021673643088425,0.11343485394829188,0.00621633972456085
TAM,B2M,HLA-F,TIL,0.0,0.20758713516560826,0.0023263990795105998,-0.13754180602006683,-0.05970851927628262,0.03646568972890152,0.0917401365965631,0.005541390382371617
TAM,MIF,CD74,TIL,0.08293959118059602,0.31120821811856003,0.01779218638876601,-0.3141025641025642,-0.28597460533404595,-0.014626413328182902,0.14953876044156944,0.001250459308822581
