Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,CCL5,SDC4,ETC,0.13740245261984396,0.5393347950059436,0.2392943681130004,0.13515757930823757,0.08584735568018509,0.1032699682375659,0.7004283841507232,0.147589406681361
TIL,CCL5,SDC1,ETC,0.13740245261984396,0.5393347950059436,0.2392943681130004,0.07641328022290683,0.07629785605909377,0.10305615818280472,0.4926552263978685,0.13975644088934988
TIL,HLA-A,ERBB2,ETC,-0.02898550724637683,0.4630993542839432,0.0554753820577962,0.09084672073016548,0.15083430321014646,0.10541393909654778,0.6050288422017551,0.04964326708369973
TIL,TGFB1,TGFBR2,ETC,-0.1379598662207358,-0.11435252066432774,0.04802979935330279,0.11778012619799794,0.15382382436591435,0.07741810617814887,0.053207020881952505,0.02130781458002164
TIL,HMGB1,SDC1,ETC,-0.13085284280936438,0.1432914565426071,-0.0018299514718911887,0.07641328022290683,0.07629785605909377,0.10305615818280472,0.24694339187272685,0.015614507292011854
TIL,HLA-A,APLP2,ETC,-0.02898550724637683,0.4630993542839432,0.0554753820577962,0.11444227044270217,0.016831354760513898,0.01778886513711081,0.6160152873327975,0.014010966782561262
TIL,HLA-B,CANX,ETC,0.0,0.5467352163785222,0.01409590638553121,0.1889851460863764,0.21626592824851126,0.04247786922594601,1.0575060370851104,0.009678605574315276
TIL,CALR,ITGAV,ETC,-0.14687848383500557,-0.03224600392717214,0.023266904534767995,0.09491129418822059,0.06298243053978603,0.03399127027936441,0.046456493691619305,0.009034348012237521
TIL,B2M,HLA-F,ETC,0.0,0.5467352163785222,0.02527438717102659,-0.03603875080240293,-0.05396145059582047,0.01949525093959741,0.21710768613480536,0.006608370337470148
TIL,MIF,CD74,ETC,-0.1467391304347826,-0.021162677400505148,-0.01425240079413939,0.15527721792561,0.21657809942931291,0.0344058890059404,0.22460133383085806,0.002243254427768333
TIL,CD99,PILRB,ETC,-0.18506131549609806,-0.10208565608612696,-0.035791299994716794,0.058300699947581025,0.10221765772386016,0.057314154177627315,0.09079318631797706,-0.0008642948039233739
