Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,TNFSF12,TNFRSF12A,ETC,0.04674285995384128,0.0435373659032664,0.12075832174542594,0.02688364948239752,0.2695608076819329,-0.03104793548305207,0.1522037057879474,0.0293785674508344
CAF,CLEC11A,ITGB1,ETC,-0.007514112018889851,-0.048023788665356726,0.036960590255507686,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.25184411521386,0.008382965096290274
CAF,COL4A1,ITGB1,ETC,0.12175690023407304,0.2210284757658919,0.04071220747488219,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.5003556582389559,0.008165756889509894
CAF,COL14A1,CD44,ETC,0.04732291824662521,0.08535521683678382,0.0619133664234558,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.13231674796807524,0.006664903947608007
CAF,FBLN1,ITGB1,ETC,-0.10895257459795604,-0.2254513114824668,0.013334236145114977,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.0698002995052287,0.0053275783737982
CAF,NID1,ITGAV,ETC,0.1615165142390988,0.2353723186647545,0.08613770794620995,-0.09491129418822059,-0.06298243053978603,-0.03399127027936441,0.12139273568274,0.005297797288055822
CAF,COL18A1,ITGB1,ETC,0.17719653522778045,0.3030058414207323,0.02039899762096492,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.5790058043677779,0.0048724213773748476
CAF,MMP7,CD44,ETC,0.011375701501592589,0.01899548075983337,0.04125774811147642,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.05198323605126104,0.004816336121620657
CAF,COL1A1,ITGB1,ETC,0.001801665156738741,-0.03182703252561825,-0.0004121266754892328,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.3819138178604589,0.0012359699312476519
CAF,LGALS1,ITGB1,ETC,0.005616112092678427,-0.016266326659126973,0.0017623457425622047,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.40678051843588303,0.0010884931986740107
CAF,VIM,CD44,ETC,-0.00250265433035024,-0.04195585513994904,0.007935448929472594,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.13208464965694122,0.0007933112465373475
CAF,ADAM17,ITGB1,ETC,0.03285015639027472,0.0669151457793849,-0.005238494010890799,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.18355239213215985,-6.382211266843171e-05
CAF,COL1A1,CD44,ETC,0.001801665156738741,-0.03182703252561825,-0.0004121266754892328,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.14292139094953904,-0.00030055335873320135
CAF,MDK,ITGB1,ETC,-0.014431768337425877,-0.062203583994296034,-0.011208897191180732,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.22026200549117905,-0.00036916884995555344
CAF,ADAM9,ITGB1,ETC,0.03674864004000958,0.047051388677710526,-0.008354637209993104,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.1441386490107014,-0.0005553560996473597
CAF,TIMP1,CD63,ETC,0.01194346173869898,-0.0031616752755827533,0.0096680930055561,-0.03911521243703431,0.20645469826485274,-0.016302361502153414,0.3614870713813749,-0.0011115009376547018
CAF,B2M,HLA-F,ETC,-0.007223058034524832,-0.05038215073752328,0.009248593572472595,0.03603875080240293,0.05396145059582047,-0.01949525093959741,0.06645000971518789,-0.0014072671953979828
