Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,FBLN1,ITGB1,TIL,-0.10895257459795604,-0.2254513114824668,0.013334236145114977,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.609971936948182,0.04029410346864778
CAF,CLEC11A,ITGB1,TIL,-0.007514112018889851,-0.048023788665356726,0.036960590255507686,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.7153683009512097,0.036261935553973904
CAF,COL4A1,ITGB1,TIL,0.12175690023407304,0.2210284757658919,0.04071220747488219,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.8071536119842107,0.02732349908637193
CAF,COL18A1,ITGB1,TIL,0.17719653522778045,0.3030058414207323,0.02039899762096492,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.842361302137814,0.02291694979458293
CAF,FBN1,ITGB1,TIL,-0.032339787079662674,-0.1076351095336161,-0.11019225793424192,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.5073056415478457,0.022402781688723238
CAF,VCAM1,ITGB2,TIL,0.03037414784722542,0.022568079833868604,-0.07206439606989051,0.181438127090301,0.24052133893319286,0.08048709453854369,0.13578368648054373,0.02052239877364441
CAF,VCAN,ITGB1,TIL,-0.14143788866980134,-0.30017766345699703,-0.04462859227118149,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.5155982268899127,0.02001449878344802
CAF,THBS2,ITGB1,TIL,-0.10007542807482128,-0.23264234732423786,-0.12512279887655153,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.5641059595340504,0.01986910341024415
CAF,CXCL12,ITGB1,TIL,-0.048858125530353735,-0.10222150928549506,-0.08322865046742761,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.17836130215134294,0.019696625549266204
CAF,VCAM1,ITGB1,TIL,0.03037414784722542,0.022568079833868604,-0.07206439606989051,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.3082028660047458,0.01814988844859809
CAF,ANGPTL2,ITGB1,TIL,0.054972308877966364,0.06764949450654634,-0.04766488827497284,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.3063477343782904,0.016170491588419416
CAF,SPON2,ITGB1,TIL,-0.000317699771666069,-0.04714980411760483,-0.14165905961906622,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.6547144673498321,0.01610213230221596
CAF,COL1A1,ITGB1,TIL,0.001801665156738741,-0.03182703252561825,-0.0004121266754892328,0.3642697881828316,0.5845192926013072,0.06021673643088425,1.0052660074477566,0.015302378517166959
CAF,MDK,ITGB1,TIL,-0.014431768337425877,-0.062203583994296034,-0.011208897191180732,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.6648650110199104,0.014677087680705891
CAF,SPON2,ITGB2,TIL,-0.000317699771666069,-0.04714980411760483,-0.14165905961906622,0.181438127090301,0.24052133893319286,0.08048709453854369,0.2506807390213112,0.014176231752292769
CAF,LAMB1,ITGB1,TIL,0.12153963458377232,0.1924655067846629,-0.05294356989153853,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.5273312875181129,0.014125083438322672
CAF,COL1A2,ITGB1,TIL,0.0004898725511495172,-0.0311384176977334,-0.06832506618360762,0.3642697881828316,0.5845192926013072,0.06021673643088425,1.0143240840152992,0.0129759036490959
CAF,LGALS1,ITGB1,TIL,0.005616112092678427,-0.016266326659126973,0.0017623457425622047,0.3642697881828316,0.5845192926013072,0.06021673643088425,1.0364992752046986,0.009866610460437
CAF,HSPG2,ITGB1,TIL,-0.10221528976268845,-0.20801089196118894,-0.05430078070977001,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.4086368725849895,0.009528742014840878
CAF,ADAM17,ITGB1,TIL,0.03285015639027472,0.0669151457793849,-0.005238494010890799,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.32359478542055536,0.008143706074314283
CAF,ADAM9,ITGB1,TIL,0.03674864004000958,0.047051388677710526,-0.008354637209993104,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.2647747061048397,0.00762933542812159
CAF,MIF,CD74,TIL,0.08294013716431436,0.13562788697713102,0.028893196832131093,0.3141025641025642,0.28597460533404595,0.014626413328182902,0.6441654739408884,0.00753745347444125
CAF,ICAM1,ITGB2,TIL,0.03577914331744145,0.05306311591686957,-0.012738301972538809,0.181438127090301,0.24052133893319286,0.08048709453854369,0.12759935652734047,0.007418805682107871
CAF,ADAM12,ITGB1,TIL,0.05819644914139069,0.0532789021017559,-0.19418327603798372,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.2720131491038567,0.0069989349605558355
CAF,THBS1,ITGB1,TIL,-0.06063146416551546,-0.14925980635105374,-0.12603990324934874,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.45630901164339704,0.006328653711631965
CAF,GRN,TNFRSF1B,TIL,0.05504814688797699,0.04652125521067707,-0.030228960634865607,0.3397435897435898,0.5012106134543117,0.10965508156812033,0.5973969413752231,0.006279270359577435
