Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,COL1A2,ITGA11,CAF,0.1776785714285714,0.3529256500012826,0.04666505694897674,0.018071992817935395,-0.02055807071600724,0.08580930560767164,0.1229829909954239,0.050680221513690664
DC,GNAI2,EDNRA,CAF,-0.04062500000000002,-0.04485494794880407,0.027183277085009425,0.0763155845060896,0.08736400885928662,-0.029918723186716963,0.0696266623895403,0.0148276880377856
DC,GNAI2,CAV1,CAF,-0.04062500000000002,-0.04485494794880407,0.027183277085009425,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.07643792716654474,0.010257239947337498
DC,COL1A2,ITGB1,CAF,0.1776785714285714,0.3529256500012826,0.04666505694897674,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.5407375103331928,0.00553821378699499
DC,COL1A2,CD44,CAF,0.1776785714285714,0.3529256500012826,0.04666505694897674,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.2843509853297639,0.0040049751800374355
DC,C3,CD46,CAF,0.1379464285714286,0.2775140823718412,0.00850257108656702,-0.012642401236364509,-0.04237366500821038,-0.0017877414955072837,0.13703685256301176,0.0008947933358075602
DC,VIM,CD44,CAF,0.0031250000000000444,0.04178253684532862,0.015798742734139587,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.12807105095010085,0.0008706153483554088
DC,B2M,HLA-F,CAF,0.0,0.005673536569615889,0.014404481417305132,0.07008251995359532,0.07623114496850407,-0.010472272360108906,0.15047622809138614,0.00014796926052623727
DC,APOE,LRP1,CAF,0.4316964285714286,0.8340047243498181,0.04826860960535671,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.6730619037175513,7.567604158621732e-05
DC,C3,NRP1,CAF,0.1379464285714286,0.2775140823718412,0.00850257108656702,0.0789494180969989,0.14658301736131185,-0.013582548156808094,0.24147246505915876,-0.0004192378622622436
DC,APP,CAV1,CAF,-0.03705357142857141,-0.03756796501326309,-0.017062230313771482,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.013452617461337135,-0.000477187709156942
DC,SPP1,CD44,CAF,0.025446428571428592,0.05699497589468532,-0.0025573455622602825,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.06883903275975167,-0.0007445690613931202
DC,GNAI2,F2R,CAF,-0.04062500000000002,-0.04485494794880407,0.027183277085009425,0.11145112957641401,0.17303866926858025,-0.0742994105035214,0.16278213066660696,-0.000817725810879022
DC,TIMP1,CD63,CAF,0.023660714285714257,0.09151403610935094,0.017478049174725202,0.023886923477398403,0.03177941888809665,-0.03738068604776512,0.20987576553975676,-0.0024798984597999107
DC,COL3A1,DDR2,CAF,0.03839285714285709,0.07327665693352227,0.002437823812658599,0.01918496685673987,-0.0013240732132016042,-0.040596772006744615,0.059070870301192076,-0.0026616043846708353
DC,TIMP2,ITGB1,CAF,0.03705357142857141,0.06688571207847233,-0.00595622519182927,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.09776655395516798,-0.004651879819702449
DC,TGFB1,SDC2,CAF,0.12321428571428572,0.22017126602729675,-0.015235113159621894,0.025333994695438622,-0.004647549280959007,0.009003614099345136,0.22930225110549815,-0.005389163211804438
DC,SPP1,ITGB1,CAF,0.025446428571428592,0.05699497589468532,-0.0025573455622602825,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.08116900538209881,-0.005630736698015511
DC,LGALS3BP,ITGB1,CAF,0.05982142857142861,0.12693285290922435,-0.0173986488992407,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.1912387855751844,-0.006981403250282648
DC,TGFB1,TGFBR2,CAF,0.12321428571428572,0.22017126602729675,-0.015235113159621894,0.01794081355737659,0.004405139342160913,-0.03388114888532881,0.12506760328045965,-0.007501525060374509
DC,TGFB1,ENG,CAF,0.12321428571428572,0.22017126602729675,-0.015235113159621894,-0.0022997364116733032,-0.02127139455685967,-0.03802478050861072,0.16449820296193424,-0.009519810899574162
DC,SPP1,ITGB5,CAF,0.025446428571428592,0.05699497589468532,-0.0025573455622602825,0.015138906538876284,-0.0434894879163914,-0.08265330114771191,0.02581310439846252,-0.011362124836479059
DC,TGFB1,ITGAV,CAF,0.12321428571428572,0.22017126602729675,-0.015235113159621894,-0.031339545217901055,-0.1265522931663866,-0.055203464742172616,0.07626267935943826,-0.012148508017575766
DC,GRN,TNFRSF1A,CAF,-0.04151785714285716,-0.05770085315641005,-0.0563295156832675,0.11948585928564687,0.19782541268739084,-0.027063208718916487,0.23666232459934866,-0.017138413923756875
DC,C3,LRP1,CAF,0.1379464285714286,0.2775140823718412,0.00850257108656702,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.15471087469851985,-0.018483197039185044
DC,APP,GPC1,CAF,-0.03705357142857141,-0.03756796501326309,-0.017062230313771482,0.07426590855985671,0.07160841315823208,-0.17230425111003078,0.010532834851531505,-0.02146692783570133
DC,SERPINF1,PLXDC1,CAF,0.04017857142857151,0.08234210811389686,-0.07559572130179251,0.22350486388102028,0.3761603818866242,0.0899388740295986,0.36019863274990915,-0.021697934035672287
DC,TGFB1,VASN,CAF,0.12321428571428572,0.22017126602729675,-0.015235113159621894,0.015401265059994007,0.004455137009748422,-0.1560899930135181,0.11213623477827213,-0.03195696218726854
DC,C1QB,LRP1,CAF,0.11428571428571432,0.24224494364604554,-0.07148793090054481,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.025899137008661092,-0.059266744396279214
