Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,GNAI2,FPR1,TAM,-0.04062500000000002,-0.04485494794880407,0.027183277085009425,0.10651053568895691,0.1283102322605041,0.13765507726357662,0.11682702023897408,0.036764603474277055
DC,CD47,SIRPA,TAM,0.0825892857142857,0.16928805083577836,0.04893956574384782,0.19267781437644793,0.2532218848384886,0.033415553464977044,0.3846169492410263,0.03168473636919336
DC,C3,C3AR1,TAM,0.1379464285714286,0.2775140823718412,0.00850257108656702,0.19397645427180032,0.290734183882849,0.127058897744743,0.35552836995729986,0.0270556942264016
DC,GNAI2,C5AR1,TAM,-0.04062500000000002,-0.04485494794880407,0.027183277085009425,0.10064459188980479,0.06474054057407397,0.01637149967747586,0.020115837657097124,0.023343794250639816
DC,C3,ITGAM,TAM,0.1379464285714286,0.2775140823718412,0.00850257108656702,-0.05982569226647333,-0.1898839712283128,0.1049175161593756,0.10151385757426468,0.0226604157012424
DC,C3,ITGAX,TAM,0.1379464285714286,0.2775140823718412,0.00850257108656702,0.06234101905407308,0.00027834878206234315,0.10015385065026394,0.19461762704314306,0.02210635775073547
DC,ANXA1,FPR1,TAM,-0.03125,0.0249879575068912,-0.0020595786084734173,0.10651053568895691,0.1283102322605041,0.13765507726357662,0.19585333930082185,0.020987255170127398
DC,APOE,SORL1,TAM,0.4316964285714286,0.8340047243498181,0.04826860960535671,0.09472821547335741,0.09136459230151106,0.012927320697768585,0.7876915352092099,0.018767915519072247
DC,ANXA1,FPR3,TAM,-0.03125,0.0249879575068912,-0.0020595786084734173,0.29288427290350033,0.4295587314836044,0.10392288200539612,0.6247409289675387,0.015304919483500712
DC,RPS19,C5AR1,TAM,0.0,0.005673536569615889,0.01468861407084432,0.10064459188980479,0.06474054057407397,0.01637149967747586,0.1321251711863929,0.013640838667977495
DC,COL1A2,CD93,TAM,0.1776785714285714,0.3529256500012826,0.04666505694897674,-0.0003404201667427942,-0.041905421386670805,0.010612596879325892,0.13073674844728642,0.011967008630784284
DC,LGALS1,PTPRC,TAM,-0.04508928571428561,-0.055502320580745,-0.0018402106838009968,0.16273344785740174,0.1905570176953042,0.07380833764830302,0.26745078629312696,0.01097014993601366
DC,MIF,CXCR4,TAM,0.01473214285714286,0.04349141628279218,0.017601349725780188,0.0988384737829191,0.027360080169064997,0.03259840496690919,0.095596027584973,0.008409054366988557
DC,LGALS9,HAVCR2,TAM,-0.04508928571428572,-0.06425796182434551,0.026822318577049087,0.20816062788608525,0.2776235213415199,-0.04992824388378303,0.14514675397859855,0.004718151521192357
DC,APOE,LRP1,TAM,0.4316964285714286,0.8340047243498181,0.04826860960535671,-0.011694063135332833,-0.11426007344051292,-0.05609092378888361,0.5237786426755547,0.00450382424994101
DC,TGFB1,TGFBR1,TAM,0.12321428571428572,0.22017126602729675,-0.015235113159621894,0.1694725063434777,0.2346214184289458,0.05932136117428378,0.29608221292616904,0.004157024110453933
DC,COL1A2,ITGB1,TAM,0.1776785714285714,0.3529256500012826,0.04666505694897674,0.0056610612913902125,-0.10449796781478504,-0.042006553277333575,0.334467032392744,0.0025835098123863317
DC,B2M,HLA-F,TAM,0.0,0.005673536569615889,0.014404481417305132,0.14992986714157386,0.19030042071976672,-8.519489718777917e-06,0.3727368379008825,0.0025568258955495984
DC,COL1A2,CD44,TAM,0.1776785714285714,0.3529256500012826,0.04666505694897674,-0.0805598020519771,-0.341840706083693,-0.07096860451875972,0.36623829429903054,0.00223834504572204
DC,TGFB1,TGFBR2,TAM,0.12321428571428572,0.22017126602729675,-0.015235113159621894,0.15193771571764028,0.2234441140223397,0.0261690131684718,0.2687472728834021,0.002061246371575832
DC,C3,ITGB2,TAM,0.1379464285714286,0.2775140823718412,0.00850257108656702,-0.007337945816456748,-0.17158424698667507,-0.014246841980740887,0.3241233594080021,0.0010437145915553198
DC,SPP1,ITGAV,TAM,0.025446428571428592,0.05699497589468532,-0.0025573455622602825,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.07890773894285735,0.0009745236017142804
DC,C3,CD46,TAM,0.1379464285714286,0.2775140823718412,0.00850257108656702,-5.358465587623762e-05,-0.04911165434542575,-0.002627123555419081,0.1485057348860968,0.0008677485882356006
DC,CALR,ITGAV,TAM,0.09107142857142858,0.21819514149324304,-0.011215347029797209,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.2565186088632746,-0.0003637193753797535
DC,HMGB1,HAVCR2,TAM,-0.012053571428571441,0.01062088887627488,0.0138751569892476,0.20816062788608525,0.2776235213415199,-0.04992824388378303,0.4665327112805442,-0.0006170006939074657
DC,TGFB1,ITGAV,TAM,0.12321428571428572,0.22017126602729675,-0.015235113159621894,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.19738876483781506,-0.0012023898518784268
DC,TGFB1,ENG,TAM,0.12321428571428572,0.22017126602729675,-0.015235113159621894,0.07487667649052032,0.06393614270550074,-0.008141683535970196,0.19428030949995367,-0.0042621633932463
DC,TIMP2,ITGB1,TAM,0.03705357142857141,0.06688571207847233,-0.00595622519182927,0.0056610612913902125,-0.10449796781478504,-0.042006553277333575,0.0293700464693506,-0.0044523299072155185
DC,SPP1,ITGB1,TAM,0.025446428571428592,0.05699497589468532,-0.0025573455622602825,0.0056610612913902125,-0.10449796781478504,-0.042006553277333575,0.009578236396901807,-0.00570861525441738
