Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,C3,ITGB2,TIL,0.1379464285714286,0.2775140823718412,0.00850257108656702,0.181438127090301,0.24052133893319286,0.08048709453854369,0.3312908092077538,0.0150470386089858
DC,ICAM3,ITGB2,TIL,-0.09062500000000001,-0.14505738376324606,-0.0624959687004808,0.181438127090301,0.24052133893319286,0.08048709453854369,0.07616482467374819,0.01264343906798452
DC,COL1A2,ITGB1,TIL,0.1776785714285714,0.3529256500012826,0.04666505694897674,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.6423117313535921,0.011881884220138585
DC,LGALS1,ITGB1,TIL,-0.04508928571428561,-0.055502320580745,-0.0018402106838009968,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.9731452479773792,0.009182702785628421
DC,SPP1,ITGB1,TIL,0.025446428571428592,0.05699497589468532,-0.0025573455622602825,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.3522846501880312,0.00732923485134471
DC,MIF,CD74,TIL,0.01473214285714286,0.04349141628279218,0.017601349725780188,0.3141025641025642,0.28597460533404595,0.014626413328182902,0.4348898376207706,0.00517450815208189
DC,TIMP1,CD63,TIL,0.023660714285714257,0.09151403610935094,0.017478049174725202,0.29668338907469344,0.4209618090569982,0.022070266590650645,0.7600741120699324,0.00481374171943601
DC,TIMP2,ITGB1,TIL,0.03705357142857141,0.06688571207847233,-0.00595622519182927,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.31200925082249004,0.004393169304717935
DC,GRN,TNFRSF1B,TIL,-0.04151785714285716,-0.05770085315641005,-0.0563295156832675,0.3397435897435898,0.5012106134543117,0.10965508156812033,0.6746693511479929,0.003344264885618655
DC,LGALS3BP,ITGB1,TIL,0.05982142857142861,0.12693285290922435,-0.0173986488992407,0.3642697881828316,0.5845192926013072,0.06021673643088425,0.3619186469148721,0.002935088459770149
DC,ICAM1,ITGB2,TIL,-0.046875,-0.0491265642398826,-0.052404777190973695,0.181438127090301,0.24052133893319286,0.08048709453854369,0.06629997806792798,0.0012715634500975286
DC,COL1A2,CD44,TIL,0.1776785714285714,0.3529256500012826,0.04666505694897674,-0.05156075808249716,-0.46494188998946,-0.0859334752480615,0.2589784465619924,-2.055640214149862e-06
DC,APP,CD74,TIL,-0.03705357142857141,-0.03756796501326309,-0.017062230313771482,0.3141025641025642,0.28597460533404595,0.014626413328182902,0.06819934758658319,-0.0019522912377114613
DC,B2M,HLA-F,TIL,0.0,0.005673536569615889,0.014404481417305132,0.13754180602006683,0.05970851927628262,-0.03646568972890152,0.12100428166761,-0.0022497566554792146
DC,CD48,CD2,TIL,0.10535714285714293,0.20465536081366265,-0.009591319775909102,0.08305462653288742,-0.20517413504498985,-0.2004225541472754,0.1435759993806569,-0.07051975842453673
