Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,MMP7,CD151,ETC,0.24366627329070667,0.7277189931169498,0.3229950885674783,-0.18052242383129502,-0.17051875816017192,0.0009183649395622939,0.7193550397981201,0.0580004334674887
ETC,MMP7,CD44,ETC,0.24366627329070667,0.7277189931169498,0.3229950885674783,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.7750909499176121,0.038095102544582295
ETC,COL1A1,ITGB1,ETC,0.15965574464387333,0.2440358778386497,0.036645058739914096,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.4135621943175612,0.006047939793793311
ETC,SPP1,ITGB1,ETC,0.10679106130217719,0.2012579139770164,0.03114696799724971,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.35947484690761056,0.0054626087861587395
ETC,ADAM17,ITGB1,ETC,0.04936915016776883,0.1619794443376779,0.024698229118994,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.29136764272775456,0.004522091090108068
ETC,COL1A1,CD44,ETC,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.2754213953568193,0.004278060145426026
ETC,SPP1,CD44,ETC,0.10679106130217719,0.2012579139770164,0.03114696799724971,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.2346948711231887,0.0035738438593896603
ETC,LGALS9,CD44,ETC,-0.008904919815776735,-0.008083477908692127,0.030238987631073605,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.05020638135060518,0.003475968788877
ETC,VIM,CD44,ETC,0.15453017735556046,0.236931323830646,0.024279398906041826,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.2621355421742401,0.0028449123511721554
ETC,B2M,HLA-F,ETC,0.0015753726092599951,0.3701202978945701,0.0410611532198536,0.03603875080240293,0.05396145059582047,-0.01949525093959741,0.3258316327182633,0.002822147201633728
ETC,LGALS1,ITGB1,ETC,0.0366834762474737,0.13141996461896732,0.013397175775647864,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.3649312325689946,0.0024710342377018122
ETC,TIMP2,ITGB1,ETC,0.08207004521487571,0.18159532433580555,0.012480498105300594,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.3277768819296453,0.002417073336423211
ETC,C3,CD46,ETC,0.3381122438968327,0.5229327575055016,0.0840432349498301,-0.3121858715426598,-0.4694957449354004,-0.10040710281428793,0.2342731210643623,0.002400287723646817
ETC,SPP1,ITGAV,ETC,0.10679106130217719,0.2012579139770164,0.03114696799724971,-0.09491129418822059,-0.06298243053978603,-0.03399127027936441,0.1009080104239295,0.0019696608724297203
ETC,COL1A1,DDR1,ETC,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.14254739432809793,-0.21994091987637288,-0.2363688929047517,0.04738883141442973,0.001545480879597633
ETC,COL1A2,ITGB1,ETC,0.0927521647357607,0.10434173352872506,0.0033789905235535322,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.22917214396240146,0.0009757107377677004
ETC,COL1A2,CD44,ETC,0.0927521647357607,0.10434173352872506,0.0033789905235535322,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.1392404047229886,0.00031354552465865
ETC,FN1,ITGB1,ETC,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.2713203545048515,-6.14385173311905e-05
ETC,FN1,CD44,ETC,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.17898096070818342,-0.00037803006348764885
ETC,FN1,ITGB6,ETC,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.04553303376959755,0.037752486728106605,0.020276032039582725,0.12484718899021376,-0.000644389856561442
ETC,TIMP1,CD63,ETC,-0.14268615045649335,-0.06815649179769889,0.0019825731666784085,-0.03911521243703431,0.20645469826485274,-0.016302361502153414,0.19548748483728406,-0.001890764774678498
ETC,FN1,PLAUR,ETC,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.07120922461954193,-0.01536908719761021,-0.027106099209510792,0.1335724631756512,-0.002198518937760316
ETC,FN1,ITGAV,ETC,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.09491129418822059,-0.06298243053978603,-0.03399127027936441,0.08031237446102968,-0.002823259587213589
ETC,MDK,ITGB1,ETC,-0.17081790430592503,-0.15375088992629204,-0.03097626599600467,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.11483567745308297,-0.003409479800624629
ETC,HLA-A,APLP2,ETC,-0.09730378622025504,0.055938394689904136,-0.006589280729249025,-0.11444227044270217,-0.016831354760513898,-0.01778886513711081,0.04294968717716285,-0.003743464222361468
ETC,FN1,ITGB8,ETC,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.044756560081403496,-0.07611075064071526,-0.11894018637690484,0.050555437167050216,-0.009407524215984987
ETC,GRN,TNFRSF1A,ETC,-0.10647500567638712,-0.13123944397764065,-0.050578122129817014,0.05287799832371387,0.10876200530652393,-0.02745180154895596,0.021384408718799208,-0.01137968664013463
ETC,ADAM9,ITGB1,ETC,-0.10171244684519032,-0.09014303125239552,-0.08486487811238921,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.08165964438988771,-0.01153270475167288
ETC,LGALS3BP,ITGB1,ETC,-0.021215671873992537,0.0918132135899068,-0.09142847760958313,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.3748549422289218,-0.012895283739792304
ETC,COL1A1,ITGA2,ETC,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.177519544992025,-0.2406043476709766,-0.33198357146107005,0.012399468079402898,-0.012895942616276985
ETC,LAMA5,BCAM,ETC,0.0028746345387830052,0.026489534528486902,-0.08917713516946849,0.07267387264149619,0.1100038197323046,-0.021982073399697682,0.057829935024477384,-0.019978337377253182
ETC,FN1,ITGA2,ETC,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.177519544992025,-0.2406043476709766,-0.33198357146107005,0.0011274078858550807,-0.02326531864608984
ETC,TIMP2,ITGA3,ETC,0.08207004521487571,0.18159532433580555,0.012480498105300594,0.029754780078544374,0.1210608692558317,-0.32719912738347096,0.22703429265642186,-0.02662559636800127
ETC,LAMC2,ITGB1,ETC,0.03253550895467583,0.21008351167341488,-0.208830967064773,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.4465266095453234,-0.02907897406377297
ETC,TNFSF10,TNFRSF10B,ETC,-0.003977675680675918,0.009310063493746744,-0.11171797124560927,0.0711377441897624,0.10959234953780587,-0.031466889828031225,0.08216049933751851,-0.029819859104528463
ETC,CALR,ITGA3,ETC,-0.04508382832362967,0.12018849938206146,-0.0190922453478517,0.029754780078544374,0.1210608692558317,-0.32719912738347096,0.2671785515339771,-0.0566817455912876
ETC,DSC2,DSG2,ETC,0.0756164836674226,0.09170481435293283,0.03873203304715744,-0.05514434842084315,-0.05694454574648844,-0.2086486452609964,0.0505498370486876,-0.0644622018879116
ETC,ADAM9,ITGA3,ETC,-0.10171244684519032,-0.09014303125239552,-0.08486487811238921,0.029754780078544374,0.1210608692558317,-0.32719912738347096,0.012333742705608495,-0.13370010776124128
ETC,LAMC2,ITGB4,ETC,0.03253550895467583,0.21008351167341488,-0.208830967064773,-0.058917393851561806,-0.052964588197905726,-0.16762109434257685,0.12561737989260247,-0.1859268026937252
ETC,LAMC2,ITGA3,ETC,0.03253550895467583,0.21008351167341488,-0.208830967064773,0.029754780078544374,0.1210608692558317,-0.32719912738347096,0.2971003363429512,-0.2840704829522584
