Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,MMP7,CD151,Endo,0.24366627329070667,0.7277189931169498,0.3229950885674783,-0.0010952902519166807,0.03430510284765309,0.0298618207154491,1.0007771755807555,0.06986456191213243
ETC,VEGFB,FLT1,Endo,-0.021677491513450914,-0.02235520044122941,-0.049052447923997315,0.05191675794085426,0.13537518789748615,0.6051095718855095,0.020944584634565392,0.06084160159912329
ETC,MMP7,CD44,Endo,0.24366627329070667,0.7277189931169498,0.3229950885674783,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.6581657175169446,0.03047662293696394
ETC,COL1A1,CD93,Endo,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.09813800657174154,-0.1693890503727844,0.0005415487672374429,0.19543136376761736,0.023246277719934545
ETC,CALR,SCARF1,Endo,-0.04508382832362967,0.12018849938206146,-0.0190922453478517,0.09901423877327487,0.1618104662908416,0.21766204964098132,0.2829212340636185,0.019171793460514442
ETC,C3,NRP1,Endo,0.3381122438968327,0.5229327575055016,0.0840432349498301,0.07031763417305581,0.09238553478409528,-0.07925593396723958,0.5704845192325478,0.0170988939470283
ETC,COL1A1,ITGA2,Endo,0.15965574464387333,0.2440358778386497,0.036645058739914096,0.1285870755750274,0.23575580918381106,0.033087761951058996,0.2419990299911698,0.01209695304540067
ETC,ANXA2,ROBO4,Endo,-0.02160951502630759,0.2825334467867031,0.02720726380042429,-0.04534501642935379,-0.0766865259402606,-0.0846867160787873,0.0897768527553302,0.011661416759381591
ETC,C3,CD46,Endo,0.3381122438968327,0.5229327575055016,0.0840432349498301,-0.11171960569550943,-0.2269728099463285,-0.043804607837579314,0.27920315833693204,0.008486772210870288
ETC,APOE,LDLR,Endo,0.2308222211632529,0.3489248230651237,0.0010185091882116,0.0683461117196057,0.11208178023331516,0.0844074995144834,0.2244117137889275,0.00788430793989275
ETC,B2M,HLA-F,Endo,0.0015753726092599951,0.3701202978945701,0.0410611532198536,0.06374589266155528,0.09391822845065867,-0.02148222997599292,0.4767948519679954,0.004429841817943359
ETC,SPP1,CD44,Endo,0.10679106130217719,0.2012579139770164,0.03114696799724971,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.2195183066005089,0.004428876202659906
ETC,COL1A1,ITGA5,Endo,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.05016429353778751,-0.122538522085484,-0.12748875815868693,0.20107193407917934,0.0043831262681190905
ETC,COL1A1,CD36,Endo,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.015991237677984604,-0.011677183034914164,-0.16458051271327562,0.12123539798851862,0.00431293197161431
ETC,LGALS9,CD44,Endo,-0.008904919815776735,-0.008083477908692127,0.030238987631073605,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.10113691231711812,0.0042055315894955776
ETC,COL1A1,CD44,Endo,0.15965574464387333,0.2440358778386497,0.036645058739914096,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.2492905856213628,0.0041147178277385
ETC,COL1A2,ITGA2,Endo,0.0927521647357607,0.10434173352872506,0.0033789905235535322,0.1285870755750274,0.23575580918381106,0.033087761951058996,0.1556296392800483,0.0038292688446439843
ETC,VIM,CD44,Endo,0.15453017735556046,0.236931323830646,0.024279398906041826,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.2323204426509822,0.0025699841876136013
ETC,COL1A2,CD93,Endo,0.0927521647357607,0.10434173352872506,0.0033789905235535322,-0.09813800657174154,-0.1693890503727844,0.0005415487672374429,0.04608427551789585,0.002187924625750938
ETC,COL1A2,CD44,Endo,0.0927521647357607,0.10434173352872506,0.0033789905235535322,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.14619292055083571,0.001588458875162603
ETC,FN1,ITGA2,Endo,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,0.1285870755750274,0.23575580918381106,0.033087761951058996,0.16151789249242446,0.0015450961112963913
ETC,COL1A1,ITGB1,Endo,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.1801947832723867,0.0011865127498624992
ETC,FN1,CD44,Endo,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.16457824087599274,0.0007795751340257369
ETC,ITGAV,THY1,Endo,-0.09491129418822059,-0.06298243053978603,-0.03399127027936441,0.09945235487404153,0.2192416813757735,0.038177339231935385,0.10647167879623436,-0.0011476011943404238
ETC,SPP1,ITGB5,Endo,0.10679106130217719,0.2012579139770164,0.03114696799724971,-0.03483023001095292,-0.04580899471418126,-0.04294648597058541,0.03727473680547522,-0.0017165168995542694
ETC,FN1,PLAUR,Endo,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.0639649507119387,-0.09429799906746006,-0.03283055624071926,0.059583888649177436,-0.0024653605295351963
ETC,SPP1,ITGB1,Endo,0.10679106130217719,0.2012579139770164,0.03114696799724971,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.1310849826158459,-0.002944864858278308
ETC,TIMP1,CD63,Endo,-0.14268615045649335,-0.06815649179769889,0.0019825731666784085,0.047973713033954035,0.09283571096077936,-0.02649512458934961,0.03216121273533412,-0.0032826400128220593
ETC,TIMP2,ITGB1,Endo,0.08207004521487571,0.18159532433580555,0.012480498105300594,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.11502048770960828,-0.003981303520050277
ETC,FN1,ITGB1,Endo,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.10892980117569118,-0.00464307791872245
ETC,ADAM17,ITGB1,Endo,0.04936915016776883,0.1619794443376779,0.024698229118994,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.103550667817364,-0.00467311045908169
ETC,SPP1,ITGAV,Endo,0.10679106130217719,0.2012579139770164,0.03114696799724971,-0.0941949616648412,-0.21836747471555784,-0.08115825427355701,0.0015306795857322752,-0.004969460563280646
ETC,COL1A2,ITGB1,Endo,0.0927521647357607,0.10434173352872506,0.0033789905235535322,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.027214837333942032,-0.005021793126446841
ETC,HSPG2,ITGA2,Endo,-0.11953910540139762,-0.1765871860901952,-0.04604990993165231,0.1285870755750274,0.23575580918381106,0.033087761951058996,0.08761321809698157,-0.005747479987384564
ETC,FN1,ITGAV,Endo,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.0941949616648412,-0.21836747471555784,-0.08115825427355701,0.008191217514471605,-0.005926543493679031
ETC,ADAM17,ITGA5,Endo,0.04936915016776883,0.1619794443376779,0.024698229118994,-0.05016429353778751,-0.122538522085484,-0.12748875815868693,0.1247277226064994,-0.008198466558799175
ETC,ADAM17,NOTCH1,Endo,0.04936915016776883,0.1619794443376779,0.024698229118994,0.008324205914567395,-0.012943558932484556,-0.1484755032523964,0.08532375697126779,-0.008932165810894134
ETC,FN1,ITGA5,Endo,0.11955802669163343,0.1561517147781611,-0.0026223314179935763,-0.05016429353778751,-0.122538522085484,-0.12748875815868693,0.12519369399936495,-0.00960242468224328
ETC,PSEN1,NCSTN,Endo,0.006949019036219584,0.024776044470887937,-0.04635647453572458,0.037677984665936415,0.07348150330908071,-0.025642534051032503,0.03755717671759781,-0.01224992962928427
ETC,APP,NCSTN,Endo,-0.18830888515757938,-0.22775070629359395,-0.06495620465283561,0.037677984665936415,0.07348150330908071,-0.025642534051032503,0.004100011027865279,-0.015041610964481394
ETC,EFNA1,EPHA2,Endo,-0.14305967074151843,-0.22824341028147024,-0.1015216279240973,0.04972617743702082,0.1328505945840584,-0.015107232228993794,0.004405552898376991,-0.026085200848311424
ETC,VEGFB,NRP1,Endo,-0.021677491513450914,-0.02235520044122941,-0.049052447923997315,0.07031763417305581,0.09238553478409528,-0.07925593396723958,0.005916333435719234,-0.029280570557360205
ETC,PSEN1,NOTCH3,Endo,0.006949019036219584,0.024776044470887937,-0.04635647453572458,0.062431544359255076,0.1470643249428062,-0.0806281302854398,0.06996177914871968,-0.032694865847968164
ETC,ANXA1,DYSF,Endo,-0.11062507533476662,-0.03456880545962604,-0.008530104973036301,0.032639649507119395,0.08387793965626343,-0.2027695009506597,0.08534142437937398,-0.036216315900720684
ETC,JAG1,NOTCH3,Endo,-0.06238489548439899,-0.0518553704027982,-0.08623920563434795,0.062431544359255076,0.1470643249428062,-0.0806281302854398,0.033404489800351295,-0.047981956321665256
ETC,PSEN1,NOTCH1,Endo,0.006949019036219584,0.024776044470887937,-0.04635647453572458,0.008324205914567395,-0.012943558932484556,-0.1484755032523964,0.00881826983886419,-0.05332982891649582
ETC,TCN1,CD320,Endo,0.040179009421400846,0.08144347908641747,0.07304448893690008,-0.04512595837897049,0.00020371781667449795,-0.14502333765611158,0.06990098295223908,-0.0637455609312248
ETC,EFNA5,EPHA2,Endo,0.01778811518720863,0.024250603922401803,-0.29093741025665226,0.04972617743702082,0.1328505945840584,-0.015107232228993794,0.06849293997379799,-0.06844691257905193
ETC,LAMC2,ITGB1,Endo,0.03253550895467583,0.21008351167341488,-0.208830967064773,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.06897172084324388,-0.07288066276707411
ETC,LAMA5,BCAM,Endo,0.0028746345387830052,0.026489534528486902,-0.08917713516946849,0.06527929901423868,0.12093766305565645,-0.2227476689243421,0.08824980365986779,-0.1150648831076573
ETC,LAMC2,ITGA6,Endo,0.03253550895467583,0.21008351167341488,-0.208830967064773,-0.0869660460021906,-0.1199017305666632,-0.0842465716245347,0.08907449601171458,-0.119847900680646
