Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,C3,C3AR1,TAM,0.3381122438968327,0.5229327575055016,0.0840432349498301,0.19397645427180032,0.290734183882849,0.127058897744743,0.5478146159409587,0.08087822164973328
ETC,C3,ITGAX,TAM,0.3381122438968327,0.5229327575055016,0.0840432349498301,0.06234101905407308,0.00027834878206234315,0.10015385065026394,0.3666101702550021,0.07145970842055763
ETC,C3,ITGAM,TAM,0.3381122438968327,0.5229327575055016,0.0840432349498301,-0.05982569226647333,-0.1898839712283128,0.1049175161593756,0.2710488635590168,0.069942082018181
ETC,MMP7,CD44,TAM,0.24366627329070667,0.7277189931169498,0.3229950885674783,-0.0805598020519771,-0.341840706083693,-0.07096860451875972,0.7366316135609903,0.04461857837642928
ETC,MMP7,CD151,TAM,0.24366627329070667,0.7277189931169498,0.3229950885674783,-0.06864194417739683,-0.19915973713848267,-0.011784932472696087,0.3499986331003264,0.03285269884998833
ETC,RPS19,C5AR1,TAM,-0.005402378756576787,0.3382943134449099,0.0388529048110163,0.10064459188980479,0.06474054057407397,0.01637149967747586,0.5279887827791467,0.03198395920806377
ETC,C3,ITGB2,TAM,0.3381122438968327,0.5229327575055016,0.0840432349498301,-0.007337945816456748,-0.17158424698667507,-0.014246841980740887,0.6828354777693577,0.031234267724194777
ETC,ANXA1,FPR1,TAM,-0.11062507533476662,-0.03456880545962604,-0.008530104973036301,0.10651053568895691,0.1283102322605041,0.13765507726357662,0.1392276580205345,0.015420461802712976
ETC,C3,CD46,TAM,0.3381122438968327,0.5229327575055016,0.0840432349498301,-5.358465587623762e-05,-0.04911165434542575,-0.002627123555419081,0.3004658538720273,0.012434454009763956
ETC,C3,LRP1,TAM,0.3381122438968327,0.5229327575055016,0.0840432349498301,-0.011694063135332833,-0.11426007344051292,-0.05609092378888361,0.3279866224487349,0.012433213641435056
ETC,LGALS1,PTPRC,TAM,0.0366834762474737,0.13141996461896732,0.013397175775647864,0.16273344785740174,0.1905570176953042,0.07380833764830302,0.3286820315047696,0.009968080413201305
ETC,ANXA1,FPR3,TAM,-0.11062507533476662,-0.03456880545962604,-0.008530104973036301,0.29288427290350033,0.4295587314836044,0.10392288200539612,0.5089105588430098,0.009407527497211464
ETC,COL1A1,CD93,TAM,0.15965574464387333,0.2440358778386497,0.036645058739914096,-0.0003404201667427942,-0.041905421386670805,0.010612596879325892,0.08294770186073819,0.009376306301747142
