Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,ICAM1,SPN,DC,0.1969331872946331,0.33270646323847,0.036225441530885694,0.11071428571428571,0.23155819796315655,0.038698830540972506,0.4070293034538223,0.02460679166623389
Endo,MIF,CXCR4,DC,0.143921139101862,0.26655515330518803,0.04117700147028669,-0.022321428571428603,-0.04964098793451988,0.016404542401726313,0.2672490777821281,0.010864638326284341
Endo,THBS1,CD47,DC,0.008543263964950698,0.058741582119650186,-0.0281218974677801,0.0825892857142857,0.16928805083577836,0.04893956574384782,0.16089973880827235,0.0063606796493394895
Endo,LGALS1,CD69,DC,0.06615553121577222,0.09360736812388937,0.011185679441422595,-0.025892857142857217,-0.002057624119492285,0.012307269568551105,0.051940271107667635,0.004816588861212029
Endo,MIF,CD74,DC,0.143921139101862,0.26655515330518803,0.04117700147028669,-0.028124999999999956,-0.062264024268091626,-0.023177154051366892,0.3964609359641069,0.0047754428130150324
Endo,HBEGF,CD9,DC,0.09353778751369102,0.14737808369338612,0.02225800141915471,0.04151785714285722,0.16653861018149585,0.00013377479071330356,0.2508789726383329,0.003021462591898828
Endo,B2M,HLA-F,DC,0.0,-0.03390781816026545,0.009532548347206809,0.06785714285714278,0.13353940281835586,-0.0021932070385621005,0.20241330529038248,0.001001488186203478
Endo,FN1,PLAUR,DC,0.366922234392114,0.620048788740773,0.02134814100328819,-0.02946428571428572,-0.011377559983423824,-0.03643098069347148,0.7676134614764659,-0.0024521772970248004
Endo,TIMP1,CD63,DC,0.005914567360350453,-0.0285169943714676,0.006526287015011206,0.04062500000000002,0.13319676358511678,-0.02528241407611359,0.1700602165185341,-0.002703254665087473
Endo,FN1,CD44,DC,0.366922234392114,0.620048788740773,0.02134814100328819,-0.08973214285714282,-0.1432865025370258,-0.04140694474673129,0.7144580369513647,-0.003780138692874711
Endo,HBEGF,CD44,DC,0.09353778751369102,0.14737808369338612,0.02225800141915471,-0.08973214285714282,-0.1432865025370258,-0.04140694474673129,0.10619625264255184,-0.004091504962088599
Endo,LGALS3BP,ITGB1,DC,0.17765607886089813,0.33511332027588797,0.010944769419943476,-0.23035714285714282,-0.425805372047825,-0.07759469713235374,0.01999166325615209,-0.006470329274584704
Endo,HMGB1,HAVCR2,DC,0.06002190580503841,0.1108624613934266,0.02171601537682841,-0.015178571428571375,-0.004771146183548458,-0.1484767925672602,0.07727540057665405,-0.01161784675820611
Endo,GRN,TNFRSF1B,DC,0.17415115005476456,0.34079717623212397,0.001993064990245097,-0.07767857142857137,-0.13226212964357953,-0.07663745574073341,0.0611284670633705,-0.01272895830360013
