Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,FN1,ITGB6,ETC,0.366922234392114,0.620048788740773,0.02134814100328819,-0.04553303376959755,0.037752486728106605,0.020276032039582725,0.479123757950617,0.020108473490420303
Endo,CLEC11A,ITGB1,ETC,0.00766703176341732,0.028461601612727705,0.027068964239714888,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.11415840728051325,0.00488024509926949
Endo,FN1,ITGB1,ETC,0.366922234392114,0.620048788740773,0.02134814100328819,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.9731954258626536,0.004236212646743804
Endo,HBEGF,CD44,ETC,0.09353778751369102,0.14737808369338612,0.02225800141915471,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.20187296619233253,0.002450997390596399
Endo,LGALS1,ITGB1,ETC,0.06615553121577222,0.09360736812388937,0.011185679441422595,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.477041328656993,0.0024298798244686386
Endo,FN1,CD44,ETC,0.366922234392114,0.620048788740773,0.02134814100328819,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.6679570779362954,0.002354239917408761
Endo,LGALS3BP,ITGB1,ETC,0.17765607886089813,0.33511332027588797,0.010944769419943476,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.5080758182773755,0.0021793274630701395
Endo,COL1A1,ITGB1,ETC,0.009419496166484076,0.034281753945936355,0.007094555288568698,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.25238505409400425,0.0017521701393003533
Endo,VIM,CD44,ETC,0.0,-0.03390781816026545,0.008150763851481613,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.1320977687120819,0.0008253402557983487
Endo,COL1A1,CD44,ETC,0.009419496166484076,0.034281753945936355,0.007094555288568698,-0.011425656148297936,0.09708542640799822,-0.0009867044946643977,0.1184128012633694,0.000715710778894341
Endo,MIF,CD74,ETC,0.143921139101862,0.26655515330518803,0.04117700147028669,-0.15527721792561,-0.21657809942931291,-0.0344058890059404,0.04061932535855517,0.0007153224391360791
Endo,B2M,HLA-F,ETC,0.0,-0.03390781816026545,0.009532548347206809,0.03603875080240293,0.05396145059582047,-0.01949525093959741,0.06942530506235955,-0.0011752098690614513
Endo,MDK,ITGB1,ETC,-0.075355969331873,-0.06991507966678734,-0.013624895648770341,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.11275822514111468,-0.001198511519367642
Endo,TIMP1,CD63,ETC,0.005914567360350453,-0.0285169943714676,0.006526287015011206,-0.03911521243703431,0.20645469826485274,-0.016302361502153414,0.29144428787116405,-0.0014001510316087387
Endo,FN1,ITGAV,ETC,0.366922234392114,0.620048788740773,0.02134814100328819,-0.09491129418822059,-0.06298243053978603,-0.03399127027936441,0.3466334854100336,-0.0019321057016576386
Endo,FN1,PLAUR,ETC,0.366922234392114,0.620048788740773,0.02134814100328819,-0.07120922461954193,-0.01536908719761021,-0.027106099209510792,0.53715718275945,-0.001971149844270024
Endo,HSPG2,ITGB1,ETC,-0.04884994523548758,-0.10481542493355822,-0.027666491226073564,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.2387513077592518,-0.002244470343671888
Endo,THBS1,ITGB1,ETC,0.008543263964950698,0.058741582119650186,-0.0281218974677801,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.21429688642575884,-0.0032359945095493184
Endo,GPI,AMFR,ETC,-0.02212486308871847,0.030429425023362155,-0.02151927674579471,-0.0336876052934762,-0.00461928226482311,0.008338335039752814,0.0075172008352319955,-0.0032958582198924016
Endo,COL4A1,ITGB1,ETC,0.005476451259583959,0.022844456188154227,-0.04510805316690469,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.3779718977913762,-0.004200410519227024
Endo,HBEGF,CD9,ETC,0.09353778751369102,0.14737808369338612,0.02225800141915471,-0.10285613372166369,-0.05482371245948281,-0.040833787823404334,0.12686174576366194,-0.004359389159418366
Endo,GRN,TNFRSF1A,ETC,0.17415115005476456,0.34079717623212397,0.001993064990245097,0.05287799832371387,0.10876200530652393,-0.02745180154895596,0.3679672937061754,-0.004414478629212439
Endo,TIMP2,ITGB1,ETC,0.009857612267250793,0.026987929076854437,-0.0364853190177358,0.02079519875764213,0.23660432062935602,0.005096849212556903,0.2598376764415645,-0.0046352560937454905
