Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,TNFSF12,TNFRSF12A,CAF,0.17156545996123002,0.2527032975433883,0.2684523585086573,0.087758925313908,0.11068748001466966,-0.0361970531032417,0.26868047747473484,0.04074845687503985
TAM,PTGS2,CAV1,CAF,0.06274447999243507,0.07067682240028239,0.1379534731514166,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.11064924513889213,0.03846712759869686
TAM,SERPINF1,PLXDC1,CAF,0.27120139950512995,0.4144289474902952,0.016537410214816584,0.22350486388102028,0.3761603818866242,0.0899388740295986,0.4970201532532821,0.021181351390900133
TAM,GNAI2,EDNRA,CAF,0.04792359458479767,-0.06122663462663304,0.03143378640114769,0.0763155845060896,0.08736400885928662,-0.029918723186716963,0.07783185960107641,0.01697262579417859
TAM,F13A1,ITGB1,CAF,0.02326834880458939,0.008628344174132108,0.16077719742213958,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.006832791936625226,0.016174821645288162
TAM,C3,NRP1,CAF,0.3472285700776977,0.5650836797890206,0.07416528921163176,0.0789494180969989,0.14658301736131185,-0.013582548156808094,0.4402321843506963,0.013010886386599987
TAM,LGALS9,CD44,CAF,0.27697593418543437,0.3998080522313786,0.14253573089258334,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.3430968162912725,0.012662885397077396
TAM,SIRPA,CD47,CAF,0.19267781437644793,0.2532218848384886,0.033415553464977044,0.0065507643241604074,-0.001895521103607134,0.016296724504303625,0.16263329888892453,0.01221961897863303
TAM,GNAI2,CAV1,CAF,0.04792359458479767,-0.06122663462663304,0.03143378640114769,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.08436539895844497,0.01205243713881578
TAM,C3,CD46,CAF,0.3472285700776977,0.5650836797890206,0.07416528921163176,-0.012642401236364509,-0.04237366500821038,-0.0017877414955072837,0.29391566593043045,0.00999882424232702
TAM,MMP2,SDC2,CAF,0.03744937038029347,0.02370551717612851,0.018634869928819187,0.025333994695438622,-0.004647549280959007,0.009003614099345136,0.023119363845110263,0.009391789315372476
TAM,VEGFB,NRP1,CAF,0.1524861704307261,0.20030839290573774,0.0305545867008728,0.0789494180969989,0.14658301736131185,-0.013582548156808094,0.1924852596069765,0.0034531469610893577
TAM,SLPI,PLSCR1,CAF,0.20890766102977099,0.3125883292898688,0.022376579032553717,0.06587863458787158,0.06941698255512685,-0.004303969794652307,0.2355166888192373,0.00197968325275066
TAM,C3,LRP1,CAF,0.3472285700776977,0.5650836797890206,0.07416528921163176,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.4231225309483161,0.0006058606784460074
TAM,HBEGF,CD44,CAF,0.16435989976517307,0.16966999925050952,0.014058858733695112,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.18982149280314087,-6.751771185072725e-05
TAM,A2M,LRP1,CAF,0.2352807678365983,0.3710354263243935,0.0580402556207931,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.21239854084492535,-0.0009897039102705757
TAM,GNAI2,F2R,CAF,0.04792359458479767,-0.06122663462663304,0.03143378640114769,0.11145112957641401,0.17303866926858025,-0.0742994105035214,0.18811309400656206,-0.0013766824598865494
TAM,SERPINF1,PLXDC2,CAF,0.27120139950512995,0.4144289474902952,0.016537410214816584,-0.1045232248781468,-0.20907263481182647,-0.04505080398743705,0.20380545452650145,-0.0014192390258718974
TAM,B2M,HLA-F,CAF,0.0,-0.20758713516560826,-0.0023263990795105998,0.07008251995359532,0.07623114496850407,-0.010472272360108906,0.02968649138233115,-0.00171962942495695
TAM,ALCAM,NRP1,CAF,0.09023656049550038,0.10256808433644538,0.004445326544446793,0.0789494180969989,0.14658301736131185,-0.013582548156808094,0.1615666786289961,-0.003781768733588514
TAM,SLPI,PLSCR4,CAF,0.20890766102977099,0.3125883292898688,0.022376579032553717,-0.10336515796852525,-0.20274578923965694,-0.11663707151501584,0.042783064459347764,-0.0066769501967461065
TAM,SERPING1,LRP1,CAF,0.2690296449228539,0.3918661548271956,0.0454426407914815,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.17490445725485093,-0.007609635561265787
TAM,PLAU,PLAUR,CAF,0.062422972057178006,0.053695481272662327,-0.02721353695565909,0.02342574638949585,-0.013286278642192341,-0.02150268580567741,0.027979781399042558,-0.00815741653835994
TAM,ITGAV,THY1,CAF,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.060707302175526,0.07739848247480685,-0.07913114234701424,0.1660886221117127,-0.008848992761232397
TAM,LGALS3BP,ITGB1,CAF,0.28851554743030056,0.4319278751423937,-0.014596631529701087,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.6575601856374138,-0.010570880383797769
TAM,OSM,IL6ST,CAF,0.1614095916534018,0.2057363756405292,0.02149486416735646,0.018225718513902922,-0.005322470169500161,-0.0269156299775217,0.1348196176516827,-0.010934241822545113
TAM,TGFB1,TGFBR2,CAF,0.16118579691415413,0.2103821220012848,-0.03160839882255298,0.01794081355737659,0.004405139342160913,-0.03388114888532881,0.12029250961000583,-0.01105684252650517
TAM,FN1,CD44,CAF,0.02660950970039877,-0.09635548892698087,-0.1091316512587976,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.0003808695175407939,-0.011276111878795842
TAM,TGFB1,SDC2,CAF,0.16118579691415413,0.2103821220012848,-0.03160839882255298,0.025333994695438622,-0.004647549280959007,0.009003614099345136,0.2182782999996563,-0.012378531316602631
TAM,VEGFA,NRP1,CAF,-0.031949063056531835,-0.1758505589755236,-0.04748423973233429,0.0789494180969989,0.14658301736131185,-0.013582548156808094,0.02603209232073933,-0.014012777322742713
TAM,TGFB1,ENG,CAF,0.16118579691415413,0.2103821220012848,-0.03160839882255298,-0.0022997364116733032,-0.02127139455685967,-0.03802478050861072,0.15339089077841314,-0.01469303875064852
TAM,TGFB1,ITGAV,CAF,0.16118579691415413,0.2103821220012848,-0.03160839882255298,-0.031339545217901055,-0.1265522931663866,-0.055203464742172616,0.05030297507258608,-0.01786183119206337
TAM,ADAM9,ITGB1,CAF,0.051349860522292734,0.026937988662599218,-0.038450670311148134,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.03142557865391216,-0.019029611787176718
TAM,TIMP2,ITGB1,CAF,0.10875163512001385,0.0503681650655754,-0.0440788544783029,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.06028223712069725,-0.019146928397931102
TAM,GRN,TNFRSF1A,CAF,0.06204787946604473,-0.06709339875971176,-0.06757534565241077,0.11948585928564687,0.19782541268739084,-0.027063208718916487,0.28755242588519225,-0.02059037229906661
TAM,PSEN1,NOTCH2,CAF,0.05508502624072109,0.050102670138599086,-0.04123932033038619,-0.004650714722002486,-0.032932435469685606,-0.06108646916873841,0.005373331037715118,-0.024199981154555447
TAM,PLTP,ABCA1,CAF,0.10651053568895691,0.13747436472153096,-0.0712041525361638,-0.019512915008137344,-0.0462136566083412,-0.077387250019096,0.02872904500726975,-0.036503247342391486
TAM,PSEN1,NOTCH3,CAF,0.05508502624072109,0.050102670138599086,-0.04123932033038619,0.09433838510131554,0.16210096800339455,-0.10762934877850933,0.10056368564644293,-0.041919584367400266
TAM,TGFB1,VASN,CAF,0.16118579691415413,0.2103821220012848,-0.03160839882255298,0.015401265059994007,0.004455137009748422,-0.1560899930135181,0.1079450055383938,-0.04553937693316477
