Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,VEGFB,FLT1,Endo,0.1524861704307261,0.20030839290573774,0.0305545867008728,0.05191675794085426,0.13537518789748615,0.6051095718855095,0.2488015892040821,0.15593412665677842
TAM,PTGS2,CAV1,Endo,0.06274447999243507,0.07067682240028239,0.1379534731514166,0.08959474260679079,0.1701085858544551,0.0529206706560188,0.17255448603172352,0.05828842642241541
TAM,TNFSF12,TNFRSF12A,Endo,0.17156545996123002,0.2527032975433883,0.2684523585086573,0.13493975903614464,0.21047109192506536,0.012131831624989806,0.2511728105316121,0.03220104904409973
TAM,SIRPA,CD47,Endo,0.19267781437644793,0.2532218848384886,0.033415553464977044,0.08696604600219049,0.17379638349160087,0.04014390244630752,0.2947735319509159,0.02498975436841821
TAM,GNAI2,CAV1,Endo,0.04792359458479767,-0.06122663462663304,0.03143378640114769,0.08959474260679079,0.1701085858544551,0.0529206706560188,0.15286744035864785,0.01855730999346129
TAM,LGALS9,CD44,Endo,0.27697593418543437,0.3998080522313786,0.14253573089258334,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.4259212974259005,0.014519350405606809
TAM,ITGB2,THY1,Endo,-0.007337945816456748,-0.17158424698667507,-0.014246841980740887,0.09945235487404153,0.2192416813757735,0.038177339231935385,0.212170176360184,0.011428350925407005
TAM,ITGAV,THY1,Endo,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.09945235487404153,0.2192416813757735,0.038177339231935385,0.19490718197758936,0.01077881679142144
TAM,C3,NRP1,Endo,0.3472285700776977,0.5650836797890206,0.07416528921163176,0.07031763417305581,0.09238553478409528,-0.07925593396723958,0.6259686177297658,0.009658404412480892
TAM,CALR,SCARF1,Endo,0.06143638398133988,-0.05373126950534357,-0.04494314893341908,0.09901423877327487,0.1618104662908416,0.21766204964098132,0.22292071604563235,0.008665824821354806
TAM,LRPAP1,LDLR,Endo,0.08497896014247219,0.03071937409199088,-0.042634086580555314,0.0683461117196057,0.11208178023331516,0.0844074995144834,0.1373376133178455,0.008646228162107361
TAM,HBEGF,CD44,Endo,0.16435989976517307,0.16966999925050952,0.014058858733695112,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.3276189851859347,0.006330190301950885
TAM,C3,CD46,Endo,0.3472285700776977,0.5650836797890206,0.07416528921163176,-0.11171960569550943,-0.2269728099463285,-0.043804607837579314,0.27836801637984154,0.0044877014816963184
TAM,VIM,CD44,Endo,-0.004327748971647116,-0.21363356104791587,-0.006651207237584611,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.2005203500181857,0.001836555766529491
TAM,COL1A1,CD44,Endo,0.0013490725126475978,-0.10885877309595716,-0.0140060334314296,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.06552522346911333,0.0004485345999155118
TAM,COL1A1,ITGA2,Endo,0.0013490725126475978,-0.10885877309595716,-0.0140060334314296,0.1285870755750274,0.23575580918381106,0.033087761951058996,0.1247994302546334,-8.673837540279157e-05
