Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,ITGB2,THY1,Endo,0.181438127090301,0.24052133893319286,0.08048709453854369,0.09945235487404153,0.2192416813757735,0.038177339231935385,0.3232552585947053,0.029474031506133938
TIL,GNAI2,TBXA2R,Endo,0.2150222965440357,0.25892548443413393,0.056850058650743475,0.04972617743702082,0.09784466548770826,-0.16123161027640742,0.16517658223894258,0.02946774851196234
TIL,GNAI2,CAV1,Endo,0.2150222965440357,0.25892548443413393,0.056850058650743475,0.08959474260679079,0.1701085858544551,0.0529206706560188,0.4747907749352002,0.021432961384588944
TIL,ANXA2,ROBO4,Endo,0.25306577480490533,0.2990595526885703,0.02819820406008426,-0.04534501642935379,-0.0766865259402606,-0.0846867160787873,0.15557387832481262,0.017925040337325417
TIL,LTB,CD40,Endo,0.2813545150501672,0.3229351261161557,0.14930818177503458,0.0021905805038334725,0.0494296100349374,-0.03033945114989992,0.2425956385806197,0.01750457067977844
TIL,CALR,SCARF1,Endo,0.14687848383500557,0.03224600392717214,-0.023266904534767995,0.09901423877327487,0.1618104662908416,0.21766204964098132,0.19445423948791166,0.010991897078177463
TIL,BSG,SLC16A1,Endo,0.29208472686733555,0.431029557819107,0.04979755172547548,0.00744797371303399,0.011892963190014759,-0.0298328127551864,0.1513068894818196,0.006794248906742991
TIL,ARF1,INSR,Endo,0.2820512820512821,0.3865817628389501,0.0214567219708547,-0.061993428258488525,-0.1593606596765289,-0.0383621806439805,0.30392512461252474,0.005103384557480432
TIL,GNAI2,F2R,Endo,0.2150222965440357,0.25892548443413393,0.056850058650743475,-0.033296823658269414,-0.017087866897225856,-0.152802820745029,0.18013694224208346,0.004766432135792455
TIL,TIMP1,CD63,Endo,0.2728539576365664,0.3955070069896453,0.04086115719324157,0.047973713033954035,0.09283571096077936,-0.02649512458934961,0.6799493317087513,0.004411048513440668
TIL,LGALS1,ITGB1,Endo,0.44035674470457076,0.6449397867140664,0.059990001472559534,-0.10383351588170864,-0.2252321788485689,-0.06256110554823749,0.5358438450622689,0.003424390341480784
TIL,VIM,CD44,Endo,0.1839464882943146,-0.03288803459782685,0.009022949546371395,0.1112814895947426,0.17901062130510692,0.014741051149871606,0.3011433283696624,0.003020979584642239
TIL,LTB,LTBR,Endo,0.2813545150501672,0.3229351261161557,0.14930818177503458,-0.052135815991237566,-0.08336259810622526,-0.08346013387977111,0.06545793641761287,-0.012476586205692005
TIL,YBX1,NOTCH1,Endo,0.24177814938684483,0.09315145930730816,0.018009123441351305,0.008324205914567395,-0.012943558932484556,-0.1484755032523964,0.029546539948382636,-0.013940904900696272
TIL,TGFB1,ENG,Endo,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.13209200438116098,0.23722463311840825,0.01401086328439993,0.3447383799987781,-0.016806647961318668
TIL,LTB,TNFRSF1A,Endo,0.2813545150501672,0.3229351261161557,0.14930818177503458,-0.10514786418400879,-0.1555219176568584,-0.11147109913110724,0.09769913131281482,-0.02222923883003043
TIL,TGFB1,TGFBR2,Endo,0.1379598662207358,0.11435252066432774,-0.04802979935330279,-0.0015334063526833974,-0.032363297159402116,-0.08290823954293752,0.10928555895503557,-0.029685580568653062
TIL,TGFB1,ACVRL1,Endo,0.1379598662207358,0.11435252066432774,-0.04802979935330279,-0.056955093099671505,-0.08085170598999969,-0.06630592776113342,0.03946241003387918,-0.04308451068626842
