Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
DC,VIM,CD44,EMT,61.0,0.953125,1.8433160041082368,0.1681167481582479,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.760956544658857,0.0316928272391713
CAF,TIMP1,CD63,EMT,343.0,0.9884726224783862,1.7737270654175892,0.1683509274688068,955.0,0.9665991902834008,1.5528458020387268,0.1397830106889518,2.754324627496174,0.02353259949386716
TIL,VIM,CD44,EMT,96.0,0.9230769230769232,1.773817883463284,0.1617782809502927,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.6568608331213217,0.0304979198406902
CAF,COL1A2,CD44,EMT,341.0,0.9827089337175792,1.7639467219065257,0.3070440418543003,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.642075604737922,0.05788295264993686
CAF,COL1A1,CD44,EMT,338.0,0.9740634005763688,1.7490833148741238,0.2546739453737101,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.619812888616227,0.048010310938500986
EMT,FN1,PLAUR,TAM,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,564.0,0.951096121416526,1.641791686887961,0.2496239745165449,2.5993963914270153,0.053350853634316915
DC,HLA-A,APLP2,EMT,64.0,1.0,1.9370807483657968,0.1609125524742826,844.0,0.8542510121457491,1.338679765379097,0.1974745083550537,2.593130801742692,0.03177612718801573
CAF,VIM,CD44,EMT,337.0,0.9711815561959656,1.725605097396336,0.1573811093339448,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.58464673259211,0.02966897922707135
TIL,HLA-A,APLP2,EMT,104.0,1.0,1.9285729284561368,0.1602058111477736,844.0,0.8542510121457491,1.338679765379097,0.1974745083550537,2.581741555382139,0.03163656379202917
DC,TIMP1,CD63,EMT,55.0,0.859375,1.658762533311486,0.1574392229662185,955.0,0.9665991902834008,1.5528458020387268,0.1397830106889518,2.5758024364318652,0.02200732858674718
TAM,VIM,CD44,EMT,586.0,0.988195615514334,1.714865759901791,0.1564016448835017,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.568561132469949,0.02948433374733852
EMT,TIMP1,CD63,EMT,988.0,1.0,1.6237971423013016,0.1541205297350882,955.0,0.9665991902834008,1.5528458020387268,0.1397830106889518,2.521506575785059,0.02154343165534675
Endo,TIMP1,CD63,EMT,54.0,0.9818181818181818,1.6173107571395842,0.1535048831797721,955.0,0.9665991902834008,1.5528458020387268,0.1397830106889518,2.511434219816278,0.02145737472632438
Endo,VIM,CD44,EMT,55.0,1.0,1.6557050581179666,0.1510059857667308,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.479949019076142,0.028467161489947986
ETC,MMP7,CD44,EMT,384.0,0.8514412416851441,1.6508826128278682,0.5225282183211405,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.472725861540871,0.09850533472878996
EMT,FN1,ITGB1,CAF,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,308.0,0.8876080691642652,1.549443807201967,0.1945873481682883,2.453184940163839,0.041588157352763166
CAF,FN1,CD44,EMT,322.0,0.9279538904899136,1.633837970819193,0.2205512911239434,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.447196046902287,0.0415776181941596
EMT,VIM,CD44,EMT,983.0,0.9949392712550608,1.612949587058992,0.1471065400154928,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.41590899697621,0.027732050551410342
EMT,CD59,CD2,TIL,939.0,0.9504048582995952,1.5226544572674352,0.1773309097216682,84.0,0.8076923076923077,1.57507797933291,0.7186372554440424,2.3982995057750394,0.1274365982677749
EMT,FN1,CD44,EMT,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.3714514443480534,0.04029072490694023
TAM,HLA-A,APLP2,EMT,593.0,1.0,1.738308627245481,0.1444006288504578,844.0,0.8542510121457491,1.338679765379097,0.1974745083550537,2.327038585277442,0.028515443188404738
EMT,FN1,CD44,TAM,971.0,0.9827935222672064,1.583268091918657,0.2137248785403858,502.0,0.8465430016863407,1.445896736385788,0.1819816097235407,2.289242166928941,0.03889399743474762
CAF,LGALS1,ITGB1,EMT,345.0,0.9942363112391932,1.788208516290015,0.1614900412687492,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.236175637083016,0.025361344139498733
ETC,TIMP1,CD63,EMT,357.0,0.7915742793791575,1.438384782997713,0.1365223641201377,955.0,0.9665991902834008,1.5528458020387268,0.1397830106889518,2.2335897719943842,0.01908350708308617
TAM,TIMP1,CD63,EMT,496.0,0.836424957841484,1.4362103180406158,0.136315977692703,955.0,0.9665991902834008,1.5528458020387268,0.1397830106889518,2.230213163214075,0.01905465776689402
Endo,FN1,CD44,EMT,50.0,0.9090909090909092,1.484343052152558,0.2003710174877128,930.0,0.9412955465587044,1.497820524807171,0.1885167753146101,2.223279489369023,0.03777329808329095
Endo,HLA-A,APLP2,EMT,55.0,1.0,1.6557050581179666,0.13753878214478601,844.0,0.8542510121457491,1.338679765379097,0.1974745083550537,2.2164588587383443,0.02716040338379445
DC,HLA-B,CANX,EMT,64.0,1.0,1.9370807483657968,0.1659833351668968,741.0,0.75,1.139109161334403,0.1743152611185877,2.206546426707981,0.02893342841095168
CAF,COL1A2,ITGB1,EMT,341.0,0.9827089337175792,1.7639467219065257,0.3070440418543003,789.0,0.7985829959514169,1.250511680663727,0.1570458706942354,2.205835979812602,0.04821999889448585
TIL,HLA-B,CANX,EMT,104.0,1.0,1.9285729284561368,0.1652543225406569,741.0,0.75,1.139109161334403,0.1743152611185877,2.196855091105903,0.02880635038464993
