Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Endo,PRND,RPSA,TIL,7.0,0.08433734939759037,0.1304993792541423,0.9770755491595792,68.0,0.9855072463768116,2.442419140795159,0.1893464600152523,0.3187341817522037,0.1850057964008249
Endo,PRND,RPSA,EMT,7.0,0.08433734939759037,0.1304993792541423,0.9770755491595792,1.0,1.0,2.4322278338764103,0.1885563876416114,0.3174042225255186,0.1842338360024739
Endo,PRND,RPSA,DC,7.0,0.08433734939759037,0.1304993792541423,0.9770755491595792,139.0,0.9928571428571428,1.911881356253669,0.148216970924137,0.2494993301986714,0.1448191782604705
Endo,COMP,CD47,EMT,5.0,0.060240963855421686,0.09226525465043324,0.07141794484994499,1.0,1.0,2.4322278338764103,0.3301865291988511,0.2244101204604786,0.0235812433325183
Endo,PRND,RPSA,TAM,7.0,0.08433734939759037,0.1304993792541423,0.9770755491595792,453.0,0.8467289719626169,1.5998166502639262,0.1240244208462574,0.2087750797798835,0.1211812291075557
Endo,PRND,RPSA,CAF,7.0,0.08433734939759037,0.1304993792541423,0.9770755491595792,1254.0,0.8918918918918919,1.5735731350555342,0.12198991472072501,0.2053503173357417,0.1191933629176826
DC,ZG16B,CXCR4,TIL,7.0,0.05,0.08634909519138162,0.0731453026677564,65.0,0.9420289855072465,2.320384533047703,0.3679872555105378,0.2003631049247457,0.0269165391821953
EMT,BSG,SLC16A7,Endo,1.0,1.0,2.4322278338764103,0.2688189390117122,5.0,0.060240963855421686,0.0807403905041565,0.2396317640319691,0.19637902510226,0.0644175565605789
Endo,PRND,RPSA,Endo,7.0,0.08433734939759037,0.1304993792541423,0.9770755491595792,75.0,0.9036144578313252,1.4750647941428818,0.1143531396389044,0.1924950399952853,0.1117316567108045
Endo,PRND,RPSA,ETC,7.0,0.08433734939759037,0.1304993792541423,0.9770755491595792,2912.0,0.9203539823008848,1.4642238695987808,0.1135127062131126,0.1910803060717391,0.1109104897597669
CAF,FN1,TNFRSF11B,Endo,1279.0,0.9096728307254623,1.6526678933078158,0.3423201711017919,6.0,0.07228915662650602,0.11514304485408,0.3267464416642716,0.1902932133680398,0.1118518978174151
EMT,GNAS,PTGDR,TIL,1.0,1.0,2.4322278338764103,0.2502991844983288,2.0,0.028985507246376812,0.07158725178267,0.7094191582822159,0.1741165063365286,0.1775670367855295
EMT,GNAI2,ADRA2B,TIL,1.0,1.0,2.4322278338764103,0.2918371217964751,2.0,0.028985507246376812,0.07143266785952622,0.3234422712953119,0.1737405230159886,0.09439246152213852
EMT,HLA-E,KLRK1,TIL,1.0,1.0,2.4322278338764103,0.2083584977323222,2.0,0.028985507246376812,0.07052591573410798,0.9937548246954636,0.1715350952581197,0.20705726238779396
Endo,COL8A1,ITGA1,Endo,11.0,0.1325301204819277,0.1906250799429195,0.1370486049252629,48.0,0.5783132530120482,0.8370716183038174,0.4308875400951044,0.1595668441571142,0.059052536249712365
Endo,VWF,TNFRSF11B,Endo,65.0,0.7831325301204819,1.335637237192457,0.9100943806698624,6.0,0.07228915662650602,0.11514304485408,0.3267464416642716,0.1537893383108306,0.2973701004625265
TAM,FN1,TNFRSF11B,Endo,371.0,0.6934579439252336,1.332433777594053,0.2759894837763688,6.0,0.07228915662650602,0.11514304485408,0.3267464416642716,0.1534204822186033,0.09017858176068773
EMT,LGALS1,PTPRC,Endo,1.0,1.0,2.4322278338764103,0.2152948534681668,4.0,0.04819277108433735,0.06278840333731711,0.014863339077623891,0.1527157022416812,0.0032000004087647128
TIL,ADAM23,ITGA5,Endo,3.0,0.043478260869565216,0.1271008525532104,0.5915861773765593,60.0,0.7228915662650602,1.1820968601403339,0.4809201196231258,0.1502455187243096,0.2845056951913226
Endo,COL8A1,ITGA2,ETC,11.0,0.1325301204819277,0.1906250799429195,0.1370486049252629,1614.0,0.5101137800252844,0.7540427480010996,0.5889439362402226,0.1437394591180883,0.08071394484091551
Endo,FGF18,FGFR1,CAF,9.0,0.108433734939759,0.1628177370725067,0.2787712611222291,719.0,0.5113798008534851,0.8817521003210391,0.4931429217296774,0.1435648816332015,0.1374740742040829
EMT,COL1A1,ITGA2,DC,1.0,1.0,2.4322278338764103,0.3483765734631925,5.0,0.03571428571428571,0.058757617204748785,0.045892547143243013,0.1429119120176454,0.01598788832126102
