Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
CAF (1406 cells),TAM (535 cells),152.34765000624247,14.404619253649821,163,0.9346481595474998,0.08837189726165534
CAF (1406 cells),Endo (83 cells),142.53658058801898,21.068439433747145,179,0.796293746301782,0.11770077895948125
CAF (1406 cells),CAF (1406 cells),133.0692409499381,15.991790292976312,140,0.9504945782138435,0.11422707352125937
Endo (83 cells),Endo (83 cells),124.94526513661322,28.75286084129993,198,0.6310366926091576,0.1452164688954542
TAM (535 cells),TAM (535 cells),120.35559959811275,10.045709211228878,125,0.962844796784902,0.08036567368983102
CAF (1406 cells),ETC (3164 cells),116.83647779530403,14.971195852866071,146,0.8002498479130413,0.10254243734839774
Endo (83 cells),TAM (535 cells),115.61832114711767,10.275327091316653,148,0.78120487261566,0.06942788575213954
Endo (83 cells),CAF (1406 cells),102.19850334794299,14.926851141640482,140,0.7299893096281642,0.10662036529743202
TAM (535 cells),Endo (83 cells),98.33224059399338,9.663611712473143,124,0.7930019402741402,0.07793235251994471
TAM (535 cells),CAF (1406 cells),92.6278902061662,7.693855680658549,102,0.9081165706486882,0.07542995765351519
CAF (1406 cells),DC (140 cells),90.22675659957088,6.085428379138619,94,0.9598591127613924,0.06473859977807041
Endo (83 cells),ETC (3164 cells),88.96339901445667,11.296884354129485,139,0.6400244533414149,0.08127254931028406
EMT (1 cells),TAM (535 cells),83.66064838147052,4.206181265213679,32,2.614395261920954,0.13144316453792748
TAM (535 cells),ETC (3164 cells),81.6503147798997,7.053920379418224,103,0.7927215027174729,0.06848466387784684
ETC (3164 cells),TAM (535 cells),78.20421120667396,6.021339158277042,106,0.7377755774214525,0.05680508639884002
ETC (3164 cells),Endo (83 cells),77.83122940237502,11.857644473844628,141,0.5519945347686172,0.08409676931804701
DC (140 cells),TAM (535 cells),74.01324603750955,5.624451415388628,95,0.7790868003948374,0.059204751740932926
TAM (535 cells),DC (140 cells),69.79351698269953,3.9680915290734675,70,0.9970502426099933,0.05668702184390668
ETC (3164 cells),ETC (3164 cells),69.02702263970046,10.873713203188283,122,0.5657952675385284,0.08912879674744494
CAF (1406 cells),TIL (69 cells),66.5805210419235,3.3959988687871294,58,1.1479400179641983,0.058551704634260855
Endo (83 cells),DC (140 cells),66.39813447814957,3.883025947039717,82,0.809733347294507,0.04735397496389899
ETC (3164 cells),CAF (1406 cells),63.97799569938101,7.770577222108486,99,0.6462423808018284,0.07849067901119683
DC (140 cells),Endo (83 cells),56.09426784706141,4.9973077863802,86,0.6522589284542024,0.058108230074188374
TAM (535 cells),TIL (69 cells),54.750416143540164,2.903687655861045,44,1.2443276396259129,0.0659929012695692
EMT (1 cells),DC (140 cells),54.48882774633163,1.9329476999530588,23,2.36907946723181,0.08404120434578517
EMT (1 cells),Endo (83 cells),53.925723938126225,3.16195258959166,29,1.8595077220043525,0.10903284791695379
DC (140 cells),CAF (1406 cells),49.65181563743762,3.6089992534189403,69,0.7195915309773568,0.0523043370060716
ETC (3164 cells),DC (140 cells),48.551254966780746,3.431978562516592,69,0.7036413763301558,0.04973881974661727
Endo (83 cells),TIL (69 cells),48.315120265482435,2.0097724618386774,52,0.9291369281823545,0.03864947041997457
TIL (69 cells),TAM (535 cells),44.71962933484179,3.60460481117311,37,1.2086386306713996,0.0974217516533273
DC (140 cells),ETC (3164 cells),44.33866461364493,3.5941704690122562,75,0.591182194848599,0.04792227292016342
EMT (1 cells),ETC (3164 cells),44.08123954149387,2.610654737954457,22,2.0036927064315395,0.11866612445247532
EMT (1 cells),CAF (1406 cells),43.96851632841622,1.9138611684535438,20,2.1984258164208113,0.0956930584226772
DC (140 cells),DC (140 cells),43.4369084464541,2.278550633575945,55,0.7897619717537109,0.04142819333774446
EMT (1 cells),TIL (69 cells),41.85545034284254,0.9045171761567079,13,3.219650026372503,0.06957824431974677
ETC (3164 cells),TIL (69 cells),39.05647717907137,2.3889484981951794,41,0.9525970043675944,0.05826703654134584
DC (140 cells),TIL (69 cells),34.166740091729,1.7409314399502396,31,1.1021529061848063,0.05615907870807225
TIL (69 cells),Endo (83 cells),28.261795573355727,1.708741036968085,30,0.9420598524451909,0.05695803456560284
TIL (69 cells),DC (140 cells),26.62005555679914,1.559695898124431,23,1.1573937198608322,0.06781286513584484
TIL (69 cells),ETC (3164 cells),25.773404151084215,1.9473876199270732,27,0.9545705241142302,0.07212546740470642
TIL (69 cells),CAF (1406 cells),21.72895639394351,1.2516172925811875,22,0.9876798360883413,0.0568916951173267
TIL (69 cells),TIL (69 cells),19.174040083348142,1.2042466755253325,11,1.7430945530316493,0.10947697050230296
CAF (1406 cells),EMT (1 cells),19.101649238055387,1.2928707354095603,10,1.9101649238055387,0.12928707354095603
Endo (83 cells),EMT (1 cells),15.589195217339158,1.0530032801320777,9,1.7321328019265732,0.11700036445911974
TAM (535 cells),EMT (1 cells),14.041629970656983,1.064419905472017,8,1.7552037463321228,0.13305248818400212
ETC (3164 cells),EMT (1 cells),11.910269650259579,0.7898636702111428,8,1.4887837062824474,0.09873295877639285
EMT (1 cells),EMT (1 cells),11.83146447176627,0.3097543752436649,2,5.915732235883135,0.15487718762183245
DC (140 cells),EMT (1 cells),6.91108660506363,0.42625713894800965,4,1.7277716512659076,0.10656428473700241
TIL (69 cells),EMT (1 cells),1.5481910074045533,0.03773610362639323,1,1.5481910074045533,0.03773610362639323
