pair,pval,median_day_high,median_day_low,diff_day
LRPAP1->SORT1,3.7439184030763073e-7,413,336.5,76.5
SHH->BOC,1.6453019706652583e-6,383,355,28
SEMA4B->DCBLD2,2.100585616005013e-6,330,450,-120
IL26->IL20RB,5.97719150385867e-6,334,412.5,-78.5
IL19->IL20RB,7.1041147507999725e-6,332,420,-88
IL20->IL20RB,7.823293686759492e-6,334,412.5,-78.5
NGF->SORT1,9.143361596186672e-6,444,314.5,129.5
IHH->BOC,1.2975678160720427e-5,361,361.5,-0.5
BDNF->SORT1,1.5341798476953272e-5,444,314.5,129.5
PTGS2->CAV1,1.7799350090830224e-5,294,478,-184
SHH->SMO,2.3525596383744407e-5,392,349.5,42.5
NTS->SORT1,3.688892635744789e-5,444,321.5,122.5
DSC3->DSG3,3.754785049037146e-5,329,406,-77
SEMA6A->PLXNA4,4.663591342557449e-5,400,339,61
AGT->LRP2,4.725794262361305e-5,369,361,8
IL31->IL31RA,4.971784175056282e-5,383,341,42
FGB->ITGA2B,6.58085437579281e-5,287,476,-189
RSPO2->LGR5,7.295652131289465e-5,481,279.5,201.5
RSPO4->LGR5,8.152143817041768e-5,476,279.5,196.5
RSPO1->LGR5,8.940781712085677e-5,476,294,182
TGM2->ITGB3,9.278163401871264e-5,300,464,-164
EREG->ERBB4,1.485337209025106e-4,341,428.5,-87.5
APOE->LRP5,1.5895285475775456e-4,460,304,156
GZMB->CHRM3,1.749284121129735e-4,437,323.5,113.5
IL24->IL20RB,1.8439457685670568e-4,334,412.5,-78.5
AGT->MAS1,2.0214693155318209e-4,389,356,33
NRTN->GFRA1,2.082700012012717e-4,347,377,-30
WNT5A->RYK,2.14365409579087e-4,351,398.5,-47.5
TGM2->ITGB1,2.488987796400721e-4,337,440.5,-103.5
RSPO3->LGR5,2.5786584398690415e-4,465,328.5,136.5
CORT->SSTR1,2.663490768683996e-4,412,345.5,66.5
WNT1->ROR2,2.710300664247045e-4,361,365.5,-4.5
FGF7->FGFR2,2.8326222938612755e-4,423,346.5,76.5
DKK1->LRP4,2.986758124432498e-4,347,406,-59
