category,celltype_pair,lr_pair,delta_edge_specificity_weight,pval,sig
All_edges_mean,TIL->CAF,XCL2->XCR1,0.8750791228928796,3.328182937689661e-5,TRUE
Appeared_mean,TIL->DC,XCL2->XCR1,0.8984618713255782,3.328182937689661e-5,TRUE
Disappeared_mean,TIL->CAF,XCL2->XCR1,0.8750791228928796,3.328182937689661e-5,TRUE
All_edges_mean,Endo->ETC,NODAL->TDGF1,1,2.4778698168448354e-4,TRUE
Appeared_mean,TAM->ETC,NODAL->TDGF1,1,2.4778698168448354e-4,TRUE
Disappeared_mean,Endo->ETC,NODAL->TDGF1,1,2.4778698168448354e-4,TRUE
Appeared_mean,Endo->EMT,CORT->SSTR5,0.9400011460179576,3.7843318299080053e-4,TRUE
DOWN-regulated_mean,ETC->TAM,EDN3->KEL,0.6656553270975945,8.332982754992724e-4,TRUE
DOWN-regulated_mean,CAF->CAF,NLGN1->NRXN1,0.6662977619106015,0.0011780848370578356,TRUE
DOWN-regulated_mean,EMT->ETC,RSPO3->LGR5,0.5257698099573406,0.001357393860512257,TRUE
Appeared_mean,ETC->TIL,CCL15->CCR3,0.979463058538692,0.0016335816155860217,TRUE
DOWN-regulated_mean,TIL->TAM,TNFSF8->TNFRSF8,0.5409441047253258,0.0019441052507201961,TRUE
Appeared_mean,TIL->DC,XCL1->XCR1,0.980174074427114,0.0019741803434601968,TRUE
DOWN-regulated_mean,ETC->CAF,EDN3->EDNRA,0.5366155831765546,0.0035621327085981758,TRUE
DOWN-regulated_mean,Endo->CAF,NXPH3->NRXN1,0.5731916802526338,0.003923971698517437,TRUE
DOWN-regulated_mean,EMT->DC,IL33->IL1RL1,0.6026855084210694,0.0041416658866062495,TRUE
DOWN-regulated_mean,Endo->ETC,GDF3->TDGF1,0.5406917001935013,0.0042687954311749765,TRUE
UP-regulated_mean,ETC->Endo,F2->F2RL3,0.6996591029830859,0.0057477849038334305,TRUE
UP-regulated_mean,CAF->ETC,TAC1->TACR1,0.5505431419347598,0.007926440405825352,TRUE
UP-regulated_mean,CAF->ETC,TAC3->TACR1,0.8489394848042555,0.010091961208263056,TRUE
UP-regulated_mean,ETC->CAF,NRG2->ERBB4,0.5938860995590376,0.01547403574391748,TRUE
Appeared_mean,Endo->ETC,CORT->SSTR1,0.9400011460179576,0.017024509938966426,TRUE
UP-regulated_mean,ETC->CAF,EFNA2->EPHA7,0.47967915500693215,0.019220251571191227,TRUE
Appeared_mean,CAF->TAM,WNT2->FZD9,0.9697766693720994,0.019394053587760363,TRUE
All_edges_mean,TAM->ETC,GHRH->GHRHR,1,0.02217569702795108,TRUE
Disappeared_mean,TAM->ETC,GHRH->GHRHR,1,0.02217569702795108,TRUE
DOWN-regulated_mean,CAF->CAF,NLGN4X->NRXN1,0.8218959539207598,0.026000883747551162,TRUE
All_edges_mean,CAF->Endo,LGI1->ADAM11,0.8587360783618329,0.03640123905349024,TRUE
Disappeared_mean,CAF->Endo,LGI1->ADAM11,0.8587360783618329,0.03640123905349024,TRUE
UP-regulated_mean,CAF->TAM,NTF3->NTRK3,0.5138893131560256,0.047602566260746326,TRUE
Appeared_mean,EMT->Endo,NPPA->NPR1,0.9832241995371436,0.04932685148049032,TRUE
UP-regulated_mean,TAM->ETC,TNFSF13->TNFRSF11B,0.6209274186605808,0.050436023749169,FALSE
All_edges_mean,ETC->CAF,RPH3A->NRXN1,0.9366256798859524,0.08180107154842564,FALSE
Disappeared_mean,ETC->CAF,RPH3A->NRXN1,0.9366256798859524,0.08180107154842564,FALSE
UP-regulated_mean,TAM->DC,TNFSF13->TNFRSF17,0.6786615479874095,0.08943879646156849,FALSE
