"","lr_pair","pval_US","median_day_low_US","median_day_high_US","diff_day_US","pval_CA","median_day_high_CA","median_day_low_CA","diff_day_CA","pval_AU","median_day_high_AU","median_day_low_AU","diff_day_AU"
"1","IL20->IL20RB",0.001692796,164,194,30,0.010918922,444,629.5,-185.5,0.005292856,332,546,-214
"2","IL26->IL20RB",0.001692796,164,194,30,0.010918922,444,629.5,-185.5,0.005292856,332,546,-214
"3","IL19->IL20RB",0.002204964,165.5,194,28.5,0.006476142,456,629.5,-173.5,0.03927942,337.5,499,-161.5
"4","IL24->IL20RB",0.002342005,173,188,15,0.004345924,444,629.5,-185.5,0.01150941,332,519.5,-187.5
"5","GDF3->TDGF1",0.003437376,185.5,181,-4.5,0.011097935,628,450.5,177.5,0.025887635,455,345.5,109.5
"6","WNT3A->FZD8",0.003636483,174,188,14,0.017716616,608,413,195,0.016575286,427,385.5,41.5
"7","SEMA4B->DCBLD2",0.005879323,231,181,-50,0.000583,383,643,-260,0.000727,332,547.5,-215.5
"8","NTN1->NEO1",0.005921319,159,248,89,0.036292226,631,440.5,190.5,0.016675685,429,360,69
"9","APOE->LRP1",0.007229722,159.5,219,59.5,0.005831521,631,456,175,0.014977891,429,349.5,79.5
"10","DSC3->DSG4",0.008501736,247.5,164,-83.5,0.01258146,456,642,-186,0.029281705,388,446,-58
"11","WNT9B->FZD8",0.011161503,187.5,183,-4.5,0.00484506,633,413,220,0.006778597,465,355,110
"12","RSPO4->LGR5",0.011798207,181,194,13,0.000784,730,416.5,313.5,0.017933549,499,373.5,125.5
"13","FGF9->FGFR4",0.012787257,181,216,35,0.00272344,633,381,252,0.048054026,414,373.5,40.5
"14","NRTN->GFRA1",0.013276225,181,194,13,0.022113958,608.5,437,171.5,0.048133863,423,400,23
"15","WNT3->FZD8",0.013865624,174,188,14,0.005137591,627,384,243,0.034175503,423,412.5,10.5
"16","DSC3->DSG1",0.014697813,249,160,-89,0.017497184,456,642,-186,0.029281705,388,446,-58
"17","DSG1->DSC3",0.014697813,249,160,-89,0.017497184,456,642,-186,0.029281705,388,446,-58
"18","NGF->SORT1",0.017591908,172.5,202,29.5,0.014698003,633,381,252,0.013795647,427,373.5,53.5
"19","DKK1->KREMEN1",0.017739409,195.5,181,-14.5,0.019839771,456,617.5,-161.5,0.002165475,343,547.5,-204.5
"20","SEMA6A->PLXNA4",0.018521952,194,181,-13,0.020386742,627,440.5,186.5,0.036839766,400,418.5,-18.5
"21","RSPO3->FZD8",0.022505374,199.5,179,-20.5,0.03066919,597.5,444,153.5,0.01759384,455,380.5,74.5
"22","WNT1->FZD8",0.024634322,174,188,14,0.017716616,608,413,195,0.016575286,427,385.5,41.5
"23","WNT8A->FZD8",0.024634322,174,188,14,0.011391209,608,437,171,0.016575286,427,385.5,41.5
"24","FGA->ITGA2B",0.025122764,226,179,-47,0.044695196,455,630.5,-175.5,0.000556,337,546,-209
"25","AREG->EGFR",0.026291567,199.5,181,-18.5,0.023747644,455,616.5,-161.5,0.013517468,332,460,-128
"26","BDNF->SORT1",0.028518474,172.5,202,29.5,0.014043376,633,381,252,0.013795647,427,373.5,53.5
"27","IHH->BOC",0.032494016,182,194,12,0.029899636,579,459.5,119.5,0.007457954,455,400,55
"28","NTS->SORT1",0.034039891,164,216,52,0.039763479,633,413,220,0.013795647,427,373.5,53.5
