"","cell_type_pair","P01_amount","P02_amount","P03_amount","P04_amount","P05_amount","P06_amount","P07_amount","P08_amount","P09_amount","P10_amount"
"1","CAF->CAF",479,86,827,532,1285,1321,1123,1142,1171,950
"2","CAF->DC",252,143,111,NA,587,908,811,795,597,643
"3","CAF->EMT",679,5,1022,226,NA,NA,NA,NA,NA,NA
"4","CAF->Endo",349,NA,809,NA,708,1014,635,856,879,NA
"5","CAF->ETC",476,193,503,636,1009,1288,1143,1278,1263,1130
"6","CAF->TAM",120,153,600,NA,869,841,1175,866,1102,803
"7","CAF->TIL",165,109,198,NA,336,162,834,240,132,98
"8","DC->CAF",269,80,122,NA,567,775,755,700,558,516
"9","DC->DC",167,193,25,NA,292,587,596,552,305,408
"10","DC->EMT",397,8,173,NA,NA,NA,NA,NA,NA,NA
"11","DC->Endo",207,NA,120,NA,337,585,449,530,422,NA
"12","DC->ETC",281,263,82,NA,439,760,787,798,608,636
"13","DC->TAM",91,196,114,NA,424,534,821,591,541,482
"14","DC->TIL",107,144,27,NA,184,121,605,195,78,66
"15","EMT->CAF",633,16,1016,242,NA,NA,NA,NA,NA,NA
"16","EMT->DC",355,43,137,NA,NA,NA,NA,NA,NA,NA
"17","EMT->EMT",953,2,1276,117,NA,NA,NA,NA,NA,NA
"18","EMT->Endo",478,NA,992,NA,NA,NA,NA,NA,NA,NA
"19","EMT->ETC",660,56,614,280,NA,NA,NA,NA,NA,NA
"20","EMT->TAM",173,45,725,NA,NA,NA,NA,NA,NA,NA
"21","EMT->TIL",230,40,211,NA,NA,NA,NA,NA,NA,NA
"22","Endo->CAF",322,NA,730,NA,721,994,646,738,792,NA
"23","Endo->DC",172,NA,103,NA,375,695,493,542,418,NA
"24","Endo->EMT",442,NA,893,NA,NA,NA,NA,NA,NA,NA
"25","Endo->Endo",254,NA,717,NA,437,768,408,588,615,NA
"26","Endo->ETC",315,NA,434,NA,566,966,675,815,850,NA
"27","Endo->TAM",90,NA,545,NA,534,661,698,602,759,NA
"28","Endo->TIL",102,NA,178,NA,211,123,509,167,99,NA
"29","ETC->CAF",486,165,515,587,1036,1253,1158,1227,1201,1102
"30","ETC->DC",279,332,85,NA,493,878,863,873,616,745
"31","ETC->EMT",706,13,657,250,NA,NA,NA,NA,NA,NA
"32","ETC->Endo",363,NA,515,NA,596,964,670,918,899,NA
"33","ETC->ETC",497,544,327,705,822,1241,1188,1404,1297,1324
"34","ETC->TAM",135,362,409,NA,721,814,1223,945,1131,929
"35","ETC->TIL",170,297,129,NA,287,160,886,268,135,104
"36","TAM->CAF",158,109,500,NA,828,782,1131,762,1004,694
"37","TAM->DC",94,242,87,NA,424,606,853,632,532,514
"38","TAM->EMT",218,9,648,NA,NA,NA,NA,NA,NA,NA
"39","TAM->Endo",112,NA,496,NA,476,588,648,577,766,NA
"40","TAM->ETC",140,335,307,NA,663,765,1166,888,1097,849
"41","TAM->TAM",73,255,429,NA,625,559,1201,661,970,623
"42","TAM->TIL",69,207,131,NA,254,119,871,206,121,81
"43","TIL->CAF",154,64,163,NA,395,200,812,221,197,101
"44","TIL->DC",108,175,28,NA,204,165,639,202,124,90
"45","TIL->EMT",223,8,208,NA,NA,NA,NA,NA,NA,NA
"46","TIL->Endo",113,NA,163,NA,225,153,478,171,153,NA
"47","TIL->ETC",140,235,107,NA,306,205,839,271,218,138
"48","TIL->TAM",58,179,147,NA,309,153,878,217,201,106
"49","TIL->TIL",69,164,55,NA,133,36,649,79,45,13
