LR,cell_type_pair,mean_edge_average_ew,Grade
ADAM17->ITGB1,CAF->CAF,0.7221547241204879,2
ADAM17->ITGB1,CAF->DC,0.41718399330804323,2
ADAM17->ITGB1,CAF->Endo,0.5834170654100534,2
ADAM17->ITGB1,CAF->ETC,0.424446527930594,2
ADAM17->ITGB1,CAF->TAM,0.5230886722774487,2
ADAM17->ITGB1,CAF->TIL,0.4812700589929729,2
ADAM17->ITGB1,DC->CAF,0.8166431946237143,2
ADAM17->ITGB1,DC->ETC,0.4694007234633074,2
ADAM17->ITGB1,DC->TAM,0.5802163266289054,2
ADAM17->ITGB1,DC->TIL,0.449723099076556,2
ADAM17->ITGB1,Endo->CAF,1.0764189936134647,2
ADAM17->ITGB1,Endo->ETC,0.7091904483878546,2
ADAM17->ITGB1,Endo->TAM,0.8257765894135709,2
ADAM17->ITGB1,Endo->TIL,0.5902697245730272,2
ADAM17->ITGB1,ETC->CAF,0.5822011643777395,2
ADAM17->ITGB1,ETC->DC,0.3535866012876075,2
ADAM17->ITGB1,ETC->Endo,0.5243253166876292,2
ADAM17->ITGB1,ETC->ETC,0.3647551771266798,2
ADAM17->ITGB1,ETC->TAM,0.4352368045925098,2
ADAM17->ITGB1,ETC->TIL,0.3945569954602249,2
ADAM17->ITGB1,TAM->CAF,1.206100717408035,2
ADAM17->ITGB1,TAM->DC,0.6864369847767247,2
ADAM17->ITGB1,TAM->Endo,0.9629149226520604,2
ADAM17->ITGB1,TAM->ETC,0.7142288762170793,2
ADAM17->ITGB1,TAM->TAM,0.8733396760973331,2
ADAM17->ITGB1,TAM->TIL,0.7699112078561899,2
ADAM17->ITGB1,TIL->CAF,1.571708344649458,2
ADAM17->ITGB1,TIL->DC,0.9045854527027123,2
ADAM17->ITGB1,TIL->Endo,0.8361305638017695,2
ADAM17->ITGB1,TIL->ETC,1.0274065178241196,2
ADAM17->ITGB1,TIL->TAM,1.2379513807164901,2
ADAM17->ITGB1,TIL->TIL,2.302716966544997,2
ADAM9->ITGA3,CAF->CAF,0.06139628528549737,2
ADAM9->ITGA3,CAF->DC,0.07566478470302684,2
ADAM9->ITGA3,CAF->Endo,0.09865090615324931,2
ADAM9->ITGA3,CAF->ETC,0.4209060341319006,2
ADAM9->ITGA3,CAF->TAM,0.027633036242373003,2
ADAM9->ITGA3,DC->CAF,0.04139493104053715,2
ADAM9->ITGA3,DC->ETC,0.19045321674999272,2
ADAM9->ITGA3,DC->TAM,0.016810374609280355,2
ADAM9->ITGA3,Endo->CAF,0.03480569602524773,2
ADAM9->ITGA3,Endo->ETC,0.17002434887087042,2
ADAM9->ITGA3,Endo->TAM,0.012568005131722265,2
ADAM9->ITGA3,ETC->CAF,0.11868348787838065,2
ADAM9->ITGA3,ETC->DC,0.11165363619817852,2
ADAM9->ITGA3,ETC->Endo,0.1837269040277399,2
ADAM9->ITGA3,ETC->ETC,0.6114057917287516,2
ADAM9->ITGA3,ETC->TAM,0.05062687772542869,2
ADAM9->ITGA3,TAM->CAF,0.11048753899755386,2
ADAM9->ITGA3,TAM->DC,0.09905505420520148,2
ADAM9->ITGA3,TAM->Endo,0.15809683511655329,2
