cell_type_pair,mean_NormHRL,mean_NormHRH
CAF->CAF,0.03745304336127876,0.05305491562645039
CAF->DC,0.036431428584022145,0.03511036588277092
CAF->EMT,0.040989035846894284,0.025852109355514328
CAF->Endo,0.03638756831426447,0.05053408005151255
CAF->ETC,0.03753701617359367,0.049776599964274706
CAF->TAM,0.03569909547096254,0.046635346059095986
CAF->TIL,0.03950966422805465,0.035493855539723604
DC->CAF,0.04619564754022305,0.03417908567698552
DC->DC,0.04562779211586156,0.02662114833602896
DC->EMT,0.03354154229942294,0.03378906344792106
DC->Endo,0.04498225091871327,0.036751741941213195
DC->ETC,0.04454162727444713,0.03768452148352928
DC->TAM,0.043108676324275445,0.04274509664153047
DC->TIL,0.0362119965456767,0.03382466583878303
EMT->CAF,0.04067505783458553,0.032509809879626546
EMT->DC,0.02082862136321579,0.014427195778074775
EMT->EMT,0.05162011599260577,0.02577860049275181
EMT->Endo,0.04007372789850182,0.04763421176946957
EMT->ETC,0.038592209907356484,0.03452848047717755
EMT->TAM,0.02333931300245831,0.03352069629924922
EMT->TIL,0.04582732330517206,0.022652654715296382
Endo->CAF,0.03607765431503715,0.044165142485626474
Endo->DC,0.037982030675204656,0.026142830676620592
Endo->EMT,0.0422098980000304,0.03878203016929056
Endo->Endo,0.04079855530326632,0.04192891694622113
Endo->ETC,0.038123270071328076,0.04021335959080017
Endo->TAM,0.036584954282277725,0.041289276267404675
Endo->TIL,0.04077559325459488,0.033480811815567973
ETC->CAF,0.04417561703205395,0.048664741424578356
ETC->DC,0.0388545379785372,0.033777199785730065
ETC->EMT,0.06732316707313797,0.0250746676670073
ETC->Endo,0.04258946412370839,0.04778335167581564
ETC->ETC,0.04232283432530152,0.04985062436077377
ETC->TAM,0.03740387041860169,0.044068467847136125
ETC->TIL,0.045923442593065696,0.035565823352856914
TAM->CAF,0.04493126482093759,0.0377055023428538
TAM->DC,0.03731924679460481,0.029677151916118853
TAM->EMT,0.06980311096009363,0.026649865971986257
TAM->Endo,0.04259986379567218,0.04072903181475379
TAM->ETC,0.04191013622624322,0.04129870269366501
TAM->TAM,0.03867630181228181,0.04439802392371693
TAM->TIL,0.04086862421899587,0.03931008932040071
TIL->CAF,0.05051858073236068,0.03395407094920804
TIL->DC,0.046945474693946686,0.028798312826612146
TIL->EMT,0.049665114407266876,0.030973324134759114
TIL->Endo,0.04943089229518001,0.04411281954453116
TIL->ETC,0.04908027109581749,0.038640623676398346
TIL->TAM,0.046590369479066404,0.043589308736349607
TIL->TIL,0.05160146111765176,0.031591999948779516
