Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
CAF,A2M,LRP1,CAF,29,0.8285714285714286,1.513034066966287,52.95619234382005,0.3431140364385554,0.2445461917361313,12,0.3428571428571429,0.6350885480849188,22.22809918297216,0.1834376307918558,0.06361976049312316,0.9609106087926391,0.0629400259357191,1177.115495770983,0.01555797014775805
CAF,A2M,LRP1,EMT,29,0.8285714285714286,1.513034066966287,52.95619234382005,0.3431140364385554,0.2445461917361313,192,0.6421404682274248,1.030186973453554,308.0259050626128,0.2975570229581344,0.8816108900923408,1.558707986180121,0.1020959912178054,16311.87907537498,0.215594585765183
CAF,A2M,LRP1,ETC,29,0.8285714285714286,1.513034066966287,52.95619234382005,0.3431140364385554,0.2445461917361313,7,0.1842105263157895,0.3322065526400997,12.62384900032379,0.09595383688398922,0.03613112589119572,0.5026398314139,0.03292310828503228,668.5109757804871,0.008835729239830647
CAF,A2M,LRP1,Endo,29,0.8285714285714286,1.513034066966287,52.95619234382005,0.3431140364385554,0.2445461917361313,2,0.1538461538461539,0.3256973583554924,4.2340656586214,0.09407373499657083,0.01211845605403823,0.4927911987127869,0.0322780189375244,224.219995414318,0.002963522277736715
CAF,A2M,LRP1,TAM,29,0.8285714285714286,1.513034066966287,52.95619234382005,0.3431140364385554,0.2445461917361313,1,0.5,1.138970320182405,2.27794064036481,0.3289777743694498,0.006519767469302026,1.723300895699479,0.1128768920624742,120.6310626989635,0.001594384305622925
DC,A2M,LRP1,CAF,2,0.1333333333333333,0.2577832477796206,3.86674871669431,0.05845806951938029,0.01785624364623558,12,0.3428571428571429,0.6350885480849188,22.22809918297216,0.1834376307918558,0.06361976049312316,0.1637151885529741,0.01072340977330072,85.95047399031142,0.00113600994408036
DC,A2M,LRP1,EMT,2,0.1333333333333333,0.2577832477796206,3.86674871669431,0.05845806951938029,0.01785624364623558,192,0.6421404682274248,1.030186973453554,308.0259050626128,0.2975570229581344,0.8816108900923408,0.2655649438371149,0.01739460913406645,1191.058773109461,0.01574225885466346
DC,A2M,LRP1,ETC,2,0.1333333333333333,0.2577832477796206,3.86674871669431,0.05845806951938029,0.01785624364623558,7,0.1842105263157895,0.3322065526400997,12.62384900032379,0.09595383688398922,0.03613112589119572,0.0856372840732364,0.005609276067215519,48.81325192174476,0.0006451661871260016
DC,A2M,LRP1,Endo,2,0.1333333333333333,0.2577832477796206,3.86674871669431,0.05845806951938029,0.01785624364623558,2,0.1538461538461539,0.3256973583554924,4.2340656586214,0.09407373499657083,0.01211845605403823,0.08395932283012178,0.005499368940377296,16.37206795187375,0.0002163901039171053
DC,A2M,LRP1,TAM,2,0.1333333333333333,0.2577832477796206,3.86674871669431,0.05845806951938029,0.01785624364623558,1,0.5,1.138970320182405,2.27794064036481,0.3289777743694498,0.006519767469302026,0.2936074682612148,0.0192314056044203,8.808224047836443,0.0001164185564486577
