cell,cluster
cell_4983,TAM
cell_4984,ETC
cell_4985,TAM
cell_4986,ETC
cell_4987,ETC
cell_4988,TAM
cell_4989,ETC
cell_4990,TAM
cell_4991,ETC
cell_4992,CAF
cell_4993,TAM
cell_4994,ETC
cell_4995,TAM
cell_4996,TAM
cell_4997,ETC
cell_4998,ETC
cell_4999,TAM
cell_5000,CAF
cell_5001,CAF
cell_5002,TAM
cell_5003,CAF
cell_5004,ETC
cell_5005,TAM
cell_5006,CAF
cell_5007,TAM
cell_5008,TAM
cell_5009,ETC
cell_5010,TAM
cell_5011,ETC
cell_5012,ETC
cell_5013,ETC
cell_5014,TAM
cell_5015,CAF
cell_5016,ETC
cell_5017,ETC
cell_5018,ETC
cell_5019,ETC
cell_5020,ETC
cell_5021,TAM
cell_5022,CAF
cell_5023,CAF
cell_5024,TAM
cell_5025,CAF
cell_5026,CAF
cell_5027,CAF
cell_5028,ETC
cell_5029,TAM
cell_5030,TAM
cell_5031,CAF
cell_5032,ETC
cell_5033,CAF
cell_5034,CAF
cell_5035,ETC
cell_5036,CAF
cell_5037,DC
cell_5038,ETC
cell_5039,ETC
cell_5040,TAM
cell_5041,TAM
cell_5042,TAM
cell_5043,ETC
cell_5044,CAF
cell_5045,TAM
cell_5046,CAF
cell_5047,TAM
cell_5048,TAM
cell_5049,ETC
cell_5050,ETC
cell_5051,TAM
cell_5052,TAM
cell_5053,TAM
cell_5054,CAF
cell_5055,TAM
cell_5056,TAM
cell_5057,CAF
cell_5058,CAF
cell_5059,CAF
cell_5060,ETC
cell_5061,ETC
cell_5062,CAF
cell_5063,ETC
cell_5064,ETC
cell_5065,ETC
cell_5066,ETC
cell_5067,ETC
cell_5068,TAM
cell_5069,TAM
cell_5070,DC
cell_5071,TAM
cell_5072,TAM
cell_5073,TAM
cell_5074,ETC
cell_5075,Endo
cell_5076,CAF
cell_5077,CAF
cell_5078,CAF
cell_5079,ETC
cell_5080,CAF
cell_5081,CAF
cell_5082,ETC
cell_5083,ETC
cell_5084,CAF
cell_5085,ETC
cell_5086,ETC
cell_5087,TAM
cell_5088,TAM
cell_5089,ETC
cell_5090,ETC
cell_5091,ETC
cell_5092,TAM
cell_5093,TAM
cell_5094,CAF
cell_5095,ETC
cell_5096,CAF
cell_5097,Endo
cell_5098,TAM
cell_5099,TAM
cell_5100,TAM
cell_5101,TAM
cell_5102,ETC
cell_5103,ETC
cell_5104,CAF
cell_5105,TAM
cell_5106,TAM
cell_5107,ETC
cell_5108,CAF
cell_5109,TAM
cell_5110,CAF
cell_5111,ETC
cell_5112,ETC
cell_5113,CAF
cell_5114,ETC
cell_5115,CAF
cell_5116,CAF
