LR,cell_type_pair,Edge_average_expression_weight,Patient
SEMA4B->DCBLD2,CAF->CAF,0.01410557769359507,P01
SEMA4B->DCBLD2,CAF->EMT,0.07191427531094295,P01
SEMA4B->DCBLD2,CAF->ETC,0.02272482696675919,P01
SEMA4B->DCBLD2,CAF->Endo,0.02643211300459385,P01
SEMA4B->DCBLD2,CAF->TIL,0.03727413203788967,P01
SEMA4B->DCBLD2,EMT->CAF,0.0468602783781467,P01
SEMA4B->DCBLD2,EMT->EMT,0.2389071212562711,P01
SEMA4B->DCBLD2,EMT->ETC,0.07549437115511316,P01
SEMA4B->DCBLD2,EMT->Endo,0.08781038256095809,P01
SEMA4B->DCBLD2,EMT->TIL,0.1238287606180371,P01
SEMA4B->DCBLD2,ETC->CAF,0.09384295019961315,P01
SEMA4B->DCBLD2,ETC->EMT,0.4784382393434659,P01
SEMA4B->DCBLD2,ETC->ETC,0.1511859245796608,P01
SEMA4B->DCBLD2,ETC->Endo,0.1758501153403279,P01
SEMA4B->DCBLD2,ETC->TIL,0.2479809471506997,P01
IL20->IL20RB,EMT->EMT,3.250900630645729e-4,P01
IL26->IL20RB,CAF->EMT,0.0039729983768466,P01
IL26->IL20RB,EMT->EMT,0.001109752020279417,P01
IL26->IL20RB,TIL->EMT,0.02455998640629278,P01
IL24->IL20RB,CAF->EMT,0.008695960864296842,P01
IL24->IL20RB,EMT->EMT,0.001032234211763604,P01
DKK1->KREMEN1,CAF->CAF,0.007614654207652038,P01
DKK1->KREMEN1,CAF->EMT,0.001629137851867126,P01
DKK1->KREMEN1,EMT->CAF,0.1036155503494413,P01
DKK1->KREMEN1,EMT->EMT,0.02216831001290723,P01
DKK1->KREMEN1,ETC->CAF,0.07411061492867928,P01
DKK1->KREMEN1,ETC->EMT,0.01585579656186241,P01
IL19->IL20RB,CAF->EMT,0.003477709124734255,P01
DSC3->DSG4,NA,NA,NA
DSC3->DSG1,NA,NA,NA
DSG1->DSC3,NA,NA,NA
AREG->EGFR,DC->EMT,0.06346039724409745,P01
AREG->EGFR,DC->ETC,0.0534393005086289,P01
AREG->EGFR,EMT->EMT,0.02038262180647485,P01
AREG->EGFR,EMT->ETC,0.01716398098928152,P01
AREG->EGFR,ETC->EMT,0.0134068961864373,P01
AREG->EGFR,ETC->ETC,0.01128979939156703,P01
FGA->ITGA2B,EMT->DC,0.004361543044163001,P01
FGA->ITGA2B,ETC->DC,0.1102864039499206,P01
RELN->ITGA3,NA,NA,NA
TGM2->ITGB3,CAF->CAF,0.04116913391493167,P01
TGM2->ITGB3,CAF->DC,0.079171600885398985,P01
TGM2->ITGB3,CAF->EMT,0.01449826704678333,P01
TGM2->ITGB3,DC->CAF,0.02272712923495495,P01
TGM2->ITGB3,DC->DC,0.04370612237747686,P01
TGM2->ITGB3,DC->EMT,0.00800366579330991,P01
TGM2->ITGB3,EMT->CAF,0.07033540937407882,P01
TGM2->ITGB3,EMT->DC,0.1352607264117366,P01
TGM2->ITGB3,EMT->EMT,0.02476956522955592,P01
TGM2->ITGB3,ETC->CAF,0.0685109830037629,P01
TGM2->ITGB3,ETC->DC,0.1317522057628953,P01
TGM2->ITGB3,ETC->EMT,0.02412706882002031,P01
TGM2->ITGB3,Endo->CAF,0.04078844388534206,P01
TGM2->ITGB3,Endo->DC,0.07843950292225024,P01
TGM2->ITGB3,Endo->EMT,0.01436420190656341,P01
TGM2->ITGB3,TIL->CAF,0.04089200153865249,P01
TGM2->ITGB3,TIL->DC,0.07863865273223808,P01
TGM2->ITGB3,TIL->EMT,0.01440067113410498,P01
ANXA1->EGFR,CAF->EMT,0.1972330374377098,P01
ANXA1->EGFR,CAF->ETC,0.1660877652139779,P01
ANXA1->EGFR,DC->EMT,0.2929077095532866,P01
ANXA1->EGFR,DC->ETC,0.246654351246882,P01
ANXA1->EGFR,EMT->EMT,0.2401541345370896,P01
ANXA1->EGFR,EMT->ETC,0.2022311476329579,P01
ANXA1->EGFR,ETC->EMT,0.2310050504057274,P01
ANXA1->EGFR,ETC->ETC,0.1945268048064549,P01
ANXA1->EGFR,Endo->EMT,0.1978960585605668,P01
ANXA1->EGFR,Endo->ETC,0.1666460879879693,P01
ANXA1->EGFR,TAM->EMT,0.3167867484985009,P01
ANXA1->EGFR,TAM->ETC,0.2667626265408765,P01
ANXA1->EGFR,TIL->EMT,0.1704701778182257,P01
ANXA1->EGFR,TIL->ETC,0.1435510563406516,P01
HAS2->HMMR,CAF->CAF,0.006158125927901806,P01
HAS2->HMMR,CAF->EMT,0.006175368305090011,P01
HAS2->HMMR,CAF->ETC,0.0066316896636957,P01
HAS2->HMMR,CAF->TIL,0.02607003594147369,P01
HAS2->HMMR,EMT->CAF,0.02737636683126627,P01
HAS2->HMMR,EMT->EMT,0.02745301898948353,P01
HAS2->HMMR,EMT->ETC,0.02948162656464358,P01
HAS2->HMMR,EMT->TIL,0.1158961144338359,P01
HAS2->HMMR,ETC->CAF,0.003563422696182539,P01
HAS2->HMMR,ETC->EMT,0.00357340006249949,P01
HAS2->HMMR,ETC->ETC,0.003837452130457508,P01
HAS2->HMMR,ETC->TIL,0.01508552420846552,P01
FGB->ITGA2B,EMT->DC,0.001248949104748942,P01
FGB->ITGA2B,ETC->DC,0.1484744404478614,P01
WNT7B->FZD10,NA,NA,NA
SEMA7A->ITGB1,EMT->CAF,0.05345681054600337,P01
SEMA7A->ITGB1,EMT->DC,0.008682418963390314,P01
SEMA7A->ITGB1,EMT->EMT,0.04097445894272647,P01
SEMA7A->ITGB1,EMT->ETC,0.02943664427774266,P01
SEMA7A->ITGB1,EMT->Endo,0.01753285466667094,P01
SEMA7A->ITGB1,EMT->TIL,0.05269324709219631,P01
TGM2->SDC4,CAF->EMT,0.3511615306865832,P01
TGM2->SDC4,CAF->ETC,0.6831374023028542,P01
TGM2->SDC4,DC->EMT,0.1938562396466635,P01
TGM2->SDC4,DC->ETC,0.3771211718820572,P01
TGM2->SDC4,EMT->EMT,0.5999419387423849,P01
TGM2->SDC4,EMT->ETC,1.167106137063748,P01
TGM2->SDC4,ETC->EMT,0.5843800773209391,P01
TGM2->SDC4,ETC->ETC,1.136832634252497,P01
TGM2->SDC4,Endo->EMT,0.3479143481302525,P01
TGM2->SDC4,Endo->ETC,0.6768204465360942,P01
TGM2->SDC4,TIL->EMT,0.3487976667865533,P01
TGM2->SDC4,TIL->ETC,0.6785388238625945,P01
ANXA1->DYSF,CAF->EMT,0.02218950187658598,P01
ANXA1->DYSF,CAF->Endo,1.00727131257886,P01
ANXA1->DYSF,DC->EMT,0.03295328336081535,P01
ANXA1->DYSF,DC->Endo,1.495882925594478,P01
ANXA1->DYSF,EMT->EMT,0.02701829616482789,P01
ANXA1->DYSF,EMT->Endo,1.226469832128461,P01
ANXA1->DYSF,ETC->EMT,0.02598898777846782,P01
ANXA1->DYSF,ETC->Endo,1.179745357863838,P01
ANXA1->DYSF,Endo->EMT,0.02226409439232766,P01
ANXA1->DYSF,Endo->Endo,1.010657368816515,P01
ANXA1->DYSF,TAM->EMT,0.03563977030219932,P01
ANXA1->DYSF,TAM->Endo,1.617833442677926,P01
