LR,cell_type_pair,number_of_patient
A2M->LRP1,CAF->CAF,9
A2M->LRP1,CAF->DC,5
A2M->LRP1,CAF->EMT,2
A2M->LRP1,CAF->Endo,6
A2M->LRP1,CAF->ETC,9
A2M->LRP1,CAF->TAM,9
A2M->LRP1,CAF->TIL,2
A2M->LRP1,DC->CAF,6
A2M->LRP1,DC->DC,4
A2M->LRP1,DC->EMT,1
A2M->LRP1,DC->Endo,5
A2M->LRP1,DC->ETC,7
A2M->LRP1,DC->TAM,7
A2M->LRP1,DC->TIL,2
A2M->LRP1,EMT->CAF,2
A2M->LRP1,EMT->EMT,2
A2M->LRP1,EMT->Endo,2
A2M->LRP1,EMT->ETC,1
A2M->LRP1,EMT->TAM,2
A2M->LRP1,Endo->CAF,7
A2M->LRP1,Endo->DC,3
A2M->LRP1,Endo->EMT,2
A2M->LRP1,Endo->Endo,6
A2M->LRP1,Endo->ETC,6
A2M->LRP1,Endo->TAM,7
A2M->LRP1,Endo->TIL,2
A2M->LRP1,ETC->CAF,9
A2M->LRP1,ETC->DC,5
A2M->LRP1,ETC->EMT,2
A2M->LRP1,ETC->Endo,6
A2M->LRP1,ETC->ETC,9
A2M->LRP1,ETC->TAM,9
A2M->LRP1,ETC->TIL,2
A2M->LRP1,TAM->CAF,7
A2M->LRP1,TAM->DC,5
A2M->LRP1,TAM->EMT,1
A2M->LRP1,TAM->Endo,5
A2M->LRP1,TAM->ETC,7
A2M->LRP1,TAM->TAM,8
A2M->LRP1,TAM->TIL,2
A2M->LRP1,TIL->CAF,2
A2M->LRP1,TIL->DC,1
A2M->LRP1,TIL->Endo,1
A2M->LRP1,TIL->ETC,2
A2M->LRP1,TIL->TAM,2
A2M->LRP1,TIL->TIL,2
ACE->BDKRB2,CAF->CAF,8
ACE->BDKRB2,CAF->DC,1
ACE->BDKRB2,CAF->EMT,2
ACE->BDKRB2,CAF->Endo,7
ACE->BDKRB2,CAF->ETC,8
ACE->BDKRB2,CAF->TAM,2
ACE->BDKRB2,DC->CAF,3
ACE->BDKRB2,DC->Endo,3
ACE->BDKRB2,DC->ETC,3
ACE->BDKRB2,DC->TAM,1
ACE->BDKRB2,EMT->CAF,2
ACE->BDKRB2,EMT->EMT,2
ACE->BDKRB2,EMT->Endo,2
ACE->BDKRB2,EMT->ETC,2
ACE->BDKRB2,Endo->CAF,4
ACE->BDKRB2,Endo->DC,1
ACE->BDKRB2,Endo->EMT,1
ACE->BDKRB2,Endo->Endo,4
ACE->BDKRB2,Endo->ETC,4
ACE->BDKRB2,Endo->TAM,1
ACE->BDKRB2,ETC->CAF,8
ACE->BDKRB2,ETC->DC,1
ACE->BDKRB2,ETC->EMT,1
ACE->BDKRB2,ETC->Endo,6
ACE->BDKRB2,ETC->ETC,9
ACE->BDKRB2,ETC->TAM,2
ACE->BDKRB2,TAM->CAF,7
ACE->BDKRB2,TAM->DC,1
ACE->BDKRB2,TAM->EMT,1
ACE->BDKRB2,TAM->Endo,6
ACE->BDKRB2,TAM->ETC,7
ACE->BDKRB2,TAM->TAM,2
AGRP->SDC3,CAF->CAF,1
AGRP->SDC3,CAF->Endo,1
AGRP->SDC3,CAF->ETC,1
AGRP->SDC3,CAF->TAM,1
AGRP->SDC3,DC->CAF,1
AGRP->SDC3,DC->DC,1
AGRP->SDC3,DC->Endo,1
AGRP->SDC3,DC->ETC,1
AGRP->SDC3,DC->TAM,1
AGRP->SDC3,ETC->CAF,1
AGRP->SDC3,ETC->Endo,1
AGRP->SDC3,ETC->ETC,1
AGRP->SDC3,ETC->TAM,1
AGRP->SDC3,TAM->CAF,6
AGRP->SDC3,TAM->DC,2
AGRP->SDC3,TAM->Endo,4
AGRP->SDC3,TAM->ETC,7
AGRP->SDC3,TAM->TAM,6
AGT->AGTR1,CAF->CAF,8
AGT->AGTR1,CAF->EMT,1
AGT->AGTR1,CAF->Endo,1
AGT->AGTR1,CAF->ETC,5
AGT->AGTR1,CAF->TAM,2
AGT->AGTR1,EMT->CAF,1
AGT->AGTR1,EMT->EMT,1
AGT->AGTR1,EMT->ETC,1
AGT->AGTR1,Endo->CAF,4
AGT->AGTR1,Endo->EMT,1
AGT->AGTR1,Endo->Endo,1
AGT->AGTR1,Endo->ETC,2
AGT->AGTR1,Endo->TAM,1
AGT->AGTR1,ETC->CAF,7
AGT->AGTR1,ETC->EMT,1
AGT->AGTR1,ETC->Endo,1
AGT->AGTR1,ETC->ETC,4
AGT->AGTR1,ETC->TAM,2
AGT->AGTR1,TAM->CAF,4
AGT->AGTR1,TAM->ETC,2
AGT->AGTR1,TAM->TAM,2
AGT->AGTR1,TIL->CAF,1
AGT->AGTR1,TIL->TAM,1
ANGPT1->TEK,CAF->CAF,7
ANGPT1->TEK,CAF->EMT,1
ANGPT1->TEK,CAF->Endo,6
ANGPT1->TEK,CAF->ETC,6
ANGPT1->TEK,EMT->CAF,1
ANGPT1->TEK,EMT->EMT,1
ANGPT1->TEK,EMT->Endo,2
ANGPT1->TEK,Endo->CAF,4
ANGPT1->TEK,Endo->EMT,1
ANGPT1->TEK,Endo->Endo,4
ANGPT1->TEK,Endo->ETC,3
ANGPT1->TEK,ETC->CAF,2
ANGPT1->TEK,ETC->Endo,2
ANGPT1->TEK,ETC->ETC,2
ANGPT1->TEK,TAM->CAF,2
ANGPT1->TEK,TAM->Endo,2
ANGPT1->TEK,TAM->ETC,2
ANGPT1->TIE1,CAF->CAF,4
ANGPT1->TIE1,CAF->DC,1
ANGPT1->TIE1,CAF->EMT,1
ANGPT1->TIE1,CAF->Endo,6
ANGPT1->TIE1,CAF->ETC,6
ANGPT1->TIE1,CAF->TAM,4
ANGPT1->TIE1,EMT->CAF,2
ANGPT1->TIE1,EMT->DC,1
ANGPT1->TIE1,EMT->EMT,2
ANGPT1->TIE1,EMT->Endo,2
ANGPT1->TIE1,EMT->ETC,1
ANGPT1->TIE1,Endo->CAF,3
ANGPT1->TIE1,Endo->DC,1
ANGPT1->TIE1,Endo->EMT,1
ANGPT1->TIE1,Endo->Endo,4
ANGPT1->TIE1,Endo->ETC,3
ANGPT1->TIE1,Endo->TAM,2
ANGPT1->TIE1,ETC->CAF,2
ANGPT1->TIE1,ETC->DC,1
