LR,cell_type_pair,Edge_average_expression_weight,Patient
WNT9B->FZD8,NA,NA,NA
APOE->LRP1,CAF->CAF,0.6673382013020734,P01
APOE->LRP1,CAF->EMT,1.082499635590023,P01
APOE->LRP1,CAF->ETC,0.3490759264485487,P01
APOE->LRP1,CAF->Endo,0.3422361967464241,P01
APOE->LRP1,CAF->TAM,1.196806976127904,P01
APOE->LRP1,DC->CAF,0.190376973184218,P01
APOE->LRP1,DC->EMT,0.308813437765963,P01
APOE->LRP1,DC->ETC,0.09958371656093734,P01
APOE->LRP1,DC->Endo,0.0976324914766427,P01
APOE->LRP1,DC->TAM,0.3414228185295395,P01
APOE->LRP1,EMT->CAF,0.09440787232032738,P01
APOE->LRP1,EMT->EMT,0.1531404723784487,P01
APOE->LRP1,EMT->ETC,0.0493835291160518,P01
APOE->LRP1,EMT->Endo,0.04841591730068768,P01
APOE->LRP1,EMT->TAM,0.1693114525347183,P01
APOE->LRP1,ETC->CAF,0.02369113743825344,P01
APOE->LRP1,ETC->EMT,0.0384297610920282,P01
APOE->LRP1,ETC->ETC,0.01239252560956684,P01
APOE->LRP1,ETC->Endo,0.01214970873485868,P01
APOE->LRP1,ETC->TAM,0.04248777981416992,P01
RSPO4->LGR5,NA,NA,NA
GDF3->TDGF1,DC->ETC,0.006364379147108783,P01
WNT3A->FZD8,NA,NA,NA
NGF->SORT1,CAF->CAF,0.01240853090066774,P01
NGF->SORT1,CAF->DC,0.008647300456481951,P01
NGF->SORT1,CAF->EMT,0.01002566934454829,P01
NGF->SORT1,CAF->ETC,0.02744628571452796,P01
NGF->SORT1,CAF->Endo,0.009808037629843199,P01
WNT3->FZD8,NA,NA,NA
WNT8A->FZD8,NA,NA,NA
ICOSLG->CD28,CAF->EMT,0.001036785506377711,P01
ICOSLG->CD28,CAF->TIL,0.1026188501711549,P01
ICOSLG->CD28,EMT->EMT,1.899510117700953e-4,P01
ICOSLG->CD28,EMT->TIL,0.01880095188135604,P01
NTN1->NEO1,EMT->CAF,0.006335251104509464,P01
NTN1->NEO1,EMT->EMT,0.003296077479894988,P01
NTN1->NEO1,EMT->ETC,0.006246375052584505,P01
FGF9->FGFR4,NA,NA,NA
WNT1->FZD8,NA,NA,NA
BDNF->SORT1,CAF->CAF,0.02306115331879465,P01
BDNF->SORT1,CAF->DC,0.01607093726219291,P01
BDNF->SORT1,CAF->EMT,0.01863262458134555,P01
BDNF->SORT1,CAF->ETC,0.05100869780322764,P01
BDNF->SORT1,CAF->Endo,0.01822815781730855,P01
BDNF->SORT1,EMT->CAF,0.06399572865742553,P01
BDNF->SORT1,EMT->DC,0.04459756743664726,P01
BDNF->SORT1,EMT->EMT,0.05170636396193002,P01
BDNF->SORT1,EMT->ETC,0.1415514106626907,P01
BDNF->SORT1,EMT->Endo,0.05058395065829167,P01
BDNF->SORT1,ETC->CAF,0.03488314642974975,P01
BDNF->SORT1,ETC->DC,0.02430948921030365,P01
BDNF->SORT1,ETC->EMT,0.02818439141601455,P01
BDNF->SORT1,ETC->ETC,0.07715762737723501,P01
BDNF->SORT1,ETC->Endo,0.02757258015224871,P01
RSPO3->FZD8,CAF->ETC,0.004749769030884131,P01
IHH->BOC,ETC->CAF,0.007300077631533175,P01
IHH->BOC,ETC->EMT,0.002053369839513281,P01
IHH->BOC,ETC->ETC,0.00114504929980724,P01
SHH->BOC,EMT->CAF,9.424825956040809e-4,P01
SHH->BOC,EMT->EMT,2.651020213429106e-4,P01
SHH->BOC,EMT->ETC,1.47832542426033e-4,P01
SHH->BOC,ETC->CAF,0.02701298133649686,P01
SHH->BOC,ETC->EMT,0.007598226204075091,P01
