LR,cell_type_pair,Patient
WNT9B->FZD8,NA,NA
APOE->LRP1,CAF->CAF,P01
APOE->LRP1,CAF->EMT,P01
APOE->LRP1,CAF->ETC,P01
APOE->LRP1,CAF->Endo,P01
APOE->LRP1,CAF->TAM,P01
APOE->LRP1,DC->CAF,P01
APOE->LRP1,DC->EMT,P01
APOE->LRP1,DC->ETC,P01
APOE->LRP1,DC->Endo,P01
APOE->LRP1,DC->TAM,P01
APOE->LRP1,EMT->CAF,P01
APOE->LRP1,EMT->EMT,P01
APOE->LRP1,EMT->ETC,P01
APOE->LRP1,EMT->Endo,P01
APOE->LRP1,EMT->TAM,P01
APOE->LRP1,ETC->CAF,P01
APOE->LRP1,ETC->EMT,P01
APOE->LRP1,ETC->ETC,P01
APOE->LRP1,ETC->Endo,P01
APOE->LRP1,ETC->TAM,P01
RSPO4->LGR5,NA,NA
GDF3->TDGF1,DC->ETC,P01
WNT3A->FZD8,NA,NA
NGF->SORT1,CAF->CAF,P01
NGF->SORT1,CAF->DC,P01
NGF->SORT1,CAF->EMT,P01
NGF->SORT1,CAF->ETC,P01
NGF->SORT1,CAF->Endo,P01
WNT3->FZD8,NA,NA
WNT8A->FZD8,NA,NA
ICOSLG->CD28,CAF->EMT,P01
ICOSLG->CD28,CAF->TIL,P01
ICOSLG->CD28,EMT->EMT,P01
ICOSLG->CD28,EMT->TIL,P01
NTN1->NEO1,EMT->CAF,P01
NTN1->NEO1,EMT->EMT,P01
NTN1->NEO1,EMT->ETC,P01
FGF9->FGFR4,NA,NA
WNT1->FZD8,NA,NA
BDNF->SORT1,CAF->CAF,P01
BDNF->SORT1,CAF->DC,P01
BDNF->SORT1,CAF->EMT,P01
BDNF->SORT1,CAF->ETC,P01
BDNF->SORT1,CAF->Endo,P01
BDNF->SORT1,EMT->CAF,P01
BDNF->SORT1,EMT->DC,P01
BDNF->SORT1,EMT->EMT,P01
BDNF->SORT1,EMT->ETC,P01
BDNF->SORT1,EMT->Endo,P01
BDNF->SORT1,ETC->CAF,P01
BDNF->SORT1,ETC->DC,P01
BDNF->SORT1,ETC->EMT,P01
BDNF->SORT1,ETC->ETC,P01
BDNF->SORT1,ETC->Endo,P01
RSPO3->FZD8,CAF->ETC,P01
IHH->BOC,ETC->CAF,P01
IHH->BOC,ETC->EMT,P01
IHH->BOC,ETC->ETC,P01
SHH->BOC,EMT->CAF,P01
SHH->BOC,EMT->EMT,P01
SHH->BOC,EMT->ETC,P01
SHH->BOC,ETC->CAF,P01
SHH->BOC,ETC->EMT,P01
SHH->BOC,ETC->ETC,P01
SEMA6A->PLXNA4,EMT->EMT,P01
SEMA6A->PLXNA4,ETC->EMT,P01
SEMA6A->PLXNA4,Endo->EMT,P01
SHH->SMO,EMT->EMT,P01
SHH->SMO,ETC->EMT,P01
NRTN->GFRA1,NA,NA
NTS->SORT1,NA,NA
SHH->PTCH1,EMT->EMT,P01
SHH->PTCH1,EMT->ETC,P01
SHH->PTCH1,ETC->EMT,P01
SHH->PTCH1,ETC->ETC,P01
ICOSLG->CTLA4,CAF->EMT,P01
ICOSLG->CTLA4,CAF->TIL,P01
ICOSLG->CTLA4,EMT->EMT,P01
ICOSLG->CTLA4,EMT->TIL,P01
SHH->PTCH2,EMT->EMT,P01
SHH->PTCH2,ETC->EMT,P01
FGF1->FGFR4,CAF->EMT,P01
FGF1->FGFR4,CAF->ETC,P01
FGF1->FGFR4,EMT->EMT,P01
