LR,cell_type_pair,Patient
SEMA4B->DCBLD2,CAF->CAF,P01
SEMA4B->DCBLD2,CAF->EMT,P01
SEMA4B->DCBLD2,CAF->ETC,P01
SEMA4B->DCBLD2,CAF->Endo,P01
SEMA4B->DCBLD2,CAF->TIL,P01
SEMA4B->DCBLD2,EMT->CAF,P01
SEMA4B->DCBLD2,EMT->EMT,P01
SEMA4B->DCBLD2,EMT->ETC,P01
SEMA4B->DCBLD2,EMT->Endo,P01
SEMA4B->DCBLD2,EMT->TIL,P01
SEMA4B->DCBLD2,ETC->CAF,P01
SEMA4B->DCBLD2,ETC->EMT,P01
SEMA4B->DCBLD2,ETC->ETC,P01
SEMA4B->DCBLD2,ETC->Endo,P01
SEMA4B->DCBLD2,ETC->TIL,P01
IL20->IL20RB,EMT->EMT,P01
IL26->IL20RB,CAF->EMT,P01
IL26->IL20RB,EMT->EMT,P01
IL26->IL20RB,TIL->EMT,P01
IL24->IL20RB,CAF->EMT,P01
IL24->IL20RB,EMT->EMT,P01
DKK1->KREMEN1,CAF->CAF,P01
DKK1->KREMEN1,CAF->EMT,P01
DKK1->KREMEN1,EMT->CAF,P01
DKK1->KREMEN1,EMT->EMT,P01
DKK1->KREMEN1,ETC->CAF,P01
DKK1->KREMEN1,ETC->EMT,P01
IL19->IL20RB,CAF->EMT,P01
DSC3->DSG4,NA,NA
DSC3->DSG1,NA,NA
DSG1->DSC3,NA,NA
AREG->EGFR,DC->EMT,P01
AREG->EGFR,DC->ETC,P01
AREG->EGFR,EMT->EMT,P01
AREG->EGFR,EMT->ETC,P01
AREG->EGFR,ETC->EMT,P01
AREG->EGFR,ETC->ETC,P01
FGA->ITGA2B,EMT->DC,P01
FGA->ITGA2B,ETC->DC,P01
RELN->ITGA3,NA,NA
TGM2->ITGB3,CAF->CAF,P01
TGM2->ITGB3,CAF->DC,P01
TGM2->ITGB3,CAF->EMT,P01
TGM2->ITGB3,DC->CAF,P01
TGM2->ITGB3,DC->DC,P01
TGM2->ITGB3,DC->EMT,P01
TGM2->ITGB3,EMT->CAF,P01
TGM2->ITGB3,EMT->DC,P01
TGM2->ITGB3,EMT->EMT,P01
TGM2->ITGB3,ETC->CAF,P01
TGM2->ITGB3,ETC->DC,P01
TGM2->ITGB3,ETC->EMT,P01
TGM2->ITGB3,Endo->CAF,P01
TGM2->ITGB3,Endo->DC,P01
TGM2->ITGB3,Endo->EMT,P01
TGM2->ITGB3,TIL->CAF,P01
TGM2->ITGB3,TIL->DC,P01
TGM2->ITGB3,TIL->EMT,P01
ANXA1->EGFR,CAF->EMT,P01
ANXA1->EGFR,CAF->ETC,P01
ANXA1->EGFR,DC->EMT,P01
ANXA1->EGFR,DC->ETC,P01
ANXA1->EGFR,EMT->EMT,P01
ANXA1->EGFR,EMT->ETC,P01
ANXA1->EGFR,ETC->EMT,P01
ANXA1->EGFR,ETC->ETC,P01
ANXA1->EGFR,Endo->EMT,P01
ANXA1->EGFR,Endo->ETC,P01
ANXA1->EGFR,TAM->EMT,P01
ANXA1->EGFR,TAM->ETC,P01
ANXA1->EGFR,TIL->EMT,P01
ANXA1->EGFR,TIL->ETC,P01
HAS2->HMMR,CAF->CAF,P01
HAS2->HMMR,CAF->EMT,P01
HAS2->HMMR,CAF->ETC,P01
HAS2->HMMR,CAF->TIL,P01
HAS2->HMMR,EMT->CAF,P01
HAS2->HMMR,EMT->EMT,P01
HAS2->HMMR,EMT->ETC,P01
HAS2->HMMR,EMT->TIL,P01
HAS2->HMMR,ETC->CAF,P01
HAS2->HMMR,ETC->EMT,P01
HAS2->HMMR,ETC->ETC,P01
HAS2->HMMR,ETC->TIL,P01
FGB->ITGA2B,EMT->DC,P01
FGB->ITGA2B,ETC->DC,P01
WNT7B->FZD10,NA,NA
SEMA7A->ITGB1,EMT->CAF,P01
SEMA7A->ITGB1,EMT->DC,P01
SEMA7A->ITGB1,EMT->EMT,P01
SEMA7A->ITGB1,EMT->ETC,P01
SEMA7A->ITGB1,EMT->Endo,P01
SEMA7A->ITGB1,EMT->TIL,P01
TGM2->SDC4,CAF->EMT,P01
TGM2->SDC4,CAF->ETC,P01
TGM2->SDC4,DC->EMT,P01
TGM2->SDC4,DC->ETC,P01
TGM2->SDC4,EMT->EMT,P01
TGM2->SDC4,EMT->ETC,P01
TGM2->SDC4,ETC->EMT,P01
TGM2->SDC4,ETC->ETC,P01
TGM2->SDC4,Endo->EMT,P01
TGM2->SDC4,Endo->ETC,P01
TGM2->SDC4,TIL->EMT,P01
TGM2->SDC4,TIL->ETC,P01
ANXA1->DYSF,CAF->EMT,P01
ANXA1->DYSF,CAF->Endo,P01
ANXA1->DYSF,DC->EMT,P01
ANXA1->DYSF,DC->Endo,P01
ANXA1->DYSF,EMT->EMT,P01
ANXA1->DYSF,EMT->Endo,P01
ANXA1->DYSF,ETC->EMT,P01
ANXA1->DYSF,ETC->Endo,P01
ANXA1->DYSF,Endo->EMT,P01
ANXA1->DYSF,Endo->Endo,P01
ANXA1->DYSF,TAM->EMT,P01
ANXA1->DYSF,TAM->Endo,P01
ANXA1->DYSF,TIL->EMT,P01
ANXA1->DYSF,TIL->Endo,P01
IL31->IL31RA,NA,NA
ANXA1->FPR1,CAF->EMT,P01
ANXA1->FPR1,CAF->TAM,P01
ANXA1->FPR1,DC->EMT,P01
ANXA1->FPR1,DC->TAM,P01
ANXA1->FPR1,EMT->EMT,P01
ANXA1->FPR1,EMT->TAM,P01
ANXA1->FPR1,ETC->EMT,P01
ANXA1->FPR1,ETC->TAM,P01
ANXA1->FPR1,Endo->EMT,P01
ANXA1->FPR1,Endo->TAM,P01
ANXA1->FPR1,TAM->EMT,P01
ANXA1->FPR1,TAM->TAM,P01
ANXA1->FPR1,TIL->EMT,P01
ANXA1->FPR1,TIL->TAM,P01
DKK1->LRP4,CAF->Endo,P01
DKK1->LRP4,EMT->Endo,P01
DKK1->LRP4,ETC->Endo,P01
ANXA1->FPR3,NA,NA
TGM2->ADGRG1,NA,NA
ANXA1->FPR2,CAF->TAM,P01
ANXA1->FPR2,DC->TAM,P01
ANXA1->FPR2,EMT->TAM,P01
ANXA1->FPR2,ETC->TAM,P01
ANXA1->FPR2,Endo->TAM,P01
ANXA1->FPR2,TAM->TAM,P01
ANXA1->FPR2,TIL->TAM,P01
NTF4->NTRK1,NA,NA
LAMC2->ITGA3,CAF->CAF,P01
LAMC2->ITGA3,CAF->EMT,P01
LAMC2->ITGA3,CAF->ETC,P01
LAMC2->ITGA3,EMT->CAF,P01
LAMC2->ITGA3,EMT->EMT,P01
LAMC2->ITGA3,EMT->ETC,P01
