From,To,NATMI_LR_ALL,HRL,HRH,Patient,NormHRL,NormHRH,N_cell_sending,Composition.x,N_cell_receiving,Composition.y
CAF,CAF,479,22,20,P01,0.04592901878914405,0.04175365344467641,35,0.085995085995086,35,0.085995085995086
CAF,DC,252,11,7,P01,0.04365079365079365,0.027777777777777776,35,0.085995085995086,15,0.036855036855036855
CAF,EMT,679,32,27,P01,0.047128129602356406,0.039764359351988215,35,0.085995085995086,299,0.7346437346437347
CAF,Endo,349,16,18,P01,0.045845272206303724,0.05157593123209169,35,0.085995085995086,13,0.03194103194103194
CAF,ETC,476,21,23,P01,0.04411764705882353,0.04831932773109244,35,0.085995085995086,38,0.09336609336609336
CAF,TAM,120,4,9,P01,0.03333333333333333,0.075,35,0.085995085995086,2,0.004914004914004914
CAF,TIL,165,10,4,P01,0.06060606060606061,0.024242424242424242,35,0.085995085995086,5,0.012285012285012284
DC,CAF,269,11,11,P01,0.040892193308550186,0.040892193308550186,15,0.036855036855036855,35,0.085995085995086
DC,DC,167,6,2,P01,0.03592814371257485,0.011976047904191617,15,0.036855036855036855,15,0.036855036855036855
DC,EMT,397,17,15,P01,0.042821158690176324,0.037783375314861464,15,0.036855036855036855,299,0.7346437346437347
DC,Endo,207,8,10,P01,0.03864734299516908,0.04830917874396135,15,0.036855036855036855,13,0.03194103194103194
DC,ETC,281,12,14,P01,0.042704626334519574,0.0498220640569395,15,0.036855036855036855,38,0.09336609336609336
DC,TAM,91,4,7,P01,0.04395604395604396,0.07692307692307693,15,0.036855036855036855,2,0.004914004914004914
DC,TIL,107,4,2,P01,0.037383177570093455,0.018691588785046728,15,0.036855036855036855,5,0.012285012285012284
EMT,CAF,633,27,26,P01,0.04265402843601896,0.04107424960505529,299,0.7346437346437347,35,0.085995085995086
EMT,DC,355,17,5,P01,0.04788732394366197,0.014084507042253521,299,0.7346437346437347,15,0.036855036855036855
EMT,EMT,953,38,43,P01,0.03987408184679958,0.04512067156348373,299,0.7346437346437347,299,0.7346437346437347
EMT,Endo,478,20,20,P01,0.04184100418410042,0.04184100418410042,299,0.7346437346437347,13,0.03194103194103194
EMT,ETC,660,27,30,P01,0.04090909090909091,0.045454545454545456,299,0.7346437346437347,38,0.09336609336609336
EMT,TAM,173,4,10,P01,0.023121387283236993,0.057803468208092484,299,0.7346437346437347,2,0.004914004914004914
EMT,TIL,230,12,8,P01,0.05217391304347826,0.034782608695652174,299,0.7346437346437347,5,0.012285012285012284
Endo,CAF,322,13,10,P01,0.040372670807453416,0.031055900621118012,13,0.03194103194103194,35,0.085995085995086
Endo,DC,172,8,2,P01,0.046511627906976744,0.011627906976744186,13,0.03194103194103194,15,0.036855036855036855
Endo,EMT,442,19,13,P01,0.042986425339366516,0.029411764705882353,13,0.03194103194103194,299,0.7346437346437347
Endo,Endo,254,10,9,P01,0.03937007874015748,0.03543307086614173,13,0.03194103194103194,13,0.03194103194103194
Endo,ETC,315,13,9,P01,0.04126984126984127,0.02857142857142857,13,0.03194103194103194,38,0.09336609336609336
Endo,TAM,90,2,6,P01,0.022222222222222223,0.06666666666666667,13,0.03194103194103194,2,0.004914004914004914
Endo,TIL,102,7,0,P01,0.06862745098039216,0,13,0.03194103194103194,5,0.012285012285012284
ETC,CAF,486,26,22,P01,0.053497942386831275,0.04526748971193416,38,0.09336609336609336,35,0.085995085995086
ETC,DC,279,16,6,P01,0.05734767025089606,0.021505376344086023,38,0.09336609336609336,15,0.036855036855036855
ETC,EMT,706,35,34,P01,0.049575070821529746,0.04815864022662889,38,0.09336609336609336,299,0.7346437346437347
ETC,Endo,363,19,21,P01,0.05234159779614325,0.05785123966942149,38,0.09336609336609336,13,0.03194103194103194
ETC,ETC,497,27,26,P01,0.05432595573440644,0.052313883299798795,38,0.09336609336609336,38,0.09336609336609336
ETC,TAM,135,4,8,P01,0.02962962962962963,0.05925925925925926,38,0.09336609336609336,2,0.004914004914004914
ETC,TIL,170,11,4,P01,0.06470588235294118,0.023529411764705882,38,0.09336609336609336,5,0.012285012285012284
TAM,CAF,158,8,5,P01,0.05063291139240506,0.03164556962025317,2,0.004914004914004914,35,0.085995085995086
TAM,DC,94,4,1,P01,0.0425531914893617,0.010638297872340425,2,0.004914004914004914,15,0.036855036855036855
TAM,EMT,218,11,7,P01,0.05045871559633028,0.03211009174311927,2,0.004914004914004914,299,0.7346437346437347
TAM,Endo,112,6,5,P01,0.05357142857142857,0.044642857142857144,2,0.004914004914004914,13,0.03194103194103194
TAM,ETC,140,7,6,P01,0.05,0.04285714285714286,2,0.004914004914004914,38,0.09336609336609336
TAM,TAM,73,3,5,P01,0.0410958904109589,0.0684931506849315,2,0.004914004914004914,2,0.004914004914004914
TAM,TIL,69,4,0,P01,0.057971014492753624,0,2,0.004914004914004914,5,0.012285012285012284
TIL,CAF,154,9,5,P01,0.05844155844155844,0.032467532467532464,5,0.012285012285012284,35,0.085995085995086
TIL,DC,108,5,1,P01,0.046296296296296294,0.009259259259259259,5,0.012285012285012284,15,0.036855036855036855
TIL,EMT,223,15,10,P01,0.06726457399103139,0.04484304932735426,5,0.012285012285012284,299,0.7346437346437347
TIL,Endo,113,6,4,P01,0.05309734513274336,0.035398230088495575,5,0.012285012285012284,13,0.03194103194103194
TIL,ETC,140,9,5,P01,0.06428571428571428,0.03571428571428571,5,0.012285012285012284,38,0.09336609336609336
TIL,TAM,58,2,3,P01,0.034482758620689655,0.05172413793103448,5,0.012285012285012284,2,0.004914004914004914
TIL,TIL,69,4,3,P01,0.057971014492753624,0.043478260869565216,5,0.012285012285012284,5,0.012285012285012284
CAF,CAF,86,5,4,P02,0.05813953488372093,0.046511627906976744,4,0.027972027972027972,4,0.027972027972027972
CAF,DC,143,9,6,P02,0.06293706293706294,0.04195804195804196,4,0.027972027972027972,9,0.06293706293706294
CAF,EMT,5,0,0,P02,0,0,4,0.027972027972027972,1,0.006993006993006993
CAF,ETC,193,10,10,P02,0.05181347150259067,0.05181347150259067,4,0.027972027972027972,74,0.5174825174825175
CAF,TAM,153,7,6,P02,0.0457516339869281,0.0392156862745098,4,0.027972027972027972,12,0.08391608391608392
CAF,TIL,109,3,0,P02,0.027522935779816515,0,4,0.027972027972027972,43,0.3006993006993007
DC,CAF,80,7,1,P02,0.0875,0.0125,9,0.06293706293706294,4,0.027972027972027972
DC,DC,193,8,12,P02,0.04145077720207254,0.06217616580310881,9,0.06293706293706294,9,0.06293706293706294
DC,EMT,8,0,0,P02,0,0,9,0.06293706293706294,1,0.006993006993006993
DC,ETC,263,16,12,P02,0.060836501901140684,0.045627376425855515,9,0.06293706293706294,74,0.5174825174825175
DC,TAM,196,8,9,P02,0.04081632653061224,0.04591836734693878,9,0.06293706293706294,12,0.08391608391608392
DC,TIL,144,3,5,P02,0.020833333333333332,0.034722222222222224,9,0.06293706293706294,43,0.3006993006993007
EMT,CAF,16,0,0,P02,0,0,1,0.006993006993006993,4,0.027972027972027972
EMT,DC,43,0,0,P02,0,0,1,0.006993006993006993,9,0.06293706293706294
EMT,EMT,2,0,0,P02,0,0,1,0.006993006993006993,1,0.006993006993006993
EMT,ETC,56,0,1,P02,0,0.017857142857142856,1,0.006993006993006993,74,0.5174825174825175
EMT,TAM,45,0,0,P02,0,0,1,0.006993006993006993,12,0.08391608391608392
EMT,TIL,40,0,0,P02,0,0,1,0.006993006993006993,43,0.3006993006993007
ETC,CAF,165,12,5,P02,0.07272727272727272,0.030303030303030304,74,0.5174825174825175,4,0.027972027972027972
ETC,DC,332,16,23,P02,0.04819277108433735,0.06927710843373494,74,0.5174825174825175,9,0.06293706293706294
ETC,EMT,13,1,0,P02,0.07692307692307693,0,74,0.5174825174825175,1,0.006993006993006993
ETC,ETC,544,26,29,P02,0.04779411764705882,0.05330882352941176,74,0.5174825174825175,74,0.5174825174825175
ETC,TAM,362,15,12,P02,0.04143646408839779,0.03314917127071823,74,0.5174825174825175,12,0.08391608391608392
ETC,TIL,297,9,6,P02,0.030303030303030304,0.020202020202020204,74,0.5174825174825175,43,0.3006993006993007
TAM,CAF,109,10,2,P02,0.09174311926605505,0.01834862385321101,12,0.08391608391608392,4,0.027972027972027972
TAM,DC,242,10,14,P02,0.04132231404958678,0.05785123966942149,12,0.08391608391608392,9,0.06293706293706294
TAM,EMT,9,1,0,P02,0.1111111111111111,0,12,0.08391608391608392,1,0.006993006993006993
TAM,ETC,335,18,15,P02,0.05373134328358209,0.04477611940298507,12,0.08391608391608392,74,0.5174825174825175
TAM,TAM,255,11,12,P02,0.043137254901960784,0.047058823529411764,12,0.08391608391608392,12,0.08391608391608392
TAM,TIL,207,6,9,P02,0.028985507246376812,0.043478260869565216,12,0.08391608391608392,43,0.3006993006993007
TIL,CAF,64,4,1,P02,0.0625,0.015625,43,0.3006993006993007,4,0.027972027972027972
